序号,页签类型,活动名,服务器id,需求等级,等级文本,未达等级到文本,上限等级,排序,参加一次红点即消失,开启时间,活动详情,活动要求,经验奖励,物品奖励,物品id,物品id2,物品id3,物品id4,物品id5,推荐度,标签图标,名字颜色,名字描边,图片id,活动周期,服务器发,是否显示最大次数,最大次数,无限制计次,重置次数类型,最大活跃度,每次获得活跃,限时活动对应id,进行中提示,参加类型,对应1,对应2,盈福经验,盈福经验奖励,盈福总次数,活动开关
101,1,职业任务,0,15,达到15级,15级开启,155,2,0,全天,"职业联盟发布的任务,不但奖励丰厚而且还能获得职业贡献,是每天必做的任务。",单人,大量经验,,334100,32037,32038,,,1,set:jiangli image:tuijian,fff08723,ff2d1600,1190,"1,2,3,4,5,6,7",,1,20,0,1,20,1,-1,,6,,,1,5000,20,1
102,1,日常副本,0,20,达到20级,20级开启,155,3,0,全天,"在银色黎明指挥官处接取燃烧的远征任务,组队人数越多奖励越丰富,圣骑士、牧师、德鲁伊职业的玩家在任务中可以直接震慑并瓦解部分敌人,正确的职业搭配可以让任务难度大大降低。记得在挂机界面领取多倍点数,可以获得更多的奖励。",3-5人组队,大量经验,,336013,336003,336009,,,2,set:jiangli image:tuijian,ffc800c8,ff230023,1183,"1,2,3,4,5,6,7",,1,-1,0,1,20,1,-1,,7,161501,5,1,5070,20,1
103,1,好友试炼,0,30,达到30级,30级开启,155,4,0,全天,"领取任务后,与好友组队通过任意途径击杀的怪物累计到一定数量后,会获得丰厚的经验奖励。",3-5人组队,大量经验,,338000,,,,,0,set:jiangli image:tuijian,fff08723,ff2d1600,1135,"1,2,3,4,5,6,7",,1,1,0,1,5,5,-1,,4,100002,,1,5280,1,1
106,2,诛神,0,50,达到50级,50级开启,155,3,0,全天,"<T t=""[诛神]活动包括"" c=""fffff2df""></T><T t=""上古之神"" c=""ff00b1ff""></T><T t=""和"" c=""fffff2df""></T><T t=""上古巨龙"" c=""ff00b1ff""></T><B></B><T t=""    使用高级藏宝图考古有几率触发上古之神刷新,击败上古之神会掉落"" c=""fffff2df""></T><T t=""宠物养成类道具"" c=""ff00ff00""></T><B></B><T t=""    上古巨龙会在每小时整点和半点在月光海岸、影月城、虚空要塞、银松林、暮光林、风暴城、欧格瑞姆、剃刀泥沼、激流高地、十字路口中随机刷新，击败上古巨龙会掉落"" c=""fffff2df""></T><B></B><T t=""诛神50级可击杀数量为1、55级为2、60级为3、65级为4"" c=""fffff2df""></T><B></B><T t=""上古巨龙不可携带助战"" c=""fffff2df""></T>",3-5人组队,,,40009,331351,310103,310102,339002,0,set:jiangli image:tuijian,fff08723,ff230023,1194,"1,2,3,4,5,6,7",,0,5,0,1,2,2,"106,201",全天投放,0,,,0,0,0,1
105,2,屠魔,0,40,达到40级,40级开启,155,2,0,全天,"<T t=""[屠魔]活动包括"" c=""fffff2df""></T><T t=""远古魔像"" c=""ff00b1ff""></T><T t=""和"" c=""fffff2df""></T><T t=""巨龙军团"" c=""ff00b1ff""></T><B></B><T t=""    使用藏宝图考古有几率触发远古魔像刷新,击败魔像会掉落"" c=""fffff2df""></T><T t=""宠物养成类道具""c=""ff00ff00""></T><B></B><T t=""    巨龙军团在每小时整点和半点会在月光海岸、影月城、虚空要塞、银松林、暮光林、风暴城、欧格瑞姆、剃刀泥沼、激流高地、十字路口随机刷新，击败巨龙军团会掉落"" c=""fffff2df""></T><T t=""装备养成类道具和龙骸"" c=""ff00ff00""></T><B></B><T t=""屠魔40级可击杀数量为3、45级为4、50级为5、55级为6、60级为7、65级为8"" c=""fffff2df""></T>",3-5人组队,,,310101,310100,331350,331351,40008,0,set:jiangli image:tuijian,ff00beff,ff00222e,1193,"1,2,3,4,5,6,7",,0,10,0,1,3,1,"105,200",全天投放,0,,,0,0,0,1
118,1,公会任务,0,35,达到35级,35级开启,155,6,0,全天,"公会中公会守护者负责发布任务,完成任务不但可以获得经验和银币的奖励,还可以获得公会贡献哦。",单人,,,320150,320154,336002,,,0,set:jiangli image:tuijian,ffc800c8,ff2d1600,1162,"1,2,3,4,5,6,7",,1,70,0,2,0,0,-1,,8,161301,,0,0,0,1
119,1,冰封王座,0,40,达到40级,40级开启,155,9,0,全天,"单人挑战副本,闯关越多,奖励越丰富。",单人,,,336006,336007,310101,310102,360000,3,set:jiangli image:tuijian,ffc800c8,ff2d1600,1180,"1,2,3,4,5,6,7",,1,-1,0,1,25,2,-1,,1,161521,,0,0,0,1
120,1,精英副本,0,30,达到30级,30级开启,155,8,0,全天,"精英副本,每日可参加2次,越高级的副本奖励越丰厚",3-5人组队,,,336009,331403,310100,340002,336014,4,set:jiangli image:tuijian,ffc800c8,ff2d1600,1168,"1,2,3,4,5,6,7",,1,2,0,1,20,10,-1,,1,161511,,1,5570,2,1
121,1,暗夜马戏团,0,50,达到50级,50级开启,155,1,0,每周1次,"1.暗夜马戏团发布的任务,奖励丰厚,是每周必做的任务。2. 每周可接取1次暗夜马戏团任务。3. 上1周未完成的马戏团任务可在下周继续完成。4. 需求物品的任务玩家可以通过探索去获得完成任务的物品。探索存在失败几率。",单人,大量经验,,339104,339001,339002,340001,340002,0,set:jiangli image:tuijian,fff08723,ff2d1600,1185,"1,2,3,4,5,6,7",,1,160,0,2,0,0,-1,,2,62,,0,0,0,1
122,1,分享,0,1,达到1级,1级开启,155,10,0,每周1次,将你在游戏中获得的快乐分享给朋友,单人,经验,,340039,338000,,,,0,set:jiangli image:tuijian,fff08723,ff2d1600,1233,7,,1,1,0,2,0,0,-1,,2,63,,0,0,0,1
