ID,道具id,等级组,等级下限,等级上限,开奖结果
1,331300,1,1,34,4@160;5@140;1@30;101@200;102@100;103@20;104@20;105@40;106@100
2,331300,2,35,44,4@160;5@140;1@30;101@200;102@100;103@20;104@20;105@40;106@100
3,331300,3,45,54,4@160;5@140;1@30;101@200;102@100;103@20;104@20;105@40;106@100
4,331300,4,55,65,4@160;5@140;1@30;101@200;102@100;103@20;104@20;105@40;106@100
5,331300,5,65,155,4@160;5@140;1@30;101@200;102@100;103@20;104@20;105@40;106@100
6,331301,1,1,155,3@110;2@110;150@680;151@50;152@120;153@50;154@50;155@75;156@50;157@120;158@50;159@75;160@75
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
