id,地图ID,介绍,npcid,奖励次数,活动ID
1,5009;5010,大雁塔,250000;250001;250002;250003;250004;250005;250006;250007;250008;250009,50,270
2,1610,远古妖魔,250020;250021;250022,20,271
3,1612,二十八星宿之影,250025;250026;250027;250028;250029;250030;250031,15,272
4,1612,二十八星宿,250032;250033;250034;250035;250036;250037;250038,15,272
5,1612,二十八星宿之怒,250039;250040;250041;250042;250043;250044;250045,15,272
6,1610,十二元辰,250046;250047;250048;250049;250050;250051;250052;250053;250054;250055;250056;250057,10,273
7,1609,四方星官,250058;250059;250060;250061,8,274
8,1609,九曜星官,250062;250063;250064,7,275
9,1608,地煞1星,250065;250066;250067;250068;250069;250070;250071;250072;250073;250074;250075;250076;250077;250078;250079;250080;250081,3,276
10,1608,地煞2星,250082;250083;250084;250085;250086;250087;250088;250089;250090;250091;250092;250093;250094;250095;250096;250097;250098,3,277
11,1608,地煞3星,250099;250100;250101;250102;250103;250104;250105;250106;250107;250108;250109;250110;250111;250112;250113;250114;250115,3,278
12,1608,地煞4星,250116;250117;250118;250119;250120;250121;250122;250123;250124;250125;250126;250127;250128;250129;250130;250131;250132,3,279
13,1616,地煞5星,250133;250134;250135;250136;250137;250138;250139;250140;250141;250142;250143;250144;250145;250146;250147;250148;250149,3,303
14,1616,地煞6星,250150;250151;250152;250153;250154;250155;250156;250157;250158;250159;250160;250161;250162;250163;250164;250165;250166,3,290
15,1616,地煞7星,250167;250168;250169;250170;250171;250172;250173;250174;250175;250176;250177;250178;250179;250180;250181;250182;250183,3,291
16,1616,地煞8星,250184;250185;250186;250187;250188;250189;250190;250191;250192;250193;250194;250195;250196;250197;250198;250199;250200,3,292
17,1626,天罡1星,250201;250202;250203;250204;250205;250206;250207;250208;250209;250210;250211;250212;250213;250214;250215;250216;250217,3,293
18,1627,天罡2星,250218;250219;250220;250221;250222;250223;250224;250225;250226;250227;250228;250229;250230;250231;250232;250233;250234,3,294
19,1628,天罡3星,250235;250236;250237;250238;250239;250240;250241;250242;250243;250244;250245;250246;250247;250248;250249;250250;250251,3,295
20,1629,天罡4星,250252;250253;250254;250255;250256;250257;250258;250259;250260;250261;250262;250263;250264;250265;250266;250267;250268,3,296
21,1631,天罡5星,250269;250270;250271;250272;250273;250274;250275;250276;250277;250278;250279;250280;250281;250282;250283;250284;250285,3,297
22,9029,福利怪,270300;270301;270302;270303;270304;270305;270306;270307;270308;270309,20,310
23,6001,九幽地宫-普通,"230301,230302,230303",10,313
24,6001,九幽地宫-精英,"230304,230305",10,313
