宝石类型,宝石类型名字,宝石类型icon,提升文本,定位物品id
1,光芒石,1256,提升生命,35001
2,太阳石,1257,提升物理伤害,35002
3,月亮石,1258,提升物理防御,35003
4,舍利子,1259,提升法术伤害,35004
5,翡翠石,1260,提升法术防御,35005
6,黑宝石,1261,提升速度,35006
7,昆仑玉,1262,提升治疗强度,35007
8,红纹石,1263,提升控制命中,35008
9,神秘石,1264,提升控制抗性,35009
10,神力珠,1265,提升力量,35451
11,魔蕴珠,1266,提升魔力,35476
12,神魄珠,1267,提升耐力,35501
13,风灵珠,1268,提升敏捷,35526
14,火灵珠,3231,提升体质,35551
15,星辉石,3624,提升物理暴击,
16,星辉石,3628,提升法术暴击,
17,星辉石,3629,提升物理暴击伤害,
18,星辉石,3630,提升法术暴击伤害,
19,红宝石,3631,提升物理穿透,37000
20,蓝宝石,3625,提升法术穿透,37001
21,天珠石,3634,提升物理抵抗,37002
22,天空石,3635,提升法术抵抗,37003
23,木纹石,3626,提升物理抗暴,37004
24,绿宝石,3632,提升法术抗暴,37005
25,水晶石,3636,提升治疗暴击,37006
26,咒印石,3638,提升治疗暴击量,37007
27,星辉石,3639,提升抵抗封印,
