id,市,对应省id
0,清空,0
1,北京市,1
2,邯郸市,2
3,衡水市,2
4,石家庄市,2
5,唐山市,2
6,秦皇岛市,2
7,邢台市,2
8,保定市,2
9,张家口市,2
10,承德市,2
11,沧州市,2
12,廊坊市,2
13,天津市,3
14,太原市,4
15,大同市,4
16,阳泉市,4
17,长治市,4
18,晋城市,4
19,朔州市,4
20,晋中市,4
21,运城市,4
22,忻州市,4
23,临汾市,4
24,吕梁市,4
25,呼和浩特,5
26,包头市,5
27,乌海市,5
28,赤峰市,5
29,通辽市,5
30,鄂尔多斯市,5
31,呼伦贝尔市,5
32,巴彦淖尔市,5
33,乌兰察布市,5
34,兴安盟,5
35,锡林郭勒盟,5
36,阿拉善盟,5
37,沈阳市,6
38,大连市,6
39,鞍山市,6
40,抚顺市,6
41,本溪市,6
42,丹东市,6
43,锦州市,6
44,营口市,6
45,阜新市,6
46,辽阳市,6
47,盘锦市,6
48,铁岭市,6
49,朝阳市,6
50,葫芦岛市,6
51,长春市,7
52,吉林市,7
53,四平市,7
54,辽源市,7
55,通化市,7
56,白山市,7
57,松原市,7
58,白城市,7
59,延边,7
60,哈尔滨市,8
61,齐齐哈尔市,8
62,鸡西市,8
63,鹤岗市,8
64,双鸭山市,8
65,大庆市,8
66,伊春市,8
67,佳木斯市,8
68,七台河市,8
69,牡丹江市,8
70,黑河市,8
71,绥化市,8
72,大兴安岭,8
73,上海市,9
74,南京市,10
75,无锡市,10
76,徐州市,10
77,常州市,10
78,苏州市,10
79,南通市,10
80,连云港市,10
81,淮安市,10
82,盐城市,10
83,扬州市,10
84,镇江市,10
85,泰州市,10
86,宿迁市,10
87,杭州市,11
88,宁波市,11
89,温州市,11
90,嘉兴市,11
91,湖州市,11
92,绍兴市,11
93,金华市,11
94,衢州市,11
95,舟山市,11
96,台州市,11
97,丽水市,11
98,合肥市,12
99,芜湖市,12
100,蚌埠市,12
101,淮南市,12
102,马鞍山市,12
103,淮北市,12
104,铜陵市,12
105,安庆市,12
106,黄山市,12
107,滁州市,12
108,阜阳市,12
109,宿州市,12
110,巢湖市,12
111,六安市,12
112,毫州市,12
113,池州市,12
114,宣城市,12
115,福州市,13
116,厦门市,13
117,莆田市,13
118,三明市,13
119,泉州市,13
120,漳州市,13
121,南平市,13
122,龙岩市,13
123,宁德市,13
124,南昌市,14
125,景德镇市,14
126,萍乡市,14
127,九江市,14
128,新余市,14
129,鹰潭市,14
130,漳州市,14
131,吉安市,14
132,宜春市,14
133,抚州市,14
134,上饶市,14
135,济南市,15
136,青岛市,15
137,淄博市,15
138,枣庄市,15
139,东营市,15
140,烟台市,15
141,潍坊市,15
142,济宁市,15
143,泰安市,15
144,威海市,15
145,日照市,15
146,莱芜市,15
147,临沂市,15
148,德州市,15
149,聊城市,15
150,滨州市,15
151,菏泽市,15
152,郑州市,16
153,开封市,16
154,洛阳市,16
155,平顶山市,16
156,安阳市,16
157,鹤壁市,16
158,新乡市,16
159,焦作市,16
160,濮阳市,16
161,许昌市,16
162,漯河市,16
163,三门峡市,16
164,南阳市,16
165,商丘市,16
166,信阳市,16
167,周口市,16
168,驻马店市,16
169,武汉市,17
170,黄石市,17
171,十堰市,17
172,宜昌市,17
173,襄阳市,17
174,鄂州市,17
175,荆门市,17
176,孝感市,17
177,荆州市,17
178,黄冈市,17
179,咸宁市,17
180,随州市,17
181,长沙市,18
182,株洲市,18
