id,战斗内技能id,战斗外技能id,备注,BUFF0.BUFFID,BUFF1.BUFFID,BUFF2.BUFFID,BUFF3.BUFFID,怪物id1,怪物id2,怪物id3,怪物id4,怪物id5,怪物id6,怪物id7,怪物id8,怪物id9,怪物id10,BUFF0.命中,BUFF0.持续回合,BUFF0.持续时间,BUFF0.效果,BUFF1.命中,BUFF1.持续回合,BUFF1.持续时间,BUFF1.效果,BUFF2.命中,BUFF2.持续回合,BUFF2.持续时间,BUFF2.效果,BUFF3.命中,BUFF3.持续回合,BUFF3.持续时间,BUFF3.效果,未命中提示号
32014,,100009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32015,,100010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32037,,100090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32038,,100091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320000,,100011,硬肉干,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320001,,100012,培根煎蛋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320002,,100013,樱桃派,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320004,100017,100014,珍露酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320005,,100015,翡翠豆腐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320007,100016,,蛇胆酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320100,100020,100040,金创药,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320101,100021,100041,金香玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320102,100022,100042,定神香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320103,100023,,五龙丹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320104,100024,,九转回魂丹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320105,100025,,佛光舍利子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320106,100026,,原形丹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320107,100027,,驱散护甲丹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320108,100028,,无敌驱散丹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320109,100029,,无敌大力丸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320150,100030,100050,血色茶花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320151,100031,100051,鹿茸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320152,100032,100052,仙狐诞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320153,100033,100053,麝香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320154,100034,100054,火风之晴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320155,100035,100055,凤凰尾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320156,100036,100056,孔雀红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320157,100037,100057,血珊瑚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
