编号,类型,部件ID,显示名,功能说明,道具名颜色,颜色品质,装备颜色,装备前缀,造型编号,武器造型编号,武器特效编号,单位,等级,需求等级,排序ID,角色需求1,角色需求2,性别需求,职业需求,可否摧毁,可否摆摊上架,点卡服可否摆摊上架,默认有效时间,不能被放入的包裹id1,不能被放入的包裹id2,不能被放入的包裹id3,可否给予战斗中对象,可否卖店,能否邮寄,是否绑定,是否拾取绑定,是否下线消失,战斗内使用对象,战斗内使用者对象,战斗外使用对象,使用后是否消耗,最大堆叠数量,最大拥有数量,删除后服务器保留天数,珍品找回消耗,描述,售卖商店类型,售卖NPCID,道具使用方法,道具类名,道具类名1,赠送类型,亲密度,货币类型,从NPC购买价,出售价格系数,对应使用方法答案ID,点击寻路链接及右键使用事件,使用按钮功能类型,使用按钮功能参数1,使用按钮功能参数2,使用按钮功能参数3,淬炼等级,是否已鉴定,耐久度系数,耐久上限,附加属性1值,附加属性2值,附加属性3值,附加属性1id,附加属性2id,附加属性3id,属性值1,属性值2,属性值3,属性值4,属性值5,属性值6,属性名1,属性名2,属性名3,属性名4,属性名5,属性名6,增加躲闪,增加命中,增加内功防御,增加内功伤害,增加速度,增加外功防御,增加外功伤害,增加真气上限,增加最大生命上限,封印抗性,加强封印,特技id,是否生成特殊属性,套装id,附加属性条数,绿色评分,蓝色评分,橙色评分,紫色评分,暗金色评分,特效id,左手路径1,左手路径2,右手路径1,右手路径2,左手挂点1,左手挂点2,右手挂点1,右手挂点2,宝石槽数量,槽1开启等级,槽2开启等级,槽3开启等级,可镶嵌最高等级宝石,可镶嵌宝石类型1,可镶嵌宝石类型2,可镶嵌宝石类型3,可镶嵌宝石类型4,可镶嵌宝石类型5,宝石1,宝石2,宝石3,宝石4,宝石5,宝石6,宝石7,宝石8,宝石9,宝石10,装备基础属性ID,附加属性随机库ID,附加属性出现几率,附加属性双加随机库ID,附加属性单加随机库ID,附加属性三加随机库ID,附加属性四加随机库ID,特效随机库ID,特效随机库1ID,特技随机库ID,装备普通修理失败几率,装备修理材料ID,装备修理材料消耗数量,装备修理材料ID1,装备修理材料消耗数量1,装备修理材料ID2,装备修理材料消耗数量2,装备修理材料ID3,装备修理材料消耗数量3,装备修理材料ID4,装备修理材料消耗数量4,装备修理材料ID5,装备修理材料消耗数量5,装备修理材料ID6,装备修理材料消耗数量6,装备修理材料ID7,装备修理材料消耗数量7,装备修理材料ID8,装备修理材料消耗数量8,装备修理材料ID9,装备修理材料消耗数量9,装备修理材料ID10,装备修理材料消耗数量10,装备特殊修理材料ID,装备特殊修理材料消耗数量,装备普通修理消耗金钱,普通修理消耗金钱类型,装备特殊修理消耗金钱,特殊修理消耗金钱类型,获取途径1,获取途径2,获取途径3,获取途径4,获取途径5,获取途径6,获取途径7,获取途径8,获取途径9,珍品评分,是否自动分解,分解获得银币,分解额外获得物品1,分解额外获得物品2,分解额外获得物品3,分解额外获得物品4,分解额外获得物品5,是否自动播放特效,是否有分解按钮,摆摊冻结时间,是否稀有,寻路特殊处理,装备重铸需求道具,装备重铸需求数量,装备重铸需求货币,装备点化需求道具id,装备点化需求道具数量,装备点化需求金钱数量,装备附魔需求道具,装备附魔需求数量,装备附魔需求货币,装备熔炼需求道具,装备熔炼需求道具数量,装备熔炼需求金币数量,进阶后道具ID,进阶需求道具ID,进阶需求道具数量,进阶需求金币,是否可以一键分解,特殊用途1,特殊用途2,特殊用途3,特殊用途4,特殊用途5,双加属性值限制ID
42600,184,7,基础装备,基础装备,FFFFFF00,5,3,1,1,1,,件,1,10,2000,,,0,0,true,1,1,0,,,,false,0,true,false,false,false,0,0,1,0,1,0,1,9999999,基础装备,,10378,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,364,0,0,686,0,fabao,,3da_weapon_changjian01_s,3da_weapon_changjian01_b,CS_Lhand,,CS_Rhand,CS_Rhand,3,1,1,1,1,4,6,,,,,,,,,,,,,,100000,1;2,8000,2;2,1,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,,0,30000,,,,,,0,1,,,,340160,10,10000,680201,1,1000,500212,10,100000,500096,1,10000,5010101,500096,100,200000,1,,,,,,
42601,312,2,基础装备,基础装备,FFFFFF00,5,3,1,1,1,,件,1,10,2000,,,0,0,true,1,1,0,,,,false,0,true,false,false,false,0,0,1,0,1,0,1,9999999,基础装备,,10378,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,364,0,0,686,0,,,,,,,,,2,,,,1,4,6,,,,,,,,,,,,,,100001,1;2,8000,2;2,1,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,,0,30000,,,,,,0,,,,,340160,10,10000,680201,1,1000,500212,1,100000,500096,1,10000,5010101,500096,100,200000,1,,,,,,
42602,1640,3,基础装备,基础装备,FFFFFF00,5,3,1,1,1,,件,1,10,2000,,,0,0,true,1,1,0,,,,false,0,true,false,false,false,0,0,1,0,1,0,1,9999999,基础装备,,10378,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,364,0,0,686,0,,,,,,,,,2,,,,1,4,6,,,,,,,,,,,,,,100001,1;2,8000,2;2,1,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,,0,30000,,,,,,0,,,,,340160,10,10000,680201,1,1000,500212,1,100000,500096,1,10000,5010101,500096,100,200000,1,,,,,,
42603,72,4,基础装备,基础装备,FFFFFF00,5,3,1,1,1,,件,1,10,2000,,,0,0,true,1,1,0,,,,false,0,true,false,false,false,0,0,1,0,1,0,1,9999999,基础装备,,10378,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,364,0,0,686,0,,,,,,,,,2,,,,1,4,6,,,,,,,,,,,,,,100003,1;2,8000,2;2,1,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,,0,30000,,,,,,0,,,,,340160,10,10000,680201,1,1000,500212,1,100000,500096,1,10000,5010101,500096,100,200000,1,,,,,,
42604,88,5,基础装备,基础装备,FFFFFF00,5,3,1,1,1,,件,1,10,2000,,,0,0,true,1,1,0,,,,false,0,true,false,false,false,0,0,1,0,1,0,1,9999999,基础装备,,10378,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,364,0,0,686,0,,,,,,,,,2,,,,1,4,6,,,,,,,,,,,,,,100002,1;2,8000,2;2,1,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,,0,30000,,,,,,0,,,,,340160,10,10000,680201,1,1000,500212,1,100000,500096,1,10000,5010101,500096,100,200000,1,,,,,,
42605,40,6,基础装备,基础装备,FFFFFF00,5,3,1,1,1,,件,1,10,2000,,,0,0,true,1,1,0,,,,false,0,true,false,false,false,0,0,1,0,1,0,1,9999999,基础装备,,10378,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,364,0,0,686,0,,,,,,,,,2,,,,1,4,6,,,,,,,,,,,,,,100000,1;2,8000,2;2,1,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,,0,30000,,,,,,0,,,,,340160,10,10000,680201,1,1000,500212,1,100000,500096,1,10000,5010101,500096,100,200000,1,,,,,,
42606,1288,0,基础装备,基础装备,FFFFFF00,5,3,1,1,1,,件,10,10,2005,,,0,0,true,0,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,0,1,9999999,基础装备,3,161506,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430035,,,3da_weapon_changjian01_s,3da_weapon_changjian01_b,,,CS_Rhand,CS_Rhand,3,10,10,10,1,2,4,7,8,,,,,,,,,,,,100003,1;2,10000,2;2,1,,,2003,2003,2003,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,99999,0,50000,,,,,,0,1,30,1,,340160,10,10000,680201,1,1000,500212,1,100000,500096,1,10000,,,,,1,,,,,,
5010101,1288,0,剑,铁齿剑,ff6ddcf6,4,3,1,1400,210,,件,10,10,2005,1,,0,0,TRUE,0,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,0,1,9999999,,,,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430035,,,3da_weapon_changjian01_s,3da_weapon_changjian01_b,,,CS_Rhand,CS_Rhand,2,10,10,999,1,2,4,7,8,,,,,,,,,,,,6030101,,,,,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,99999,0,50000,,,,,,0,1,30,1,,340160,10,10000,680201,1,1000,680401,1,1000000,680001,1,10000,,,,,1,,,,,,
5010102,3080,0,枪,曲尖枪,ff6ddcf6,4,3,1,1410,210,,件,10,10,2006,7,,0,0,TRUE,0,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,0,1,9999999,,,,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430035,,,3da_weapon_changjian01_s,3da_weapon_changjian01_b,,,CS_Rhand,CS_Rhand,2,10,10,999,1,2,4,7,8,,,,,,,,,,,,6030102,,,,,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,99999,0,50000,,,,,,0,1,30,1,,340160,10,10000,680201,1,1000,680401,1,1000000,680001,1,10000,,,,,1,,,,,,
5010103,4360,0,斧钺,开山斧,ff6ddcf6,4,3,1,1460,210,,件,10,10,2007,14,,0,0,TRUE,0,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,0,1,9999999,,,,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430035,,,3da_weapon_changjian01_s,3da_weapon_changjian01_b,,,CS_Rhand,CS_Rhand,2,10,10,999,1,2,4,7,8,,,,,,,,,,,,6030103,,,,,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,99999,0,50000,,,,,,0,1,30,1,,340160,10,10000,680201,1,1000,680401,1,1000000,680001,1,10000,,,,,1,,,,,,
5010104,4104,0,扇,折扇,ff6ddcf6,4,3,1,1490,210,,件,10,10,2008,2,,0,0,TRUE,0,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,0,1,9999999,,,,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430035,,,3da_weapon_changjian01_s,3da_weapon_changjian01_b,,,CS_Rhand,CS_Rhand,2,10,10,999,1,2,4,7,8,,,,,,,,,,,,6030104,,,,,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,99999,0,50000,,,,,,0,1,30,1,,340160,10,10000,680201,1,1000,680401,1,1000000,680001,1,10000,,,,,1,,,,,,
5010105,4360,0,魔棒,白玉棒,ff6ddcf6,4,3,1,1440,210,,件,10,10,2009,12,,0,0,TRUE,0,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,0,1,9999999,,,,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430035,,,3da_weapon_changjian01_s,3da_weapon_changjian01_b,,,CS_Rhand,CS_Rhand,2,10,10,999,1,2,4,7,8,,,,,,,,,,,,6030105,,,,,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,99999,0,50000,,,,,,0,1,30,1,,340160,10,10000,680201,1,1000,680401,1,1000000,680001,1,10000,,,,,1,,,,,,
5010106,2824,0,爪刺,镔铁爪,ff6ddcf6,4,3,1,1450,210,,件,10,10,2010,16,,0,0,TRUE,0,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,0,1,9999999,,,,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430035,,,3da_weapon_changjian01_s,3da_weapon_changjian01_b,,,CS_Rhand,CS_Rhand,2,10,10,999,1,2,4,7,8,,,,,,,,,,,,6030106,,,,,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,99999,0,50000,,,,,,0,1,30,1,,340160,10,10000,680201,1,1000,680401,1,1000000,680001,1,10000,,,,,1,,,,,,
5010107,1288,0,锤,松木锤,ff6ddcf6,4,3,1,1480,210,,件,10,10,2011,8,,0,0,TRUE,0,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,0,1,0,1,0,1,9999999,,,,使用方法：点击装备按钮,,,3,1,2,500,250,0,0,,,,,0,1,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430035,,,3da_weapon_changjian01_s,3da_weapon_changjian01_b,,,CS_Rhand,CS_Rhand,2,10,10,999,1,2,4,7,8,,,,,,,,,,,,6030107,,,,,,,2001,2001,2000,50,40012,1,40012,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,40013,1,20100,1,20100,1,,,,,,,,,,99999,0,50000,,,,,,0,1,30,1,,340160,10,10000,680201,1,1000,680401,1,1000000,680001,1,10000,,,,,1,,,,,,
