id,名称,银币,公会贡献,随机类型,描述
320150,血色茶花,500,1,1,"<T t=""血色茶花"" c=""ff553923"" f=""simhei-11""></T><B></B><T t="" "" c=""FF8C5E2A"" f=""simhei-10""></T><B></B><T t=""出自南方的野生茶花，可恢复200点气血(战斗外使用增加等量气血储备)"" c=""FF8C5E2A"" f=""simhei-10""></T>"
320151,鹿茸,500,1,1,"<T t=""鹿茸"" c=""ff553923"" f=""simhei-11""></T><B></B><T t="" "" c=""FF8C5E2A"" f=""simhei-10""></T><B></B><T t=""南极仙鹿之茸，可恢复150点气血(战斗外使用增加等量气血储备)"" c=""FF8C5E2A"" f=""simhei-10""></T>"
320152,仙狐诞,500,1,1,"<T t=""仙狐诞"" c=""ff553923"" f=""simhei-11""></T><B></B><T t="" "" c=""FF8C5E2A"" f=""simhei-10""></T><B></B><T t=""仙狐的涎水制成的药草，可恢复150点魔法(战斗外使用增加等量魔法储备)"" c=""FF8C5E2A"" f=""simhei-10""></T>"
320153,麝香,500,1,1,"<T t=""麝香"" c=""ff553923"" f=""simhei-11""></T><B></B><T t="" "" c=""FF8C5E2A"" f=""simhei-10""></T><B></B><T t=""出自野生雄麝鹿，可恢复100点魔法(战斗外使用增加等量魔法储备)"" c=""FF8C5E2A"" f=""simhei-10""></T>"
320154,火风之晴,1000,2,2,"<T t=""火风之晴"" c=""ff553923"" f=""simhei-11""></T><B></B><T t="" "" c=""FF8C5E2A"" f=""simhei-10""></T><B></B><T t=""凤凰的眼睛，可恢复300点气血(战斗外使用增加等量气血储备)"" c=""FF8C5E2A"" f=""simhei-10""></T>"
320155,凤凰尾,1000,2,2,"<T t=""凤凰尾"" c=""ff553923"" f=""simhei-11""></T><B></B><T t="" "" c=""FF8C5E2A"" f=""simhei-10""></T><B></B><T t=""凤凰尾部的羽毛，可恢复250点气血(战斗外使用增加等量气血储备)"" c=""FF8C5E2A"" f=""simhei-10""></T>"
320156,孔雀红,1000,2,2,"<T t=""孔雀红"" c=""ff553923"" f=""simhei-11""></T><B></B><T t="" "" c=""FF8C5E2A"" f=""simhei-10""></T><B></B><T t=""用孔雀的精华制成的药品，可恢复150点魔法(战斗外使用增加等量魔法储备)"" c=""FF8C5E2A"" f=""simhei-10""></T>"
320157,血珊瑚,1000,2,2,"<T t=""血珊瑚"" c=""ff553923"" f=""simhei-11""></T><B></B><T t="" "" c=""FF8C5E2A"" f=""simhei-10""></T><B></B><T t=""东海海底的千年珊瑚，可恢复100点魔法(战斗外使用增加等量魔法储备)"" c=""FF8C5E2A"" f=""simhei-10""></T>"
,,,,,
,,,,,
