id,语录内容,最大行数
1,哇，惊奇里面，有的金额是多倍的哦，但是有次数限制,58
2,追梦西游2，有你更精彩。,58
3,快捷功能里面是可以快速到达功能页面的哦,58
4,追梦西游2，有你更精彩。,58
5,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
6,快捷功能里面是可以快速到达功能页面的哦,58
7,追梦西游2，有你更精彩。,58
8,偷偷告诉你，百宠仙池抽到的宠物除了合宠还能回收哦,58
9,追梦西游2，有你更精彩。,58
10,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
11,追梦西游2，有你更精彩。,58
12,追梦西游2，有你更精彩。,58
13,快捷功能里面是可以快速到达功能页面的哦,58
14,追梦西游2，有你更精彩。,58
15,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
16,哇，惊奇里面，有的金额是多倍的哦，但是有次数限制,58
17,追梦西游2，有你更精彩。,58
18,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
19,偷偷告诉你，百宠仙池抽到的宠物除了合宠还能回收哦,58
20,追梦西游2，有你更精彩。,58
21,追梦西游2，有你更精彩。,58
22,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
23,快捷功能里面是可以快速到达功能页面的哦,58
24,追梦西游2，有你更精彩。,58
25,追梦西游2，有你更精彩。,58
26,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
27,哇，惊奇里面，有的金额是多倍的哦，但是有次数限制,58
28,追梦西游2，有你更精彩。,58
29,追梦西游2，有你更精彩。,58
30,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
31,追梦西游2，有你更精彩。,58
32,快捷功能里面是可以快速到达功能页面的哦,58
33,追梦西游2，有你更精彩。,58
34,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
35,偷偷告诉你，百宠仙池抽到的宠物除了合宠还能回收哦,58
36,追梦西游2，有你更精彩。,58
37,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
38,追梦西游2，有你更精彩。,58
39,快捷功能里面是可以快速到达功能页面的哦,58
40,哇，惊奇里面，有的金额是多倍的哦，但是有次数限制,58
41,追梦西游2，有你更精彩。,58
42,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
43,快捷功能里面是可以快速到达功能页面的哦,58
44,偷偷告诉你，百宠仙池抽到的宠物除了合宠还能回收哦,58
45,追梦西游2，有你更精彩。,58
46,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
47,快捷功能里面是可以快速到达功能页面的哦,58
48,追梦西游2，有你更精彩。,58
49,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
50,哇，惊奇里面，有的金额是多倍的哦，但是有次数限制,58
51,追梦西游2，有你更精彩。,58
52,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
53,偷偷告诉你，百宠仙池抽到的宠物除了合宠还能回收哦,58
54,追梦西游2，有你更精彩。,58
55,追梦西游2，有你更精彩。,58
56,转职业角色的时候，一定要下装备，下法宝，坐骑，脱掉锦衣，退队伍才可以哦,58
57,哇，惊奇里面，有的金额是多倍的哦，但是有次数限制,58
58,追梦西游2，有你更精彩。,58
