ID,名字,排序,浮动开关,二级菜单1,二级菜单2,二级菜单3,二级菜单4,二级菜单5,二级菜单6,二级菜单7,二级菜单8,二级菜单9,二级菜单10,二级菜单11,二级菜单12,二级菜单13,二级菜单14,二级菜单15,二级菜单16,二级菜单17,二级菜单18,二级菜单19,二级菜单20,二级菜单21,二级菜单22,二级菜单23,二级菜单24,二级菜单25,二级菜单26,二级菜单27,二级菜单28,二级菜单29,二级菜单30,二级菜单31,二级菜单32,二级菜单33,二级菜单34,二级菜单35,二级菜单36,二级菜单37,二级菜单38,二级菜单39,二级菜单40,二级菜单41,二级菜单42,二级菜单43,二级菜单44,二级菜单45,二级菜单46,二级菜单47,二级菜单48,二级菜单49,二级菜单50
2,珍品宠物,1,0,100,101,102,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,珍品装备,2,0,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,,,,,,,,,,,,,,,,,,,,,,,,,,
4,待用,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,器灵,4,0,400,401,402,403,404,405,406,407,408,409,410,411,412,413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,强化材料,5,0,430,431,432,433,434,435,325,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,星印打造,6,0,450,451,452,453,454,455,456,457,458,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,法宝,7,0,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,,,,,,,,,,,,
15,待用,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,临时符,9,1,650,651,652,653,654,655,656,657,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,宠物装备,10,0,700,701,702,703,704,705,706,707,708,709,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,特殊兽决,11,0,1400,1401,1402,1403,1404,1405,1406,1407,1408,1409,1410,1411,1412,1413,1414,1415,1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,高级兽决,12,0,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,,,,,,,,,,,
20,低级兽决,13,0,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,,,,,,,,,,,
12,高级内丹,14,0,900,901,902,903,904,905,906,907,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,低级内丹,15,0,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,奇珍异宝,16,0,990,991,1000,1001,1002,1003,1004,1005,1006,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,药品,17,1,1100,1101,1102,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,烹饪,18,1,1200,1201,1202,1203,1204,1205,1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,变身卡,20,0,1301,1302,1303,1304,1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
