id,备注,特效名,特效路径
10,,attacked,geffect/sprite/attacked
13,,inbattle,geffect/sprite/inbattle
14,,teamleader,animation/sprite/teamleader
22,,taskfinish,animation/sprite/npc/taskfinish
23,,taskincomplete,animation/sprite/npc/taskincomplete
24,,tasknew,
5202,,1_hua,geffect/sprite/flower/1_hua
5203,,11_hua,geffect/sprite/flower/11_hua
5204,,99_hua,geffect/sprite/flower/99_hua
5205,,365_hua,geffect/sprite/flower/365_hua
5206,,999_hua,geffect/sprite/flower/999_hua
5209,,xiaoshengji,geffect/shengji/xiaoshengji
5210,,shengji10,geffect/shengji/shengji10
5211,,xiaoshengjilizi,geffect/shengji/xiaoshengjilizi
5212,,dashengjilizi,geffect/shengji/dashengjilizi
5233,,shengji20,geffect/shengji/shengji20
5234,,shengji30,geffect/shengji/xiaoshengji
5235,,shengji40,geffect/shengji/xiaoshengji
5236,,shengji50,geffect/shengji/xiaoshengji
5237,,shengji60,geffect/shengji/xiaoshengji
5238,,shengji70,geffect/shengji/xiaoshengji
5239,,shengji80,geffect/shengji/xiaoshengji
5240,,shengji90,geffect/shengji/xiaoshengji
5241,,shengji100,geffect/shengji/xiaoshengji
5242,,shengji110,geffect/shengji/xiaoshengji
5243,,shengji120,geffect/shengji/xiaoshengji
5244,,shengji130,geffect/shengji/xiaoshengji
5245,,shengji140,geffect/shengji/xiaoshengji
5246,,shengji150,geffect/shengji/xiaoshengji
5248,,yanhua,geffect/ui/yanhua/yanhua
5253,,jq1_fashu,geffect/skill/mt_xukongluanliu/mt_xukongluanliu_mingzhong
5262,,jq2_Wjinghua,geffect/shengji/shengji_03
5271,14002麦迪文出现特效保持,jq0_chuxian,geffect/sence/story/mt_jq_chuxian_2/mt_jq_chuxian_2
5273,14002麦迪文出现,jq01_chuxioan,geffect/sence/story/mt_jq_chuxian_1/mt_jq_chuxian_1
5278,,map_ygld_1,geffect/sence/mt_yueguanglindi/mt_ygld_jing
5280,,map_ygld_3,geffect/sence/mt_yueguanglindi/mt_ygld_jing_3
5281,,aersasi_skill1_1,geffect/skill/mt_bingjian/mt_bingjian_shang
5282,,aersasi_skill1_2,geffect/skill/mt_bingjian/mt_bingjian_xia
5283,14003觉醒前,jp40_jiaoxia_diqiya,geffect/skill/mt_buff/jinmo
5284,14003觉醒,jp40_shenshang_yanjing,geffect/skill/mt_buff/zengkong
5285,14003觉醒,jp40_touding_gongji,geffect/skill/mt_buff/chongfeng
5286,14003物理受击右上,jp40_wuli_shouji1,geffect/skill/mt3_dz_da/mt3_dz_da_2
5287,14003物理受击左下,jp40_wuli_shouji2,geffect/skill/mt_huimiedaji_shouji/mt_huimiedaji_shouji
5288,14003法术攻击,jp40_fashu_gongji,geffect/skill/mt_shenyuzenan/mt_shenyuzenan_mingzhong
5289,14003法术受击,jp40_fashu_shouji,geffect/skill/mt3_beiji/mt3_beiji
5292,,hc35_jiaoxia_dingshen,geffect/skill/mt_buff/dingshen
5293,14001BOSS陨石,jq00_bossfashu_yunshi1,geffect/skill/mt3_ss_2/mt3_ss_2_1
5294,14001BOSS陨石,jq00_bossfashu_yunshi2,geffect/skill/mt3_ss_2/mt3_ss_2_2
5295,14002雷击出场,jq02_zhujue_chuchang,geffect/skill/mt_guai_benleizhou/mt_guai_benleizhou
5296,14002主角光圈,jq02_zhujue_guanghuan,geffect/skill/mt_buff/mianyisiwang
5297,14002主角能量球,jq02_zhujue_guangqiu,geffect/skill/mt_buff/huilan
5298,14002主角传送,jq02_zhujue_chuansong1,geffect/sence/story/mt_jq_chuansong/mt_jq_chuansong_xia
5299,14002主角传送,jq02_zhujue_chuansong2,geffect/sence/story/mt_jq_chuansong/mt_jq_chuansong_shang
5300,13004受击,jq00_wuli_shouji,geffect/skill/huimiezhichui/huimiezhichui_mingzhong
5301,13005净化,jq00_jinghua_01,geffect/skill/mt_susheng/mt_susheng_shang
5302,13005净化,jq00_jinghua_02,geffect/skill/mt_susheng/mt_susheng_xia
5303,13005净化,jq00_jinghua_03,geffect/skill/mt_shenshengxinxing/mt_shenshengxinxing
5304,13005净化,jq00_jinghua_04,geffect/skill/mt_tiandingzhiguo/mt_tiandingzhiguo_shang_1
5305,14005出场,jq_chuchang_01,geffect/skill/mt3_zhaohuan/mt3_zhaohuan_shang
5306,14001法术,jq00_rongyanpenfa,geffect/skill/mt3_ls_guochang/mt3_ls_guochang
5307,14001法术2,jq00_rongyanpenfa2,geffect/skill/mt3_luosi_huoyunshi/mt3_luosi_huoyunshi
5308,14001法术3,jq00_rongyanpenfa3,geffect/skill/mt3_luosi_yanjiang/mt3_luosi_yanjiang
5309,称谓1,,geffect/skill/mt3_luosi_yanjiang/mt3_luosi_yanjiang
