寻找物品类id,寻找物品组,职业,等级段min,等级段max,回收物品,物品数量,售卖NPC,是否可传说,传说时间限制,传说发放物品,是否需求品质,品质系数,品质常数,是否调用特殊情况奖励,策划备注
1,1,0,15,29,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,40级师门环装
2,1,0,30,39,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,
3,1,0,40,44,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,
4,1,0,45,49,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,
5,1,0,50,59,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,
6,1,0,60,69,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,
7,1,0,70,79,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,
8,1,0,80,89,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,
9,1,0,90,155,6040101@30;6040102@30;6040103@30;6040104@30;6040105@30;6040106@30;6040107@30;6040108@30;6040109@30;6040110@30;6040111@30;6040112@30;6040113@30;6040114@30;6040115@30;6040116@30;6040117@30;6040220@30;6040221@30;6040322@30;6040323@30;6040424@30;6040525@30;6040626@30,1,161506,,,,0,0,0,,
10,2,0,0,155,4040101@30;4040102@30;4040103@30;4040104@30;4040105@30;4040207@30;4040208@30;4040309@30;4040310@30;4040411@30;4040512@30;4040613@30,1,160802,1,1200,,0,0,0,,传说任务
