编号,职业ID,人物模型资源,武器造型编号,物理攻击动作名,施法攻击动作名,受击动作名,死亡过程名,死亡状态名,防御名,跑动名,战斗内待机名,战斗外待机名,坐骑飞行动作名,坐骑待机动作名
111,11,ht-jianxiake,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
112,11,ht-xiaoyaosheng,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
113,11,ht-shapolang,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
114,11,ht-gujingling,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
115,11,ht-longtaizi,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
116,11,ht-xuancaie,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
117,11,ht-feiyannv,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
118,11,ht-hutouguai,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
119,11,ht-shentianbing,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
120,11,ht-humeiren,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
121,11,ht-wumaner,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
122,11,ht-wutianji,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
123,11,ht-moshaojun,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
124,11,ht-jumowang,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
125,11,ht-yulingshen,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
126,11,ht-yingnvxia,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
127,11,ht-menglinglong,,attack1,magic1,attacked,death2,death,defend,run,stand3,stand1,riding_run,riding_stand1
