id,名称,物品id1,物品id1权重,物品id2,物品id2权重,物品id3,物品id3权重,物品id4,物品id4权重,物品id5,物品id5权重,物品id6,物品id6权重,物品id7,物品id7权重,物品id8,物品id8权重,物品id9,物品id9权重,物品id10,物品id10权重,物品id11,物品id11权重,物品id12,物品id12权重,物品id13,物品id13权重,物品id14,物品id14权重,物品id15,物品id15权重,物品id16,物品id16权重,物品id17,物品id17权重,物品id18,物品id18权重,物品id19,物品id19权重,物品id20,物品id20权重,物品id21,物品id21权重,物品id22,物品id22权重,物品id23,物品id23权重,物品id24,物品id24权重,物品id25,物品id25权重,物品id26,物品id26权重,物品id27,物品id27权重,物品id28,物品id28权重,物品id29,物品id29权重,物品id30,物品id30权重,物品id31,物品id31权重,物品id32,物品id32权重,物品id33,物品id33权重,物品id34,物品id34权重,物品id35,物品id35权重,物品id36,物品id36权重,物品id37,物品id37权重,物品id38,物品id38权重,物品id39,物品id39权重,物品id40,物品id40权重,物品id41,物品id41权重,物品id42,物品id42权重,物品id43,物品id43权重,物品id44,物品id44权重,物品id45,物品id45权重,物品id46,物品id46权重,物品id47,物品id47权重,物品id48,物品id48权重,物品id49,物品id49权重,物品id50,物品id50权重,物品id51,物品id51权重,物品id52,物品id52权重,物品id53,物品id53权重,物品id54,物品id54权重,物品id55,物品id55权重,物品id56,物品id56权重,物品id57,物品id57权重,物品id58,物品id58权重,物品id59,物品id59权重,物品id60,物品id60权重,物品id61,物品id61权重,物品id62,物品id62权重,物品id63,物品id63权重,物品id64,物品id64权重,物品id65,物品id65权重,物品id66,物品id66权重,物品id67,物品id67权重,物品id68,物品id68权重,物品id69,物品id69权重,物品id70,物品id70权重,物品id71,物品id71权重,物品id72,物品id72权重,物品id73,物品id73权重,物品id74,物品id74权重,物品id75,物品id75权重,物品id76,物品id76权重,物品id77,物品id77权重,物品id78,物品id78权重
200001,测试用装备,41600,100,41601,100,41602,100,41603,100,41604,100,41605,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200002,测试用任务奖励,4001207,100,4001208,100,4001309,100,4001310,100,4001411,100,4001512,100,4001613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200003,,4010207,100,4010208,100,4010309,100,4010310,100,4010411,100,4010512,100,4010613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200004,,4020207,100,4020208,100,4020309,100,4020310,100,4020411,100,4020512,100,4020613,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200005,,4001101,100,4001102,100,4001103,100,4001104,100,4001105,100,4001106,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200006,,4010101,100,4010102,100,4010103,100,4010104,100,4010105,100,4010106,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200007,,4020101,100,4020102,100,4020103,100,4020104,100,4020105,100,4020106,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200008,藏宝图,331300,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200009,日常副本任务奖励,331350,20,331351,20,331352,50,331353,100,331354,100,35001,500,35002,500,35003,500,35004,500,35005,500,35006,500,35007,500,35008,500,35009,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200010,职业任务奖励,35001,100,35002,100,35003,100,35004,100,35005,100,35006,100,35007,100,35008,100,35009,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
