id,物品id1,物品数量1,宠物id1,宠物数量1,物品1是否绑定,宠物1是否绑定,标签1,物品id2,物品数量2,宠物id2,宠物数量2,物品2是否绑定,宠物2是否绑定,标签2,物品id3,物品数量3,宠物id3,宠物数量3,物品3是否绑定,宠物3是否绑定,标签3,物品id4,物品数量4,宠物id4,宠物数量4,物品4是否绑定,宠物4是否绑定,标签4,物品id5,物品数量5,宠物id5,宠物数量5,物品5是否绑定,宠物5是否绑定,标签5,物品id6,物品数量6,宠物id6,宠物数量6,物品6是否绑定,宠物6是否绑定,标签6,物品id7,物品数量7,宠物id7,宠物数量7,物品7是否绑定,宠物7是否绑定,标签7,物品id8,物品数量8,宠物id8,宠物数量8,物品8是否绑定,宠物8是否绑定,标签8,物品id9,物品数量9,宠物id9,宠物数量9,物品9是否绑定,宠物9是否绑定,标签9,物品id10,物品数量10,宠物id10,宠物数量10,物品10是否绑定,宠物10是否绑定,标签10,物品id11,物品数量11,宠物id11,宠物数量11,物品11是否绑定,宠物11是否绑定,标签11,物品id12,物品数量12,宠物id12,宠物数量12,物品12是否绑定,宠物12是否绑定,标签12,物品id13,物品数量13,宠物id13,宠物数量13,物品13是否绑定,宠物13是否绑定,标签13,物品id14,物品数量14,宠物id14,宠物数量14,物品14是否绑定,宠物14是否绑定,标签14,物品id15,物品数量15,宠物id15,宠物数量15,物品15是否绑定,宠物15是否绑定,标签15,物品id16,物品数量16,宠物id16,宠物数量16,物品16是否绑定,宠物16是否绑定,标签16,物品id17,物品数量17,宠物id17,宠物数量17,物品17是否绑定,宠物17是否绑定,标签17
1,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day,,,500314,1,0,1,set:jiangli image:2day
2,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day,500625,1,,,0,0,set:jiangli image:12day
3,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day
4,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day
5,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day,500625,1,,,0,0,set:jiangli image:7day
6,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day
7,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day
8,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day
9,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day
10,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day
11,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day,500625,1,,,0,0,set:jiangli image:5day
