id,语录内容,最大行数
1,切换地图是不会产生流量的哦~,58
2,MT3项目组*绝对*不会以任何方式索取您的密码信息。,58
3,官方暂不支持玩家间的交易，请警惕风险，预防受骗。,58
4,加入公会后，可以学习丰富的生活技能和专精技能。,58
5,野生宠物通过洗炼可以变为宝宝。,58
6,专精技能可以大幅提升你的属性。,58
7,使用对应的原石进行强化打造装备，可以获得更高属性。,58
8,职业日常是每日必做任务。,58
9,珍品装备、宝宝可以通过拍卖行进行交易。,58
10,“退出公会”后生活技能不会消失 。,58
11,高级藏宝图有几率放出宠物幼儿园。,58
12,集齐一套巨龙残骸可以找探险者协会的布莱同需换取高级藏宝图。,58
13,烹饪是一项生活技能。,58
14,烹饪技能等级越高，制作的烹饪种类越多，品质也越高。,58
15,炼金是一项生活技能。,58
16,炼金技能等级越高，制作的药水品质也越高。,58
17,参加“竞技场”可获得“荣誉值”，“荣誉值”可换取道具。,58
18,远古魔像和巨龙军团共享计次，按照你的需求选择怪物挑战吧。,58
19,日常副本每场将消耗5点多倍点数，大大提升经验。,58
20,击败巨龙军团[屠魔]有几率获得装备打造材料和龙骸道具。,58
21,两颗低级宝石可以通过合成获得一颗高级宝石。,58
22,耐久度可以通过相关模具进行修理。,58
23,活跃度达到一定的值都能在活动界面领取奖励。,58
24,战斗时长按技能图标可以查看技能的相关说明。,58
25,战斗中点击技能图标可以进行辅助设置。,58
26,60级以上的装备可以镶嵌两颗宝石。,58
27,加入公会后，你可以通过-“点击头像”-“属性”-“回公会”回到“公会领地”。,58
28,离线后也能获得经验哦！,58
29,特殊修理不会损坏装备。,58
30,据我所知，那些厉害的宠物都是通过合宠获得的，当然你也可以去拍卖行购买。,58
31,镶嵌高级宝石能让你更加强力。,58
32,与他人共享账号可能让你失去它。,58
33,伙伴助战也有职业区分呦。,58
34,两只宝宝可以进行“合宠”操作哦。,58
35,组队时请保持礼貌，他们会再次邀请你入队。,58
36,请勿轻信非官方发布的代充广告，多为敲诈行为。若充值有困难，可联系客服解决。,58
37,每天第一次切换加点都是免费的哦！,58
38,不同的加点方案将会有不同的能力偏向，大家多多尝试不同的加点方案吧！,58
39,帮助其他玩家完成剧情任务时，可以获得援助经验奖励哦！,58
40,击败高级藏宝图释放的上古之神[诛神]，有可能获得价值不菲的道具哦。,58
41,精英副本每天只能获得两次奖励。,58
42,合理的分配队伍可以让你们在公会副本中的效率更高。,58
43,公会副本竞速排行榜是公会荣誉和实力的象征！,58
44,在活动界面可以查看活动周历，所有活动时间一目了然。,58
45,不同的光环会让队伍适应不同的战斗环境。,58
46,将宠物的法术攻击技能在炼宠界面可以进行认证，将会额外增加一个技能。,58
47,点击左上角地图名字区域可以打开当前地图的小地图。,58
48,当背包容量不够时可以将暂时不用的道具放入仓库中。,58
49,帮助低于自身等级10级的其他玩家可以获得声望值奖励。,58
50,声望、荣誉和职业贡献都可以用来兑换稀有道具。,58
51,活动界面的推送功能里边可以自定义想要进行推送提醒的活动项目。,58
52,在紫罗兰染色人处可以设计您个性的染色方案，让您脱颖而出。,58
53,不同的光环间存在克制关系。,58
54,点击屏幕左上角的缩略图标可以直接打开世界地图。,58
55,暂时闲置的宠物可以存放在宠物仓库中。,58
56,战斗失败时尝试调整一下阵容，合理的阵容搭配更加有效获得战斗胜利。,58
57,狩猎活动全天开放，丰富的道具和金币奖励等你来拿。,58
58,上古巨龙[诛神]击败后将会掉落稀有的巨龙残骸。,58
