id,等级min,等级max,等级段id,当前状态,所在地图,跳转坐标,挑战npc,常规奖励id,挑战服务,战斗id,服务npc,掉宝箱概率,宝箱奖励id,跳转点map,跳转点x,跳转点y,总关卡数,关卡描述,攻略,名字,可跳转坐标,跳转目标地图,目标地图坐标,是否BOSS,C级奖励id,B级奖励id,A级奖励id,S级奖励id,第几关,开宝箱次数,介绍,x坐标,y坐标,立绘路径,关卡数,推荐阵容
100,40,69,1,0,1820,"41,70",182101,5290,1483,3001,,0;0;0,0,0,0,0,25,精锐•试炼之塔,一江风,一江风,,,,0,,,,,第1关,0,,0,5,set:ccfuben image:c1,第一关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
101,40,69,1,1,1820,"29,24",182102,5290,1484,3002,,0;0;0,0,0,0,0,25,精锐•试炼之塔,鬼国公主,鬼国公主,,,,0,,,,,第2关,0,,185,5,set:ccfuben image:c2,第二关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
102,40,69,1,2,1820,"27,53",182103,5290,1485,3003,,0;0;0,0,0,0,0,25,精锐•试炼之塔,定山神,定山神,,,,0,,,,,第3关,0,,370,5,set:ccfuben image:c3,第三关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I>"
103,40,69,1,3,1820,"49,55",182104,5290,1486,3004,,0;0;0,0,0,0,0,25,精锐•试炼之塔,猴小圣,猴小圣,,,,0,,,,,第4关,0,,555,5,set:ccfuben image:c4,第四关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
104,40,69,1,4,1820,"52,43",182105,5291,1487,3005,,0;0;0,11702;11702;11702;11702,0,0,0,25,精锐•试炼之塔,掌灯人,掌灯人,"110,17",1821,"41,70",1,28,27,26,25,第5关,1,,740,5,set:ccfuben image:c5,第五关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
105,40,69,1,5,1821,"41,70",182201,5290,1488,3006,,0;0;0,0,1821,41,70,25,精锐•试炼之塔,百目鬼王,百目鬼王,,,,0,,,,,第6关,0,,0,5,set:ccfuben image:c6,第六关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
106,40,69,1,6,1821,"29,24",182202,5290,1489,3007,,0;0;0,0,0,0,0,25,精锐•试炼之塔,伏虎校尉,伏虎校尉,,,,0,,,,,第7关,0,,185,5,set:ccfuben image:c7,第七关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0004'></I><I s='ccui1' i='cc0001'></I>"
107,40,69,1,7,1821,"27,53",182203,5290,1490,3008,,0;0;0,0,0,0,0,25,精锐•试炼之塔,灵台道人,灵台道人,,,,0,,,,,第8关,0,,370,5,set:ccfuben image:c8,第八关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
108,40,69,1,8,1821,"49,55",182204,5290,1491,3009,,0;0;0,0,0,0,0,25,精锐•试炼之塔,沧海银龙,沧海银龙,,,,0,,,,,第9关,0,,555,5,set:ccfuben image:c9,第九关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0001'></I>"
109,40,69,1,9,1821,"52,43",182205,5291,1492,3010,,0;0;0,11702;11702;11702;11702,0,0,0,25,精锐•试炼之塔,观音大士,观音大士,"110,17",1822,"41,70",1,28,27,26,25,第10关,1,,740,5,set:ccfuben image:c10,第十关,"<T t=""  推荐助战阵容     "" c=""FF553923"" f=""simhei-10""></T><I s='ccui1' i='cc0003'></I><I s='ccui1' i='cc0005'></I><I s='ccui1' i='cc0001'></I><I s='ccui1' i='cc0002'></I>"
