当前等级,下级经验
0,48
1,168
2,528
3,1128
4,1968
5,3048
6,4368
7,5928
8,7728
9,9768
10,12048
11,14568
12,17328
13,20328
14,23568
15,27048
16,30768
17,34728
18,38928
19,43368
20,48048
21,52968
22,58128
23,63528
24,69168
25,75048
26,81168
27,87528
28,94128
29,100968
30,108048
31,115368
32,122928
33,130728
34,138768
35,147048
36,155568
37,164328
38,173328
39,182568
40,192048
41,201768
42,211728
43,221928
44,232368
45,243048
46,253968
47,265128
48,276528
49,288168
50,300048
51,312168
52,324528
53,337128
54,349968
55,363048
56,376368
57,389928
58,403728
59,417768
60,432048
61,446568
62,461328
63,476328
64,491568
65,507048
66,522768
67,538728
68,554928
69,571368
70,588048
71,604968
72,622128
73,639528
74,657168
75,675048
76,693168
77,711528
78,730128
79,748968
80,768048
81,787368
82,806928
83,826728
84,846768
85,867048
86,887568
87,908328
88,929328
89,950568
90,972048
91,993768
92,1015728
93,1037928
94,1060368
95,1083048
96,1105968
97,1129128
98,1152528
99,1176168
100,1200048
101,1224168
102,1248528
103,1273128
104,1297968
105,1323048
106,1348368
107,1373928
108,1399728
109,1425768
110,1452048
111,1478568
112,1505328
113,1532328
114,1559568
115,1587048
116,1614768
117,1642728
118,1670928
119,1699368
120,1728048
121,1756968
122,1786128
123,1815528
124,1845168
125,1875048
126,1905168
127,1935528
128,1966128
129,1996968
130,2028048
131,2059368
132,2090928
133,2122728
134,2154768
135,2187048
136,2219568
137,2252328
138,2285328
139,2318568
140,2352048
141,2385768
142,2419728
143,2453928
144,2488368
145,2523048
146,2557968
147,2593128
148,2628528
149,2664168
150,2700048
151,2735928
152,2771808
153,2807688
154,2843568
155,2879448
156,2915328
157,2951208
158,2987088
159,3022968
160,3058848
161,3094728
162,3130608
163,3166488
164,3202368
165,3238248
166,3274128
167,3310008
168,3345888
169,3381768
170,3417648
171,3453528
172,3489408
173,3525288
174,3561168
175,3597048
176,3632928
177,3668808
178,3704688
179,3740568
180,3776448
181,3824448
182,3872448
183,3920448
184,3968448
185,4016448
186,4064448
187,4112448
188,4160448
189,4208448
190,4256448
191,4304448
192,4352448
193,4400448
194,4448448
195,4496448
196,4544448
197,4592448
198,4640448
199,4688448
200,4736448
201,4784448
202,4832448
203,4880448
204,4928448
205,4976448
206,5024448
207,5072448
208,5120448
209,5168448
210,5216448
211,5264448
212,5312448
213,5360448
214,5408448
215,5456448
216,5504448
217,5552448
218,5600448
219,5648448
220,5696448
221,5744448
222,5792448
223,5840448
224,5888448
225,5936448
226,5984448
227,6032448
228,6080448
229,6128448
230,6176448
231,6224448
232,6272448
233,6320448
234,6368448
235,6416448
236,6464448
237,6512448
238,6560448
239,6608448
240,6656448
241,6704448
242,6752448
243,6800448
244,6848448
245,6896448
246,6944448
247,6992448
248,7040448
249,7088448
250,7136448
