编号,售卖图标ID,名称,名称颜色,宠物品质,售卖商店类型,售卖NPCID,参战等级,携带等级,初始等级,推荐体质,推荐智力,推荐力量,推荐耐力,推荐敏捷,初始属性分配类型,初始属性点,初始寿命,area1colour,area2colour,染色方案选择,体资最小值,体资最大值,法资最小值,法资最大值,攻资最小值,攻资最大值,防资最小值,防资最大值,速资最小值,速资最大值,体资固定值,法资固定值,攻资固定值,防资固定值,速资固定值,成长率1,成长率2,成长率3,成长率4,成长率5,成长率6,成长率7,固定成长率,治疗强度成长,控制命中成长,控制抗性成长,类型,对应野生ID,对应宝宝ID,对应变异ID,是否稀有,造型id,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10,技能11,技能12,技能13,技能14,技能15,技能16,技能17,技能18,技能19,技能20,技能21,技能22,技能23,技能24,出现几率1,出现几率2,出现几率3,出现几率4,出现几率5,出现几率6,出现几率7,出现几率8,出现几率9,出现几率10,出现几率11,出现几率12,出现几率13,出现几率14,出现几率15,出现几率16,出现几率17,出现几率18,出现几率19,出现几率20,出现几率21,出现几率22,出现几率23,出现几率24,图鉴是否显示,可出现场景地图ID,出现场景描述,点卡服图鉴是否显示,点卡服可出现场景地图ID,点卡服出现场景描述,洗宠消耗材料ID,洗宠消耗材料数量,洗练后ID,是否绑定,技能认证花费银币,取消认证花费银币,辅助AI,珍品评分,珍品需要技能数,宠物回收价格,多少次变成满技能,摆摊冻结时间,技能1是否绑定,技能2是否绑定,技能3是否绑定,技能4是否绑定,技能5是否绑定,技能6是否绑定,技能7是否绑定,技能8是否绑定,技能9是否绑定,技能10是否绑定,技能11是否绑定,技能12是否绑定,技能13是否绑定,技能14是否绑定,技能15是否绑定,技能16是否绑定,技能17是否绑定,技能18是否绑定,技能19是否绑定,技能20是否绑定,技能21是否绑定,技能22是否绑定,技能23是否绑定,技能24是否绑定,珍品找回消耗,幻化消耗物品id,幻化消耗物品数量,幻化面板显示,每日可洗宠次数,是否珍兽,专属内丹ID
500001,32000,泡泡,FF00FF00,2,1,161505,0,0,0,0,0,5,0,0,1,50,10000,0,0,0,3150,3600,1344,1536,965,1104,840,960,840,960,,,,,,952,954,956,958,960,962,964,,6,10,10,1,500001,520001,530001,,1100001,206002,206058,206067,206060,,,,,,,,,,,,,,,,,,,,,1001,1001,333,333,,,,,,,,,,,,,,,,,,,,,0,0,宠物乐园,,,宠物洗炼,310102,1,520001@1000,,1000000,1000000,,99999,1,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
500002,32000,野猪,FF00FF00,2,1,161505,0,0,0,0,0,5,0,0,1,50,10000,0,0,0,2520,2880,840,960,923,1056,503,576,588,672,,,,,,952,954,956,958,960,962,964,,6,10,10,1,500002,520002,530002,,1100002,206003,206023,,,,,,,,,,,,,,,,,,,,,,,1001,333,,,,,,,,,,,,,,,,,,,,,,,0,0,宠物乐园,,,宠物洗炼,310102,1,520002@1000,,1000000,1000000,,99999,1,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
500101,32000,大海龟,FF00FF00,2,1,161505,10,10,10,5,0,0,0,0,1,50,10000,0,0,0,2835,3240,1344,1536,503,576,882,1008,420,480,,,,,,952,954,956,958,960,962,964,,6,10,10,1,500101,520101,530101,,1100101,206021,206016,,,,,,,,,,,,,,,,,,,,,,,1001,333,,,,,,,,,,,,,,,,,,,,,,,0,0,宠物乐园,,,宠物洗炼,310102,1,520101@1000,,1000000,1000000,,99999,1,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
500102,32000,海毛虫,FF00FF00,2,1,161505,10,10,10,0,0,5,0,0,1,50,10000,0,0,0,1889,2160,672,768,965,1104,503,576,756,864,,,,,,952,954,956,958,960,962,964,,6,10,10,1,500102,520102,530102,,1100102,206035,206001,,,,,,,,,,,,,,,,,,,,,,,1001,333,,,,,,,,,,,,,,,,,,,,,,,0,0,宠物乐园,,,宠物洗炼,310102,1,520102@1000,,1000000,1000000,,99999,2,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
500103,32000,老虎,FF00FF00,2,1,161505,10,10,10,0,0,5,0,0,1,50,10000,0,0,0,1889,2160,840,960,965,1104,546,624,756,864,,,,,,952,954,956,958,960,962,964,,6,10,10,1,500103,520103,530103,,1100103,206003,206023,206002,,,,,,,,,,,,,,,,,,,,,,1001,333,333,,,,,,,,,,,,,,,,,,,,,,0,0,宠物乐园,,,宠物洗炼,310102,1,520103@1000,,1000000,1000000,,99999,2,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
500201,32000,羊头怪,FF00FF00,2,1,161505,25,25,25,0,0,5,0,0,1,50,10000,0,0,0,2205,2520,1007,1152,923,1056,588,672,756,864,,,,,,982,984,986,988,990,992,994,,6,10,10,1,500201,520201,530201,,1100201,206023,206002,206001,206033,,,,,,,,,,,,,,,,,,,,,1001,333,333,3333,,,,,,,,,,,,,,,,,,,,,0,0,宠物乐园,,,宠物洗炼,310102,1,520201@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
500202,32000,花妖,FF00FF00,2,1,161505,25,25,25,0,5,0,0,0,1,50,10000,0,0,0,2520,2880,1344,1536,588,672,756,864,756,864,,,,,,982,984,986,988,990,992,994,,6,10,10,1,500202,520202,530202,,1100202,207003,206026,206021,,,,,,,,,,,,,,,,,,,,,,1001,333,333,,,,,,,,,,,,,,,,,,,,,,0,0,宠物乐园,,,宠物洗炼,310102,1,520202@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
500301,32000,牛头,FF00FF00,2,1,161505,35,35,35,0,5,0,0,0,1,50,10000,0,0,0,2520,2880,1344,1536,672,768,672,768,840,960,,,,,,1012,1014,1016,1018,1020,1022,1024,,6,10,10,1,500301,520301,530301,,1100301,206066,207001,206015,206030,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,宠物乐园,,,宠物洗炼,310102,1,520301@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
500302,32000,马面,FF00FF00,2,1,161505,35,35,35,0,0,5,0,0,1,50,10000,0,0,0,2205,2520,840,960,1007,1152,503,576,798,912,,,,,,1012,1014,1016,1018,1020,1022,1024,,6,10,10,1,500302,520302,530302,,1100302,206066,206001,206003,206030,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,宠物乐园,,,宠物洗炼,310102,1,520302@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
500303,32000,龟丞相,FF00FF00,2,1,161505,35,35,35,0,5,0,0,0,1,50,10000,0,0,0,3465,3960,1344,1536,714,816,756,864,503,576,,,,,,1012,1014,1016,1018,1020,1022,1024,,6,10,10,1,500303,520303,530303,,1100303,207002,206011,207006,206026,,,,,,,,,,,,,,,,,,,,,1001,333,333,333,,,,,,,,,,,,,,,,,,,,,0,0,宠物乐园,,,宠物洗炼,310102,1,520303@1000,,1000000,1000000,,99999,3,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,680700,10,0,0,0,
