序号,活动ID,服务器id,开启时间,开始时间显示,开启时间2,结束时间,是否提醒,活动实际推迟时间,提前提醒时间,周循环活动,活动名
230001,230,0,00:04:59,230001,00:04:59,23:59:59,1,0,0,1,赤金宝箱
230002,230,0,00:04:59,230002,00:04:59,23:59:59,1,0,0,2,赤金宝箱
230003,230,0,00:04:59,230003,00:04:59,23:59:59,1,0,0,3,赤金宝箱
230004,230,0,00:04:59,230004,00:04:59,23:59:59,1,0,0,4,赤金宝箱
230005,230,0,00:04:59,230005,00:04:59,23:59:59,1,0,0,5,赤金宝箱
230006,230,0,00:04:59,230006,00:04:59,23:59:59,1,0,0,6,赤金宝箱
230007,230,0,00:04:59,230007,00:04:59,23:59:59,1,0,0,7,赤金宝箱
230008,230,0,00:04:59,230008,00:04:59,23:59:59,1,0,0,1,秘银宝箱
230009,230,0,00:04:59,230009,00:04:59,23:59:59,1,0,0,2,秘银宝箱
230010,230,0,00:04:59,230010,00:04:59,23:59:59,1,0,0,3,秘银宝箱
230011,230,0,00:04:59,230011,00:04:59,23:59:59,1,0,0,4,秘银宝箱
230012,230,0,00:04:59,230012,00:04:59,23:59:59,1,0,0,5,秘银宝箱
230013,230,0,00:04:59,230013,00:04:59,23:59:59,1,0,0,6,秘银宝箱
230014,230,0,00:04:59,230014,00:04:59,23:59:59,1,0,0,7,秘银宝箱
240001,240,0,20:55:00,240001,20:55:00,22:00:00,1,0,5,2,单人竞技-周2
240002,240,0,20:55:00,240002,20:55:00,22:00:00,1,0,5,4,单人竞技-周四
240003,240,0,20:55:00,240003,20:55:00,22:00:00,1,0,5,6,单人竞技-周六
242002,242,0,21:00:00,242002,21:00:00,23:00:00,1,0,30,7,比武大会-周日
241001,241,0,20:55:00,241001,20:55:00,22:30:00,1,0,5,1,华山论剑-周1
241002,241,0,20:55:00,241002,20:55:00,22:30:00,1,0,5,3,华山论剑-周3
241003,241,0,20:55:00,241003,20:55:00,22:30:00,1,0,5,5,华山论剑-周5
206001,208,0,19:55:00,206001,19:55:00,21:00:00,1,5,5,1,门派闯关-周1
206002,208,0,19:55:00,206002,19:55:00,21:00:00,1,5,5,2,门派闯关-周2
206003,208,0,19:55:00,206003,19:55:00,21:00:00,1,5,5,3,门派闯关-周3
206004,208,0,19:55:00,206004,19:55:00,21:00:00,1,5,5,4,门派闯关-周4
206005,208,0,19:55:00,206005,19:55:00,21:00:00,1,5,5,5,门派闯关-周5
206006,208,0,19:55:00,206006,19:55:00,21:00:00,1,5,5,6,门派闯关-周6
206007,208,0,19:55:00,206007,19:55:00,21:00:00,1,5,5,7,门派闯关-周7
213001,213,0,04:00:00,213001,04:00:00,23:59:59,0,0,0,1,三界奇缘1
213002,213,0,04:00:00,213002,04:00:00,23:59:59,0,0,0,2,三界奇缘2
213003,213,0,04:00:00,213003,04:00:00,23:59:59,0,0,0,3,三界奇缘3
213004,213,0,04:00:00,213004,04:00:00,23:59:59,0,0,0,4,三界奇缘4
213005,213,0,04:00:00,213005,04:00:00,23:59:59,0,0,0,5,三界奇缘5
213006,213,0,04:00:00,213006,04:00:00,23:59:59,0,0,0,6,三界奇缘6
213007,213,0,04:00:00,213007,04:00:00,23:59:59,0,0,0,7,三界奇缘7
214001,214,0,04:00:00,214001,04:00:00,23:59:59,0,0,0,1,科举问答1
214002,214,0,04:00:00,214002,04:00:00,23:59:59,0,0,0,2,科举问答2
214003,214,0,04:00:00,214003,04:00:00,23:59:59,0,0,0,3,科举问答3
214004,214,0,04:00:00,214004,04:00:00,23:59:59,0,0,0,4,科举问答4
214005,214,0,04:00:00,214005,04:00:00,23:59:59,0,0,0,5,科举问答5
214006,214,0,04:00:00,215001,04:00:00,20:59:59,0,0,0,6,科举问答6
214007,214,0,04:00:00,216001,04:00:00,20:59:59,0,0,0,7,科举问答7
270001,270,0,00:00:01,270001,00:00:01,23:59:59,0,0,0,1,大雁塔1星
270002,270,0,00:00:01,270002,00:00:01,23:59:59,0,0,0,2,大雁塔1星
270003,270,0,00:00:01,270003,00:00:01,23:59:59,0,0,0,3,大雁塔1星
270004,270,0,00:00:01,270004,00:00:01,23:59:59,0,0,0,4,大雁塔1星
270005,270,0,00:00:01,270005,00:00:01,23:59:59,0,0,0,5,大雁塔1星
