id,道具名称,合成消耗绑定银币,合成消耗银币,合成消耗银币类型,合成消耗道具数,合成产物,等级要求,道具名颜色,排序id,道具合成几率,合成失败返还道具ID,合成失败返还道具数量,强化道具1,强化道具1数量,强化后成功率,强化文字变色,需要合成的,合成剩余返还
35001,1级•光芒石,0,0,2,2,35010,1,ffffff33,4001,100,35001,1,0,0,0,0,0,0
35002,1级•太阳石,0,0,2,2,35011,1,ffffff33,4002,100,35002,1,0,0,0,0,0,0
35003,1级•月亮石,0,0,2,2,35012,1,ffffff33,4003,100,35003,1,0,0,0,0,0,0
35004,1级•舍利子,0,0,2,2,35013,1,ffffff33,4004,100,35004,1,0,0,0,0,0,0
35005,1级•翡翠石,0,0,2,2,35014,1,ffffff33,4005,100,35005,1,0,0,0,0,0,0
35006,1级•黑宝石,0,0,2,2,35015,1,ffffff33,4006,100,35006,1,0,0,0,0,0,0
35007,1级•昆仑玉,0,0,2,2,35016,1,ffffff33,4007,100,35007,1,0,0,0,0,0,0
35008,1级•红纹石,0,0,2,2,35017,1,ffffff33,4008,100,35008,1,0,0,0,0,0,0
35009,1级•神秘石,0,0,2,2,35018,1,ffffff33,4009,100,35009,1,0,0,0,0,0,0
35010,2级•光芒石,0,0,2,2,35019,1,ffffff33,4010,100,35010,1,0,0,0,0,35001,35001
35011,2级•太阳石,0,0,2,2,35020,1,ffffff33,4011,100,35011,1,0,0,0,0,35002,35002
35012,2级•月亮石,0,0,2,2,35021,1,ffffff33,4012,100,35012,1,0,0,0,0,35003,35003
35013,2级•舍利子,0,0,2,2,35022,1,ffffff33,4013,100,35013,1,0,0,0,0,35004,35004
35014,2级•翡翠石,0,0,2,2,35023,1,ffffff33,4014,100,35014,1,0,0,0,0,35005,35005
35015,2级•黑宝石,0,0,2,2,35024,1,ffffff33,4015,100,35015,1,0,0,0,0,35006,35006
35016,2级•昆仑玉,0,0,2,2,35025,1,ffffff33,4016,100,35016,1,0,0,0,0,35007,35007
35017,2级•红纹石,0,0,2,2,35026,1,ffffff33,4017,100,35017,1,0,0,0,0,35008,35008
35018,2级•神秘石,0,0,2,2,35027,1,ffffff33,4018,100,35018,1,0,0,0,0,35009,35009
35019,3级•光芒石,0,0,2,2,35028,1,ffffff33,4019,100,35019,1,0,0,0,0,35010,35010
35020,3级•太阳石,0,0,2,2,35029,1,ffffff33,4020,100,35020,1,0,0,0,0,35011,35011
35021,3级•月亮石,0,0,2,2,35030,1,ffffff33,4021,100,35021,1,0,0,0,0,35012,35012
35022,3级•舍利子,0,0,2,2,35031,1,ffffff33,4022,100,35022,1,0,0,0,0,35013,35013
35023,3级•翡翠石,0,0,2,2,35032,1,ffffff33,4023,100,35023,1,0,0,0,0,35014,35014
35024,3级•黑宝石,0,0,2,2,35033,1,ffffff33,4024,100,35024,1,0,0,0,0,35015,35015
35025,3级•昆仑玉,0,0,2,2,35034,1,ffffff33,4025,100,35025,1,0,0,0,0,35016,35016
35026,3级•红纹石,0,0,2,2,35035,1,ffffff33,4026,100,35026,1,0,0,0,0,35017,35017
35027,3级•神秘石,0,0,2,2,35036,1,ffffff33,4027,100,35027,1,0,0,0,0,35018,35018
35028,4级•光芒石,0,0,2,2,35037,1,ffffff33,4028,100,35028,1,0,0,0,0,35019,35019
35029,4级•太阳石,0,0,2,2,35038,1,ffffff33,4029,100,35029,1,0,0,0,0,35020,35020
35030,4级•月亮石,0,0,2,2,35039,1,ffffff33,4030,100,35030,1,0,0,0,0,35021,35021
35031,4级•舍利子,0,0,2,2,35040,1,ffffff33,4031,100,35031,1,0,0,0,0,35022,35022
35032,4级•翡翠石,0,0,2,2,35041,1,ffffff33,4032,100,35032,1,0,0,0,0,35023,35023
35033,4级•黑宝石,0,0,2,2,35042,1,ffffff33,4033,100,35033,1,0,0,0,0,35024,35024
35034,4级•昆仑玉,0,0,2,2,35043,1,ffffff33,4034,100,35034,1,0,0,0,0,35025,35025
35035,4级•红纹石,0,0,2,2,35044,1,ffffff33,4035,100,35035,1,0,0,0,0,35026,35026
35036,4级•神秘石,0,0,2,2,35045,1,ffffff33,4036,100,35036,1,0,0,0,0,35027,35027
35037,5级•光芒石,0,0,2,2,35046,1,ffffff33,4037,100,35037,1,0,0,0,0,35028,35028
35038,5级•太阳石,0,0,2,2,35047,1,ffffff33,4038,100,35038,1,0,0,0,0,35029,35029
35039,5级•月亮石,0,0,2,2,35048,1,ffffff33,4039,100,35039,1,0,0,0,0,35030,35030
35040,5级•舍利子,0,0,2,2,35049,1,ffffff33,4040,100,35040,1,0,0,0,0,35031,35031
35041,5级•翡翠石,0,0,2,2,35050,1,ffffff33,4041,100,35041,1,0,0,0,0,35032,35032
35042,5级•黑宝石,0,0,2,2,35051,1,ffffff33,4042,100,35042,1,0,0,0,0,35033,35033
35043,5级•昆仑玉,0,0,2,2,35052,1,ffffff33,4043,100,35043,1,0,0,0,0,35034,35034
35044,5级•红纹石,0,0,2,2,35053,1,ffffff33,4044,100,35044,1,0,0,0,0,35035,35035
35045,5级•神秘石,0,0,2,2,35054,1,ffffff33,4045,100,35045,1,0,0,0,0,35036,35036
