技能格ID,技能格等级,第一重经验,第二重经验,第三重经验,第四重经验,第五重经验,第六重经验,第七重经验,第一重金钱,第二重金钱,第三重金钱,第四重金钱,第五重金钱,第六重金钱,第七重金钱,第一重气海值,第二重气海值,第三重气海值,第四重气海值,第五重气海值,第六重气海值,第七重气海值,金钱消耗类型1,金钱消耗规则1,经验消耗规则1,金钱消耗类型2,金钱消耗规则2,经验消耗规则2,金钱消耗类型3,金钱消耗规则3,经验消耗规则3
1,1,0,10200,111100,347600,793600,1571400,2814700,6,3800,41700,130400,297500,589300,1055400,0,0,0,0,0,0,0,1,0,0,1,0,0,1,,
2,2,0,11500,117900,363800,823500,1621400,2891900,12,4200,44200,136300,308700,608100,1084400,0,0,0,0,0,0,0,1,200,0,1,200,0,1,,
3,3,0,12600,125100,380700,854500,1672500,2970400,19,4700,46900,142700,320600,627300,1113900,0,0,0,0,0,0,0,1,400,0,1,400,0,1,,
4,4,0,14100,132500,397900,886100,1724800,3050600,28,5300,49600,149300,332300,646700,1144000,0,0,0,0,0,0,0,1,600,0,1,600,0,1,,
5,5,0,15400,140200,415700,918800,1778200,3132400,40,5800,52700,155800,344400,667000,1174700,0,0,0,0,0,0,0,1,800,0,1,800,0,1,,
6,6,0,16900,148300,434300,952200,1833000,3216000,50,6300,55500,162800,356900,687300,1205900,0,0,0,0,0,0,0,1,1000,0,1,1000,0,1,,
7,7,0,18700,156800,453700,986500,1888900,3301200,70,7000,58700,170200,370000,708400,1237900,0,0,0,0,0,0,0,1,1200,0,1,1200,0,1,,
8,8,0,20400,165400,473300,1021800,1946100,3387900,90,7600,62200,177500,383200,730000,1270500,0,0,0,0,0,0,0,1,1400,0,1,1400,0,1,,
9,9,0,22500,174600,493700,1058000,2004600,3476500,110,8500,65500,185200,396800,751700,1303600,0,0,0,0,0,0,0,1,1600,0,1,1600,0,1,,
10,10,0,24500,184000,514800,1095100,2064600,3566700,140,9100,69000,193100,410700,774200,1337500,0,0,0,0,0,0,0,1,1800,0,1,1800,0,1,,
11,11,0,26800,213400,536500,1133200,2125800,7317300,180,10200,80000,201200,425000,797000,2744000,0,0,0,0,0,0,0,1,2000,0,1,2000,0,1,,
12,12,0,29000,224600,558800,1172400,2188200,7504700,220,11100,84200,209600,439500,820600,2814400,0,0,0,0,0,0,0,1,2200,0,1,2200,0,1,,
13,13,0,31600,236400,582200,1212500,2252100,7695900,270,11900,88600,218300,454600,844700,2885900,0,0,0,0,0,0,0,1,2400,0,1,2400,0,1,,
14,14,0,34300,248600,605900,1253700,2317400,7890400,330,12800,93200,227100,470200,869000,2959000,0,0,0,0,0,0,0,1,2600,0,1,2600,0,1,,
15,15,0,37100,261100,630500,1295700,2384100,8088900,390,14000,97900,236400,486000,894100,3033300,0,0,0,0,0,0,0,1,2800,0,1,2800,0,1,,
16,16,0,40200,274500,655800,1339000,2452200,12436400,460,15100,102900,245900,502100,919500,4663700,0,0,0,0,0,0,0,1,3000,0,1,3000,0,1,,
17,17,0,43500,288100,681700,1383300,2521700,12745100,560,16200,108000,255700,518800,945700,4779300,0,0,0,0,0,0,0,1,3200,0,1,3200,0,1,,
18,18,0,46800,302000,708500,1428600,2592600,13059400,670,17500,113300,265700,535800,972200,4897200,0,0,0,0,0,0,0,1,3400,0,1,3400,0,1,,
19,19,0,50300,316700,735900,1475200,2665200,13379400,780,18800,118800,276100,553300,999400,5017300,0,0,0,0,0,0,0,1,3600,0,1,3600,0,1,,
20,20,0,54200,331800,764300,1522700,2739200,13705700,920,20300,124300,286700,571000,1027200,5139500,0,0,0,0,0,0,0,1,3800,0,1,3800,0,1,,
21,21,0,58100,0,0,0,0,0,1070,21900,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,0,1,4000,0,1,,
22,22,0,62400,0,0,0,0,0,1230,23300,0,0,0,0,0,0,0,0,0,0,0,0,1,4200,0,1,4200,0,1,,
23,23,0,66800,0,0,0,0,0,1440,25000,0,0,0,0,0,0,0,0,0,0,0,0,1,4400,0,1,4400,0,1,,
24,24,0,71500,0,0,0,0,0,1648,26800,0,0,0,0,0,0,0,0,0,0,0,0,1,4600,0,1,4600,0,1,,
25,25,0,76300,0,0,0,0,0,1840,28700,0,0,0,0,0,0,0,0,0,0,0,0,1,4800,0,1,4800,0,1,,
26,26,0,81300,0,0,0,0,0,2140,30600,0,0,0,0,0,0,0,0,0,0,0,0,1,5000,0,1,5000,0,1,,
