序列ID,备注,图标,货币来源说明
1,银币,set:ccui1 image:yb,
2,金币,set:ccui1 image:jb,
3,仙玉,set:lifeskillui image:fushi,
4,门派贡献,set:ccui1 image:jfhb2,
5,比武积分,set:ccui1 image:jfhb9,
6,帮派贡献,set:itemicon26 image:771,
7,活动积分,set:ccui1 image:jfhb5,
8,秘境积分,set:ccui1 image:jfhb4,
9,挑战积分,set:righttoppet5 image:30448,击杀挑战怪产生积分
10,经验,set:renwuui image:renwu_EXP,
11,每日活跃度,,
12,活力,,
13,信用值,set:itemicon34 image:1552,
99,神兜兜,set:itemicon14 image:1230,
104,地煞积分,set:ccui1 image:jfhb8,
105,天罡积分,set:ccui1 image:jfhb3,
106,宠装积分,set:ccui1 image:jfhb10,
107,法宝碎片,set:ccui1 image:jfhb6,
108,法宝灵气,set:ccui1 image:jfhb7,
109,绑定仙玉,set:ccui1 image:bdxy,
110,祈愿币,set:ccui1 image:jfhb2,
111,幸运币,set:righttoppet5 image:30447,周卡和回收产生积分
,,,
,,,
,,,
,,,
,,,
,,,
,,,
