ID,备注,战斗AI类型,底图,背景音乐,战斗录像类型,战斗等级,战场环境,战场AI,奖励ID,战斗胜利判定,战斗失败不掉耐久,助战,怪物数量,站位配置ID,点1,点2,点3,点4,点5,点6,点7,点8,点9,点10,点11,点12,点13,点14,点15,点16,点17,点18,点19,点20,点21,点22,点23,点24,点25,点26,点27,点28,站位随机,pve自动取消战斗,死亡提醒显示,
1001,,2,0,2,,,0,,0,1,,4,1*TeamNum+3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,0,0,0,0,,,,
1002,,2,0,2,,,0,,0,1,,4,1*TeamNum+3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,0,0,0,0,,,,
1003,,2,0,2,,,0,,0,1,,4,1*TeamNum+3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,0,0,0,0,,,,
1004,,2,0,2,,,0,,0,1,,4,1*TeamNum+3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,0,0,0,0,,,,
1005,,2,0,2,,,0,,0,1,,4,1*TeamNum+3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,0,0,0,0,,,,
1006,,2,0,2,,,0,,0,1,,4,1*TeamNum+3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,0,0,0,0,,,,
1007,,2,0,2,,,0,,0,1,,4,1*TeamNum+3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,0,0,0,0,,,,
1008,,2,0,2,,,0,,0,1,,4,1*TeamNum+3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,0,0,0,0,,,,
1009,,2,0,2,,,0,,0,1,,4,1*TeamNum+3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,0,0,0,0,,,,
1010,,2,0,1,,,0,,0,1,,4,1*TeamNum+3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,24985@100;24986@100;24987@100;24988@100;24989@100;24990@100;24991@100;24992@100;24993@100;24994@100;24995@100;24996@100;24997@100;24998@100;24999@100;25000@100;25001@100;25002@100;25003@100;25004@100,0,0,0,0,,,,
