ID,策划用列,战斗AI类型,底图,背景音乐,,战斗录像类型,战斗等级,战场环境,战场AI,奖励ID,战斗胜利判定,战斗失败不掉耐久,助战,怪物数量,站位配置ID,点1,点2,点3,点4,点5,点6,点7,点8,点9,点10,点11,点12,点13,点14,点15,点16,点17,点18,点19,点20,点21,点22,点23,点24,点25,点26,点27,点28,站位随机,死亡提醒显示
8401,战士,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8402,圣骑,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8403,猎人,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8404,德鲁伊,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8405,法师,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8406,牧师,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8407,盗贼,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8408,萨满,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8409,术士,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8410,盗贼,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8411,萨满,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8412,术士,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8413,盗贼,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8414,萨满,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8415,术士,3,2,11,,,,0,0,0,2,,0,6,15,0,29420@100,29421@100,29422@100,29423@100,0,29433@100,29432@100,29431@100,29430@100,29434@100,0,0,0,29424@100,0,0,0,0,29427@100,29428@100,29429@100,29425@100,29426@100,0,0,0,0,,1
8500,,3,0,13,,,,0,,0,1,,0,0*TeamNum+4,7,0,29501@100,0,0,0,0,0,0,0,0,0,0,0,0,29500@100,29500@100,29502@100,0,0,0,0,0,0,0,0,0,0,0,,1
8501,,3,0,14,,,,0,,0,1,,0,0*TeamNum+4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29505@100,29503@100,29503@100,0,0,0,0,0,0,0,0,0,0,0,,1
8502,妖风,3,0,13,,,,0,16000,0,1,,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29506@100,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
8503,发狂的野猪,3,0,14,,,,0,16060,0,1,,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29512@100,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
8504,1-大小姐和方砖,3,0,5,,,,0,16024,0,1,,0,5,7,0,29520@100,29521@100,0,0,0,0,0,0,0,0,0,0,0,29522@100,29523@100,29524@100,0,0,0,0,0,0,0,0,0,0,0,,1
8505,10-艾尔索斯必败,3,0,12,,,,0,20014,0,2,,0,5,7,0,29530@100,29531@100,0,0,0,0,0,0,0,29533@100,0,0,0,29532@100,29534@100,29534@100,29534@100,29534@100,0,0,0,0,0,0,0,0,0,,0
8506,10-牛头人领地阿里斯塔,3,0,13,,,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29540@100,29541@100,29541@100,29542@100,29542@100,0,0,0,0,0,0,0,0,0,,1
8507,,3,0,14,,,,0,16039,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29554@100,29555@100,29555@100,29555@100,29555@100,0,0,0,0,0,0,0,0,0,,1
8508,10-剃刀高地的寒冰王子,3,0,13,,,,0,16048,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29565@100,29564@100,29567@100,29567@100,29567@100,0,0,0,0,0,0,0,0,0,,1
8509,10-剃刀高地的野猪人将军,3,0,14,,,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29570@100,29571@100,29571@100,29571@100,29571@100,0,0,0,0,0,0,0,0,0,,1
8510,1-魔狼,3,0,13,,,,0,,0,1,,0,5,7,0,29581@100,29582@100,0,0,0,0,0,0,0,0,0,0,0,29580@100,29583@100,29583@100,0,0,0,0,0,0,0,0,0,0,0,,1
8511,20-傻馒、盗贼姑娘和桶牛,3,0,14,,,,0,16073,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29604@100,29605@100,29606@100,29602@100,29603@100,0,0,0,0,0,0,0,0,0,,1
8512,,3,0,13,,,,0,,0,1,,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29611@100,29612@100,0,0,29610@100,0,0,0,0,29613@100,29614@100,29615@100,0,,1
8513,,3,0,14,,,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29620@100,29621@100,0,0,0,0,0,0,0,0,0,0,0,0,,1
8514,20-五火球神教,3,0,13,,,,0,16083,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,29630@100,0,0,0,29631@100,29632@100,29633@100,29634@100,29635@100,0,0,0,0,0,0,0,0,0,,1
8515,20-美屡,3,0,14,,,,0,16087,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,29640@100,0,29641@100,29642@100,29642@100,29642@100,29642@100,0,0,0,0,0,0,0,0,0,,1
8516,20-黑石狱卒,3,0,13,,,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29650@100,29650@100,29650@100,29651@100,29651@100,0,0,0,0,0,0,0,0,0,,1
8517,20-黑岩将军,3,0,14,,,,0,16089,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29660@100,29661@100,29661@100,29661@100,29661@100,0,0,0,0,0,0,0,0,0,,1
8518,20-傀儡统帅,3,0,13,,,,0,16092,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29670@100,29671@100,29671@100,29671@100,29671@100,0,0,0,0,0,0,0,0,0,,1
8519,20-大小姐、暗夜男和国足,3,0,14,,,,0,,0,1,,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29810@100,29811@100,0,0,0,0,0,0,0,0,0,0,0,,1
8520,30-幽灵狼,3,0,13,,1,,0,20028,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29680@100,29681@100,29681@100,29681@100,29681@100,0,0,0,0,0,0,0,0,0,,1
8521,30-蓝龙,3,0,14,,1,,0,,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29691@100,29691@100,29691@100,29691@100,0,0,0,0,0,29690@100,0,0,0,,1
8522,30-幽灵狼,3,0,13,,1,,0,20029,0,1,,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29700@100,29701@100,29701@100,29701@100,29701@100,0,0,0,0,0,0,0,0,0,,1
