套装id,名称,属性id,技能id,套装介绍
1,风起云涌•六件,131=80,,提升物理伤害 +80
2,惊雷碎胆•六件,231=100,,提升物理暴击 +10%
3,火舞苍穹•六件,151=60,,提升法术伤害 +60
4,五雷天怒•六件,261=100,,提升法术暴击 +10%
5,刀枪不入•六件,141=10,,提升物理防御 +120
6,水火不侵•六件,161=80,,提升法术防御 +80
7,百折不饶•六件,241=100,,提升物理暴抗 +10%
8,独当一面•六件,271=100,,提升法术暴抗 +10%
9,妙手回春•六件,171=80,,提升治疗强度 +80
10,天降甘霖•六件,291=100,,提升治疗暴击 +10%
11,苍雷幻昼•六件,201=80,,提升速度 +80
12,气定神闲•六件,91=1200,,提升魔法 +1200
13,风起雷涌·两件,131=40,,增加等级相关的物理伤害
14,风起雷涌·四件,131=60,,增加等级相关的物理伤害
15,风起雷涌·六件,131=80,,增加等级相关的物理伤害
16,火舞苍穹·两件,151=30,,增加等级相关的法术伤害
17,火舞苍穹·四件,151=45,,增加等级相关的法术伤害
18,火舞苍穹·六件,151=60,,增加等级相关的法术伤害
19,妙手回春·两件,171=40,,增加等级相关的治疗强度
20,妙手回春·四件,171=60,,增加等级相关的治疗强度
21,妙手回春·六件,171=80,,增加等级相关的治疗强度
22,刀枪不入·两件,141=4,,增加等级相关的物理防御
23,刀枪不入·四件,141=7,,增加等级相关的物理防御
24,刀枪不入·六件,141=10,,增加等级相关的物理防御
25,水火不侵·两件,161=40,,增加等级相关的法术防御
26,水火不侵·四件,161=60,,增加等级相关的法术防御
27,水火不侵·六件,161=80,,增加等级相关的法术防御
28,石破天惊·四件,251=100,,提高自身物理暴击伤害结果
29,石破天惊·六件,251=150,,提高自身物理暴击伤害结果
30,惊雷碎胆·四件,321=100,,提高自身忽视物理防御
31,星火燎原·四件,281=100,,提高自身法术暴击伤害结果
32,星火燎原·六件,281=150,,提高自身法术暴击伤害结果
33,烽火连天·四件,491=100,,提高法术连击第二下伤害结果
34,烽火连天·六件,491=150,,提高法术连击第二下伤害结果
35,柳暗花明·四件,791=100,,当目标气血越低时，额外增加一定比例的治疗效果
36,柳暗花明·六件,791=150,,当目标气血越低时，额外增加治疗效果
37,天降甘霖·四件,291=100,,主动治疗时，首目标额外增加一定的治疗暴击概率
38,独当一面·四件,761=0.1,,减免自身受到的一定比例的物理伤害
39,百折不摧·四件,781=0.1,,减免自身受到的一定比例法术伤害
40,避锋藏锐·四件,241=100,,提高自身物理抗暴效果
41,气定神闲·四件,271=100,,提高自身法术抗暴效果
42,苍雷幻昼·六件,201=80,,主动物理攻击首目标造成击败，有概率偷取目标一个增益状态，优先偷取自身没有的状态，且不会偷取隐身类状态，导致出现玩家无法使用门派技能的情况。
43,五雷天怒·六件,261=100,,物理攻击前有概率驱散首目标一个增益状态
44,急火攻心·六件,771=0.1,,针对处于灼烧和灼炎目标，额外增加法术伤害结果
45,固本培元·六件,801=0.1,,当治疗目标气血溢出时，溢出的治疗量转换为护盾值
46,无懈可击·六件,821=100,,回合结束时有概率清除自身所有异常状态（包括封印）
