特技特效id,名称,特效,特技,附加1,附加2,附魔大法需求道具id,附魔大法需求道具数量,名称1,名称2,名称3,名称4,名称5,名称6,名称7,名称8,名称9,名称10,名称11,名称12,名称13,名称14
420010,起死回生,0,1,0,0,680601,1,,,,,,,,,,,,,,
420011,慈航普度,0,1,0,0,680602,1,,,,,,,,,,,,,,
420012,水清诀,0,1,0,0,680603,1,,,,,,,,,,,,,,
420014,玉清诀,0,1,0,0,680604,1,,,,,,,,,,,,,,
420015,晶清诀,0,1,0,0,680605,1,,,,,,,,,,,,,,
420016,笑里藏刀,0,1,0,0,680606,1,,,,,,,,,,,,,,
420017,野兽之力,0,1,0,0,680607,1,,,,,,,,,,,,,,
420019,放下屠刀,0,1,0,0,680608,1,,,,,,,,,,,,,,
420021,光辉之甲,0,1,0,0,680609,1,,,,,,,,,,,,,,
420023,破甲术,0,1,0,0,680610,1,,,,,,,,,,,,,,
420025,流云诀,0,1,0,0,680611,1,,,,,,,,,,,,,,
420027,凝滞术,0,1,0,0,680612,1,,,,,,,,,,,,,,
420029,太极护法,0,1,0,0,680613,1,,,,,,,,,,,,,,
420030,罗汉金钟,0,1,0,0,680614,1,,,,,,,,,,,,,,
420031,破血狂攻,0,1,0,0,680615,1,,,,,,,,,,,,,,
420032,弱点击破,0,1,0,0,680616,1,,,,,,,,,,,,,,
420033,破碎无双,0,1,0,0,680617,1,,,,,,,,,,,,,,
420034,盘古之力,0,1,0,0,680618,1,,,,,,,,,,,,,,
420035,女娲玄力,0,1,0,0,680619,1,,,,,,,,,,,,,,
420036,盘古意志,0,1,0,0,680620,1,,,,,,,,,,,,,,
420037,女娲神识,0,1,0,0,680621,1,,,,,,,,,,,,,,
440801,剑歌,0,0,0,1,680501,1,物理伤害 +8,法术伤害 +6,气血 +40,,,,,,,,,,,
440802,锋芒,0,0,0,1,680502,1,物理伤害 +8,法术伤害 +6,速度 +8,,,,,,,,,,,
