技能id,影响属性1,公式1,影响属性2,公式2,策划备注技能,,,,,
206019,200,VALUE*0.11,,,灵动,"<T t=""自身速度增加11%。"" c=""fffff2df""/>",,,,
206020,60,VALUE*0.11,,,强壮,"<T t=""自身生命上限提升11%。"" c=""fffff2df""/>",,,,
206021,140,LEVEL*0.9,,,防御,"<T t=""提升等级*0.9的物理防御，但法术伤害结果会降低11%。"" c=""fffff2df""/>",,,,
206022,160,LEVEL*0.9,,,固法,"<T t=""提升等级*0.9的法术防御，但物理伤害结果会降低11%。"" c=""fffff2df""/>",,,,
206024,200,VALUE*-0.11,,,迟钝,"<T t=""减少自身速度的11%。"" c=""fffff2df""/>",,,,
206056,200,VALUE*0.22,,,高级灵敏,"<T t=""自身速度增加22%。"" c=""fffff2df""/>",,,,
206057,60,VALUE*0.22,,,高级强壮,"<T t=""自身生命上限提升22%。"" c=""fffff2df""/>",,,,
206058,140,LEVEL*1.3,,,高级防御,"<T t=""提升等级*1.3的物理防御，但法术伤害结果会降低11%。"" c=""fffff2df""/>",,,,
206059,160,LEVEL*1.3,,,高级固法,"<T t=""提升等级*1.3的法术防御，但物理伤害结果会降低11%。"" c=""fffff2df""/>",,,,
206061,200,VALUE*-0.22,60,VALUE*0.05,高级迟钝,"<T t=""减少自身速度的22%，同时增加5%的生命。"" c=""fffff2df""/>",,,,
