技能id,技能名称,图标编号,主动被动,短描述,技能描述,目标类型,魔法入口,评分,品质,低级名称,高级名称,超级名称,特殊名称,特殊名称1,技能消耗,消耗数量,消耗属性编号,摆摊是否显示
206001,必杀,289,1,让宝宝变强大的宠物技能书,"<T t=""物理攻击时暴击概率增加10%。"" c=""fffff2df""/>",1,0,80,1,必杀,,,,,无消耗,,-1,1
206002,连击,290,1,让宝宝变强大的宠物技能书,"<T t=""普通物理攻击时，有45%概率追加一次攻击，拥有此技能物理伤害结果会降低25%。"" c=""fffff2df""/>",1,0,80,1,连击,,,,,无消耗,,-1,1
206003,强力,291,1,让宝宝变强大的宠物技能书,"<T t=""提升少量的物理攻击力，如果对方有铁甲或高级铁甲技能，物理伤害结果会减少20%，不能与狂暴熊猫技能共存有冲突。"" c=""fffff2df""/>",1,0,80,1,强力,,,,,无消耗,,-1,1
206004,突进,292,1,让宝宝变强大的宠物技能书,"<T t=""物理攻击时忽视对方一定的物理防御。"" c=""fffff2df""/>",1,0,80,1,突进,,,,,无消耗,,-1,1
206005,偷袭,293,1,让宝宝变强大的宠物技能书,"<T t=""物理攻击不会受到反击和反弹，并提高6%的物理伤害结果。"" c=""fffff2df""/>",1,0,80,1,偷袭,,,,,无消耗,,-1,1
206006,法术暴击,294,1,让宝宝变强大的宠物技能书,"<T t=""法术攻击时暴击概率增加10%。"" c=""fffff2df""/>",1,0,80,1,法术暴击,,,,,无消耗,,-1,1
206007,法术连击,295,1,让宝宝变强大的宠物技能书,"<T t=""法术攻击时，有20%概率追加一次攻击，伤害是正常伤害的50%。"" c=""fffff2df""/>",1,0,80,1,法术连击,,,,,无消耗,,-1,1
206008,法术波动,296,1,让宝宝变强大的宠物技能书,"<T t=""每次法术攻击伤害结果在80%至120%之间浮动。"" c=""fffff2df""/>",1,0,80,1,法术波动,,,,,无消耗,,-1,1
206009,魔之心,297,1,让宝宝变强大的宠物技能书,"<T t=""对敌人的法术伤害结果提高10%。"" c=""fffff2df""/>",1,0,80,1,魔之心,,,,,无消耗,,-1,1
206010,会心,298,1,让宝宝变强大的宠物技能书,"<T t=""法术攻击时忽视对方少量的法术防御。"" c=""fffff2df""/>",1,0,80,1,会心,,,,,无消耗,,-1,1
206011,冥思,299,1,让宝宝变强大的宠物技能书,"<T t=""战斗中，每回合结束时回复等级*0.4的魔法。"" c=""fffff2df""/>",1,0,80,1,冥思,,,,,无消耗,,-1,1
206012,吸血,300,1,让宝宝变强大的宠物技能书,"<T t=""物理攻击时，吸收对方所掉气血的20%。"" c=""fffff2df""/>",1,0,80,1,吸血,,,,,无消耗,,-1,1
206013,再生,301,1,让宝宝变强大的宠物技能书,"<T t=""战斗中，每回合自动回复等级*0.9的气血。"" c=""fffff2df""/>",1,0,80,1,再生,,,,,无消耗,,-1,1
206014,神佑复生,302,1,让宝宝变强大的宠物技能书,"<T t=""死亡时，有20%概率触发神佑效果，自动复活，剩余气血为最大气血的60%。"" c=""fffff2df""/>",1,0,80,1,神佑复生,,,,,无消耗,,-1,1
206015,招架,303,1,让宝宝变强大的宠物技能书,"<T t=""受到物理伤害时的格挡几率提高17%。"" c=""fffff2df""/>",1,0,80,1,招架,,,,,无消耗,,-1,1
