ID号,显示内容,目标,类型,等级下限,等级上限,人数下限,人数上限,附加,进入条件,开放时间,次数
1,组队活动,抓鬼,1,20,175,1,5,0,3-5人组队,全天,
2,组队活动,因缘绘副本,1,20,175,1,5,0,3-5人组队,全天,
3,组队活动,大雁塔妖魔,1,20,175,1,5,0,3-5人组队,全天,
4,组队活动,封妖,1,20,175,1,5,0,3-5人组队,全天,
5,挑战活动,二八星宿,2,20,175,1,5,0,3-5人组队,全天,
6,挑战活动,十二元辰,2,20,175,1,5,0,3-5人组队,全天,
7,挑战活动,四方星官,2,20,175,1,5,0,3-5人组队,全天,
8,挑战活动,九曜星官,2,20,175,1,5,0,3-5人组队,全天,
9,挑战活动,地煞星,2,20,175,1,5,0,3-5人组队,全天,
10,挑战活动,天罡星,2,20,175,1,5,0,3-5人组队,全天,
11,定时活动,华山论剑,3,20,175,1,5,0,3-5人组队,全天,
12,定时活动,门派闯关,3,20,175,1,3,0,3-5人组队,全天,
13,突破任务,精锐突破,8,20,175,1,5,0,无限制,全天,
14,突破任务,勇武突破,8,20,175,1,5,0,无限制,全天,
,,,,,,,,,,,
