id,道具图标,商品类型,是否最大额度,商品名称,结果,渠道id,符石,赠送,价格,服务器id,单位图标,货币类型,附加代码,游戏内显示,商品,商品ID,天数资源图,信用度,备注,充值次数
1,set:jiangli image:yue1,2,0,个符石,,locojoy,9,0,18,0,set:MainControl10 image:yuan,1,,1,180符石,iap_immt3_dky1,set:shopui image:9,0,appstore,-1
2,set:jiangli image:2,1,0,个符石,,locojoy,600,0,60,0,set:MainControl10 image:yuan,1,,1,600符石,iap_immt3_dk2,set:shopui image:30,6000,appstore,-1
3,set:jiangli image:3,1,0,个符石,,locojoy,1180,0,118,0,set:MainControl10 image:yuan,1,,1,1180符石,iap_immt3_dk3,set:shopui image:60,11800,appstore,-1
4,set:jiangli image:4,1,0,个符石,,locojoy,1680,0,168,0,set:MainControl10 image:yuan,1,,1,1680符石,iap_immt3_dk4,set:shopui image:90,16800,appstore,-1
5,set:jiangli image:5,1,0,个符石,,locojoy,2180,0,218,0,set:MainControl10 image:yuan,1,,1,2180符石,iap_immt3_dk5,set:shopui image:120,21800,appstore,-1
6,set:jiangli image:6,1,0,个符石,,locojoy,3280,0,328,0,set:MainControl10 image:yuan,1,,1,3280符石,iap_immt3_dk6,set:shopui image:180,32800,appstore,-1
7,set:jiangli image:7,1,0,个符石,,locojoy,5480,0,548,0,set:MainControl10 image:yuan,1,,1,5480符石,iap_immt3_dk7,set:shopui image:300,54800,appstore,-1
8,set:jiangli image:8,1,0,个符石,,locojoy,6480,0,648,0,set:MainControl10 image:yuan,1,,1,6480符石,iap_immt3_dk8,set:shopui image:360,64800,appstore,-1
101,set:jiangli image:1,2,0,个符石,,locojoy,9,0,18,0,set:MainControl10 image:yuan,1,,1,180符石,iap_immt3_dky1,set:shopui image:9,0,国内安卓,-1
102,set:jiangli image:2,1,0,个符石,,locojoy,600,0,60,0,set:MainControl10 image:yuan,1,,1,600符石,iap_immt3_dk2,set:shopui image:30,6000,国内安卓,-1
103,set:jiangli image:3,1,0,个符石,,locojoy,1180,0,118,0,set:MainControl10 image:yuan,1,,1,1180符石,iap_immt3_dk3,set:shopui image:60,11800,国内安卓,-1
104,set:jiangli image:4,1,0,个符石,,locojoy,1680,0,168,0,set:MainControl10 image:yuan,1,,1,1680符石,iap_immt3_dk4,set:shopui image:90,16800,国内安卓,-1
105,set:jiangli image:5,1,0,个符石,,locojoy,2180,0,218,0,set:MainControl10 image:yuan,1,,1,2180符石,iap_immt3_dk5,set:shopui image:120,21800,国内安卓,-1
106,set:jiangli image:6,1,0,个符石,,locojoy,3280,0,328,0,set:MainControl10 image:yuan,1,,1,3280符石,iap_immt3_dk6,set:shopui image:180,32800,国内安卓,-1
107,set:jiangli image:7,1,0,个符石,,locojoy,5480,0,548,0,set:MainControl10 image:yuan,1,,1,5480符石,iap_immt3_dk7,set:shopui image:300,54800,国内安卓,-1
108,set:jiangli image:8,1,0,个符石,,locojoy,6480,0,648,0,set:MainControl10 image:yuan,1,,1,6480符石,iap_immt3_dk8,set:shopui image:360,64800,国内安卓,-1
201,set:jiangli image:1,1,0,个符石,,locojoy,180,0,18,0,set:MainControl10 image:yuan,1,,1,180符石,9,set:shopui image:9,0,酷派,-1
202,set:jiangli image:2,1,0,个符石,,locojoy,600,0,60,0,set:MainControl10 image:yuan,1,,1,600符石,10,set:shopui image:30,6000,酷派,-1
203,set:jiangli image:3,1,0,个符石,,locojoy,1180,0,118,0,set:MainControl10 image:yuan,1,,1,1180符石,11,set:shopui image:60,11800,酷派,-1
204,set:jiangli image:4,1,0,个符石,,locojoy,1680,0,168,0,set:MainControl10 image:yuan,1,,1,1680符石,12,set:shopui image:90,16800,酷派,-1
205,set:jiangli image:5,1,0,个符石,,locojoy,2180,0,218,0,set:MainControl10 image:yuan,1,,1,2180符石,13,set:shopui image:120,21800,酷派,-1
206,set:jiangli image:6,1,0,个符石,,locojoy,3280,0,328,0,set:MainControl10 image:yuan,1,,1,3280符石,14,set:shopui image:180,32800,酷派,-1
207,set:jiangli image:7,1,0,个符石,,locojoy,5480,0,548,0,set:MainControl10 image:yuan,1,,1,5480符石,15,set:shopui image:300,54800,酷派,-1
208,set:jiangli image:8,1,0,个符石,,locojoy,6480,0,648,0,set:MainControl10 image:yuan,1,,1,6480符石,16,set:shopui image:360,64800,酷派,-1
301,set:jiangli image:1,1,0,个符石,,locojoy,180,0,18,0,set:MainControl10 image:yuan,1,,1,180符石,69938,set:shopui image:9,0,联想,-1
302,set:jiangli image:2,1,0,个符石,,locojoy,600,0,60,0,set:MainControl10 image:yuan,1,,1,600符石,69939,set:shopui image:30,6000,联想,-1
303,set:jiangli image:3,1,0,个符石,,locojoy,1180,0,118,0,set:MainControl10 image:yuan,1,,1,1180符石,69940,set:shopui image:60,11800,联想,-1
304,set:jiangli image:4,1,0,个符石,,locojoy,1680,0,168,0,set:MainControl10 image:yuan,1,,1,1680符石,69941,set:shopui image:90,16800,联想,-1
305,set:jiangli image:5,1,0,个符石,,locojoy,2180,0,218,0,set:MainControl10 image:yuan,1,,1,2180符石,69942,set:shopui image:120,21800,联想,-1
306,set:jiangli image:6,1,0,个符石,,locojoy,3280,0,328,0,set:MainControl10 image:yuan,1,,1,3280符石,69943,set:shopui image:180,32800,联想,-1
307,set:jiangli image:7,1,0,个符石,,locojoy,5480,0,548,0,set:MainControl10 image:yuan,1,,1,5480符石,69944,set:shopui image:300,54800,联想,-1
308,set:jiangli image:8,1,0,个符石,,locojoy,6480,0,648,0,set:MainControl10 image:yuan,1,,1,6480符石,69945,set:shopui image:360,64800,联想,-1
