编号,名称,备注,称谓,造型id,随机造型id,显示血量,显示大血条,显示等级,战斗单位类型,怪物类型,特殊类型,职业,类型,大小比例,area1colour,area2colour,是否倒地,对应宠物,颜色几率id,是否绑定,等级模式,NPC等级,怪物匹配最小等级,怪物匹配最大等级,能否捕捉,能否捕捉2,捕捉几率,逃跑几率,免疫状态id,控制几率修正,被控制几率修正,进战斗默认连击点,怒气上限,进战斗默认怒气,命中系数,命中常数,最大生命队伍中最大攻击力系数,最大生命系数,最大魔法系数,物攻系数,物防系数,法攻系数,法防系数,速度系数,治疗强度系数,控制命中系数,控制抗性系数,最大生命常数,最大魔法常数,物攻常数,物防常数,法攻常数,法防常数,速度常数,治疗强度常数,控制命中常数,控制抗性常数,物理暴击系数,物理抗暴系数,物理暴伤系数,法术暴击系数,法术抗暴系数,法术暴伤系数,治疗暴击系数,治疗暴击量系数,物理穿透系数,物理抵抗系数,法术穿透系数,法术抵抗系数,治疗加深系数,被治疗加深系数,控制加成系数,控制免疫系数,物理暴击常数,物理抗暴常数,物理暴伤常数,法术暴击常数,法术抗暴常数,法术暴伤常数,治疗暴击常数,治疗暴击量常数,物理穿透常数,物理抵抗常数,法术穿透常数,法术抵抗常数,治疗加深常数,被治疗加深常数,控制加成常数,控制免疫常数,额外属性1ID,额外属性1数值,额外属性2ID,额外属性2数值,额外属性3ID,额外属性3数值,额外属性4ID,额外属性4数值,额外属性5ID,额外属性5数值,额外属性6ID,额外属性6数值,额外属性7ID,额外属性7数值,额外属性8ID,额外属性8数值,额外属性9ID,额外属性9数值,额外属性10ID,额外属性10数值,反击几率,反击伤害系数,AI编号,技能1编号,技能1出现几率,技能1施放几率,技能1系数,技能1常数,技能2编号,技能2出现几率,技能2施放几率,技能2系数,技能2常数,技能3编号,技能3出现几率,技能3施放几率,技能3系数,技能3常数,技能4编号,技能4出现几率,技能4施放几率,技能4系数,技能4常数,技能5编号,技能5出现几率,技能5施放几率,技能5系数,技能5常数,技能6编号,技能6出现几率,技能6施放几率,技能6系数,技能6常数,技能7编号,技能7出现几率,技能7施放几率,技能7系数,技能7常数,技能8编号,技能8出现几率,技能8施放几率,技能8系数,技能8常数,技能9编号,技能9出现几率,技能9施放几率,技能9系数,技能9常数,技能10编号,技能10出现几率,技能10施放几率,技能10系数,技能10常数,技能11编号,技能11出现几率,技能11施放几率,技能11系数,技能11常数,种族,当前生命队伍中最大攻击力系数,当前生命系数,当前生命常数,当前魔法系数,当前魔法常数
24000,先祖火灵,绝对不能删丫的是裁判,,1030000,,1,,0,5,1,,,1,1,0,0,0,0,1,0,1,0,0,150,0,FALSE,0,0,0,0,0,1,90000,150,0,0,0,20.94,40.24,0,0,2,0,3,1.592,10.4,10.3,20,40,0,0,1.6,0,30,0,10.4,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,820,1,,,,,,,-0.03,0,32550,161012,1000,1000,1,0,161050,1000,1000,1,0,161052,1000,1000,1,0,161053,1000,1000,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
24001,火灵•输出,绝对不能删丫的是裁判,,1030000,,1,,0,5,1,,,1,1,0,0,0,0,1,0,1,0,0,150,0,FALSE,0,0,0,0,0,1,90000,150,0,0,0,20.94,40.24,0,0,2,0,3,1.592,10.4,10.3,20,40,0,0,0,0,30,1,10.4,10.3,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,820,1,,,,,,,-0.03,0,,161012,1000,1000,1,0,161052,1000,1000,1,0,161053,1000,500,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
24002,变羊,绝对不能删丫的是裁判,,1010101,,1,,0,5,1,,,1,1,0,0,0,0,1,0,1,0,0,300,0,false,0,0,0,0,0,1,90000,150,0,0,0,0,0,2,0,0,0,3,0,0,0,1000000,1000000,1,1,0.8,1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
24003,变熊,绝对不能删丫的是裁判,,1010101,,1,,0,5,1,,,1,1,0,0,0,0,1,0,1,0,0,300,0,false,0,0,0,0,0,1,90000,150,0,0,0,0,0,2,0,0,0,3,0,0,0,1000000,1000000,1,1,0.8,1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
24004,变树,绝对不能删丫的是裁判,,1010101,,1,,0,5,1,,,1,1,0,0,0,0,1,0,1,0,0,300,0,false,0,0,0,0,0,1,90000,150,0,0,0,0,0,2,0,0,0,3,0,0,0,1000000,1000000,1,1,0.8,1,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
24006,身外化身,绝对不能删丫的是裁判,,1011124,,1,,0,5,1,,,1,1,0,0,0,0,1,0,1,0,0,150,0,false,0,0,0,0,0,1,90000,150,0.0,0.0,0.0,50,40.24,0,0,0,0,7.77,10,10.4,10.3,20.94,40.24,0,0,0,0,30,1.59,10.4,10.3,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,820,1,,,,,,,0,0,30011,165001,1000,950,1,0.0,165002,1000,300,1,0.0,165004,1000,300,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
24100,捣乱的小妖,师门巡逻任务-战斗,,1100808,,1,,0,5,1,,,1,1,0,0,0,0,1,0,1,0,0,150,0,FALSE,0,0,0,0,0,1,90000,150,1000,100,0,86.5,36.6,7.1,0,5.8,0,2.8,7.2,9.5,9.4,100,181,30,45,24,36,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,820,0,,,,,,,,,,,,,,,,,0,0,,191001,1000,1000,1,0.0,191002,1000,1000,1,0.0,191000,1000,0,1,0.0,206001,1000,1000,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
24101,捣乱的小妖,师门巡逻任务-战斗,,1100805,,1,,0,5,1,,,1,1,0,0,0,0,1,0,1,0,0,150,0,FALSE,0,0,0,0,0,1,90000,150,1000,100,0,86.5,36.6,7.1,0,5.8,0,2.8,7.2,9.5,9.4,100,181,30,45,24,36,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,820,0,,,,,,,,,,,,,,,,,0,0,,206001,1000,1000,1,0,206002,1000,1000,1,0,206004,1000,1000,1,0,206005,1000,1000,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
24102,捣乱的小妖,师门巡逻任务-战斗,,1100603,,1,,0,5,1,,,1,1,0,0,0,0,1,0,1,0,0,150,0,FALSE,0,0,0,0,0,1,90000,150,1000,100,0,86.5,36.6,7.1,0,5.8,0,2.8,7.2,9.5,9.4,100,181,30,45,24,36,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,820,0,,,,,,,,,,,,,,,,,0,0,,191001,1000,1000,1,0.0,191002,1000,1000,1,0.0,191000,1000,0,1,0.0,206001,1000,1000,1,0.0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
24103,捣乱的小妖,师门巡逻任务-战斗,,1100202,,1,,0,5,1,,,1,1,0,0,0,0,1,0,1,0,0,150,0,FALSE,0,0,0,0,0,1,90000,150,1000,100,0,86.5,36.6,7.1,0,5.8,0,2.8,7.2,9.5,9.4,100,181,30,45,24,36,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,820,0,,,,,,,,,,,,,,,,,0,0,,206001,1000,1000,1,0,206002,1000,1000,1,0,206004,1000,1000,1,0,206005,1000,1000,1,0,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
