id,备注,表里颜色,频道1,频道2,频道3,频道4,频道5,频道6,频道7,频道8,频道9,频道10,频道11,频道12,频道13,频道14,频道15,频道16,频道17,频道18,频道19,频道20,频道21,频道22,频道23,频道24,频道25,频道26,频道27,频道28,频道29,频道30,频道31,频道32,频道33
1,棕黑,ff50321a,fffff2df,0,0,fffff2df,0,0,0,0,0,0,0,0,"FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1",0,0,0,"FF261407,fffff2d1","FF261407,fffff2d1","FF261407,FF00c6ff","FF261407,ffffff01","FF261407,ff00ff01","FF261407,fffff2d1","FF261407,fffff2d1","0,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1",fffff2df
2,棕黑大写,FF50321A,fffff2df,0,0,fffff2df,0,0,0,0,0,0,0,0,"FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1",0,0,0,"FF261407,fffff2d1","FF261407,fffff2d1","FF261407,FF00c6ff","FF261407,ffffff01","FF261407,ff00ff01","FF261407,fffff2d1","FF261407,fffff2d1","0,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1",fffff2df
3,棕黑2,ff261407,fffff2df,0,0,fffff2df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,fffff2d1","0,fffff2d1","0,FF00c6ff","0,ffffff01","0,ff00ff01","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1",fffff2df
4,棕黑2大写,FF261407,fffff2df,0,0,fffff2df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,fffff2d1","0,fffff2d1","0,FF00c6ff","0,ffffff01","0,ff00ff01","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1","0,fffff2d1",fffff2df
5,棕色,ff693f00,fffff2df,0,0,fffff2df,0,0,0,0,0,0,0,0,"FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1",0,0,0,"FF261407,fffff2d1","FF261407,fffff2d1","FF261407,FF00c6ff","FF261407,ffffff01","FF261407,ff00ff01","FF261407,fffff2d1","FF261407,fffff2d1","0,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1",fffff2df
6,棕色大写,FF693F00,fffff2df,0,0,fffff2df,0,0,0,0,0,0,0,0,"FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1",0,0,0,"FF261407,fffff2d1","FF261407,fffff2d1","FF261407,FF00c6ff","FF261407,ffffff01","FF261407,ff00ff01","FF261407,fffff2d1","FF261407,fffff2d1","0,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1","FF261407,fffff2d1",fffff2df
7,绿色,ff00ff00,0,0,0,0,0,0,"FF00ff11,FF00ff01",0,"FF00ff11,FF00ff01",0,0,0,"FF00ff11,FF00ff01","FF00ff11,FF00ff01","FF0caf08,FF0caf08",0,0,0,"FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00cc11,FF00ff11",0
8,绿色大写,FF00FF00,0,0,0,0,0,0,"FF00ff11,FF00ff01",0,"FF00ff11,FF00ff01",0,0,0,"FF00ff11,FF00ff01","FF00ff11,FF00ff01","FF0caf08,FF0caf08",0,0,0,"FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00cc11,FF00ff11",0
9,绿色2,ff33ff33,0,0,0,0,0,0,"FF00ff11,FF00ff01",0,"FF00ff11,FF00ff01",0,0,0,"FF00ff11,FF00ff01","FF00ff11,FF00ff01","FF00ff11,FF00ff01",0,0,0,"FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00cc11,FF00ff11",0
10,绿色2大写,FF33FF33,0,0,0,0,0,0,"FF00ff11,FF00ff01",0,"FF00ff11,FF00ff01",0,0,0,"FF00ff11,FF00ff01","FF00ff11,FF00ff01","FF00ff11,FF00ff01",0,0,0,"FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00cc11,FF00ff11","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00ff11,FF00ff00","FF00cc11,FF00ff11",0
