编号,类型,显示名,道具名颜色,颜色品质,造型编号,单位,等级,需求等级,排序ID,可否摧毁,可否摆摊上架,点卡服可否摆摊上架,默认有效时间,可否卖店,是否绑定,是否拾取绑定,是否下线消失,战斗内使用对象,战斗内使用者对象,战斗外使用对象,使用后是否消耗,最大堆叠数量,最大拥有数量,删除后服务器保留天数,珍品找回消耗,描述,功能说明,售卖商店类型,售卖NPCID,道具使用方法,道具类名,道具类名1,说明描述,增加宠物寿命,效果公式,增加当前生命,增加当前生命上限,增加当前真气,属性值1,属性值2,属性值3,属性值4,属性值5,属性值6,属性值7,功能枚举,使用按钮功能类型,使用按钮功能参数1,使用按钮功能参数2,使用按钮功能参数3,是否有品质,需求烹饪等级,烹饪权重,需求炼药等级,炼药权重,炼药材料附加权重,获取途径1,获取途径2,获取途径3,获取途径4,获取途径5,获取途径6,获取途径7,获取途径8,获取途径9,是否珍品,摆摊冻结时间,是否稀有,寻路特殊处理,特殊用途1,特殊用途2,特殊用途3,特殊用途4,特殊用途5
32014,66,大碗红罗羹,ff6ddcf6,1,1221,个,0,1,1999,false,0,0,0,0,false,false,false,0,0,1,1,99,0,0,,增加气血储备值1000000点，在战斗结束后增加气血值。,补充储备气血,1,161503,使用方法：双击使用,,,补充储备气血1000000点,0,,0,0,0,100000,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
32015,66,大碗绿罗羹,ff6ddcf6,1,1217,个,0,1,1999,false,0,0,0,0,false,false,false,0,0,1,1,99,0,0,,增加魔法储备值100000点，在战斗结束后增加魔法值。,补充储备魔法,1,161503,使用方法：双击使用,,,补充储备魔法1000000点,0,,0,0,0,100000,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
32037,66,红罗羹,ff6ddcf6,1,1221,个,0,1,1999,false,0,0,0,0,false,false,false,0,0,1,1,99,0,0,,增加气血储备值100000点，在战斗结束后增加气血值。,补充储备气血,1,161503,使用方法：双击使用,,,补充储备气血10000点,0,,0,0,0,10000,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
32038,66,绿罗羹,ff6ddcf6,1,1217,个,0,1,1999,false,0,0,0,0,false,false,false,0,0,1,1,99,0,0,,增加魔法储备值10000点，在战斗结束后增加魔法值。,补充储备魔法,1,161503,使用方法：双击使用,,,补充储备魔法10000点,0,,0,0,0,10000,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
320000,290,包子,ff6ddcf6,1,1219,个,0,1,5907,true,0,0,0,0,false,false,false,0,0,3,1,99,0,0,,"<T t=""精面粉制作的肉包子味道非常好。"" ></T><B/><T t=""功效：增加气血储备2000点，非战斗时才可食用。"" ></T>",增加气血储备,,161506,使用方法：战斗外使用可以回复气血,,,功效：增加气血储备2000点，非战斗时才可食用,0,,0,0,0,200,,,,,,,0,,20,,,0,1,1000,,,,,,,,,,,,,,,,,,,,,
320001,290,臭豆腐,ff6ddcf6,1,1220,个,0,1,5906,true,1,1,0,0,false,false,false,0,0,3,1,1,0,0,,"<T t=""虽然闻起来有些臭，吃起来很香。"" ></T><B/><T t=""功效：增加气血储备=品质*60+2000。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：增加气血储备$parameter1$点,0,quality*60+2000,0,0,0,200,,,,,,,0,,20,,,1,1,385,,,,,,,,,,,,,,30,,,,,,,
320002,290,佛跳墙,ff6ddcf6,1,1197,个,0,1,5905,true,1,1,0,0,false,false,false,0,0,3,1,1,0,0,,"<T t=""东吴名厨创制的一道菜，味道鲜美。"" ></T><B/><T t=""功效：增加魔法储备=品质*60+2000。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：增加魔法储备$parameter1$点,0,quality*60+2000,0,0,0,200,,,,,,,0,,20,,,1,10,385,,,,,,,,,,,,,,30,,,,,,,
320003,290,桂花丸,ff6ddcf6,1,1202,个,0,1,5904,true,1,1,0,0,false,false,false,0,0,3,1,1,0,0,,"<T t=""由糯米和桂花制成的食品。"" ></T><B/><T t=""功效：恢复宠物寿命=品质*0.5。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：恢复宠物寿命$parameter1$点,0,quality*0.5,0,0,0,200,,,,,,,0,,20,,,1,20,333,,,,,,,,,,,,,,30,,,,,,,
320004,290,珍露酒,ff6ddcf6,1,1210,个,0,1,5903,true,1,1,0,0,false,false,false,1,1,3,1,1,0,0,,"<T t=""用露水酿制的酒。"" ></T><B/><T t=""功效：战斗内恢复愤怒值=品质*0.4+10；战斗外恢复愤怒值=品质*0.6+10。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：恢复愤怒值$parameter1$点,0,quality*0.4+10,0,0,0,200,,,,,,,0,,20,,,1,30,333,,,,,,,,,,,,,,30,,,,,,,
320005,290,翡翠豆腐,ff6ddcf6,1,1198,个,0,1,5902,true,1,1,0,0,false,false,false,0,0,3,1,1,0,0,,"<T t=""名厨名菜，炒得色香味美全。"" ></T><B/><T t=""功效：增加气血储备=品质*32+1000，增加魔法储备=品质*32+1000。"" ></T>",无,4,161506,使用方法：战斗外使用可以回复气血,,,功效：增加气血储备$parameter1$点，魔法$parameter2$点,0,quality*32+1000;quality*32+1000,0,0,0,200,,,,,,,0,,20,,,1,40,333,,,,,,,,,,,,,,30,,,,,,,
