序号,标题,感谢语,祝福语,道具1,道具1名称,数量1,道具2,道具2名称,数量2,道具3,道具3名称,数量3,道具4,道具4名称,数量4,道具5,道具5名称,数量5,道具6,道具6名称,数量6,奖励平台币,物品需要包裹格,礼包id,数量
1,宠物榜第一名奖励,您对梦幻西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,600033,特殊技能随机包,2,0,,0,0,,0,0,,0,0,,0,0,,0,0,1,600911,1
2,宠物榜第二名奖励,您对梦幻西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,600033,特殊技能随机包,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,1,600912,1
3,宠物榜第三名奖励,您对梦幻西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,600033,特殊技能随机包,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,1,600913,1
4,宠物榜第四名奖励,您对梦幻西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,710004,如意锦囊,30,0,,0,0,,0,0,,0,0,,0,0,,0,0,1,600914,1
5,宠物榜第五名奖励,您对梦幻西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,710004,如意锦囊,10,0,,0,0,,0,0,,0,0,,0,0,,0,0,1,600915,1
6,宠物榜第六名奖励,您对梦幻西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,710004,如意锦囊,10,0,,0,0,,0,0,,0,0,,0,0,,0,0,1,600915,1
7,宠物榜第七名奖励,您对梦幻西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,710004,如意锦囊,10,0,,0,0,,0,0,,0,0,,0,0,,0,0,1,600915,1
8,宠物榜第八名奖励,您对梦幻西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,710004,如意锦囊,10,0,,0,0,,0,0,,0,0,,0,0,,0,0,1,600915,1
9,宠物榜第九名奖励,您对梦幻西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,710004,如意锦囊,10,0,,0,0,,0,0,,0,0,,0,0,,0,0,1,600915,1
10,宠物榜第十名奖励,您对梦幻西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,710004,如意锦囊,10,0,,0,0,,0,0,,0,0,,0,0,,0,0,1,600915,1
