编号,礼包道具ID,角色限制,职业限制,性别限制,打开礼包时的客户端提示,奖励表ID,银币奖励,符石奖励,VIP经验,货币类型,货币值,道具1ID,道具2ID,道具3ID,道具4ID,道具5ID,道具6ID,道具7ID,道具8ID,道具9ID,道具10ID,道具11ID,道具12ID,道具13ID,道具14ID,道具15ID,道具16ID,道具17ID,道具18ID,道具19ID,道具20ID,道具21ID,道具22ID,道具23ID,道具24ID,道具25ID,道具26ID,道具27ID,道具28ID,道具29ID,道具30ID,道具31ID,道具32ID,道具33ID,道具34ID,道具35ID,道具1数量,道具2数量,道具3数量,道具4数量,道具5数量,道具6数量,道具7数量,道具8数量,道具9数量,道具10数量,道具11数量,道具12数量,道具13数量,道具14数量,道具15数量,道具16数量,道具17数量,道具18数量,道具19数量,道具20数量,道具21数量,道具22数量,道具23数量,道具24数量,道具25数量,道具26数量,道具27数量,道具28数量,道具29数量,道具30数量,道具31数量,道具32数量,道具33数量,道具34数量,道具35数量,道具1绑定,道具2绑定,道具3绑定,道具4绑定,道具5绑定,道具6绑定,道具7绑定,道具8绑定,道具9绑定,道具10绑定,道具11绑定,道具12绑定,道具13绑定,道具14绑定,道具15绑定,道具16绑定,道具17绑定,道具18绑定,道具19绑定,道具20绑定,道具21绑定,道具22绑定,道具23绑定,道具24绑定,道具25绑定,道具26绑定,道具27绑定,道具28绑定,道具29绑定,道具30绑定,道具31绑定,道具32绑定,道具33绑定,道具34绑定,道具35绑定
1,334000,1,11,0,0,0,0,0,0,0,0,6010101,6010220,6010322,6010424,6010525,6010626,336010,339000,335101,334100,334101,334001,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
2,334000,1,12,0,0,0,0,0,0,0,0,6010101,6010220,6010322,6010424,6010525,6010626,336010,339000,335101,334100,334101,334001,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
3,334000,1,19,0,0,0,0,0,0,0,0,6010101,6010220,6010322,6010424,6010525,6010626,336010,339000,335101,334100,334101,334001,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
4,334000,2,11,0,0,0,0,0,0,0,0,6010104,6010220,6010322,6010424,6010525,6010626,336010,339000,335101,334100,334101,334001,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
5,334000,2,12,0,0,0,0,0,0,0,0,6010104,6010220,6010322,6010424,6010525,6010626,336010,339000,335101,334100,334101,334001,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,334000,2,19,0,0,0,0,0,0,0,0,6010104,6010220,6010322,6010424,6010525,6010626,336010,339000,335101,334100,334101,334001,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
7,334000,3,11,0,0,0,0,0,0,0,0,6010117,6010220,6010322,6010424,6010525,6010626,336010,339000,335101,334100,334101,334001,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
8,334000,3,12,0,0,0,0,0,0,0,0,6010117,6010220,6010322,6010424,6010525,6010626,336010,339000,335101,334100,334101,334001,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
9,334000,3,19,0,0,0,0,0,0,0,0,6010117,6010220,6010322,6010424,6010525,6010626,336010,339000,335101,334100,334101,334001,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
10,334000,4,11,0,0,0,0,0,0,0,0,6010109,6010221,6010323,6010424,6010525,6010626,336010,339000,335101,334100,334101,334001,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,10,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
