附加属性id,名称,颜色,属性id,属性名称,区间,buffid,技能id,拍卖筛选是否显示
1,体质+&,FF00b1ff,15,cons_value,1;1,0,0,1
2,智力+&,FF00b1ff,25,iq_value,1;2,0,0,1
3,力量+&,FF00b1ff,35,str_value,1;3,0,0,1
4,耐力+&,FF00b1ff,45,endu_value,1;4,0,0,1
5,敏捷+&,FF00b1ff,65,agi_value,1;5,0,0,1
6,体质+&,FF00b1ff,15,cons_value,2;3,0,0,1
7,智力+&,FF00b1ff,25,iq_value,2;4,0,0,1
8,力量+&,FF00b1ff,35,str_value,2;5,0,0,1
9,耐力+&,FF00b1ff,45,endu_value,2;6,0,0,1
10,敏捷+&,FF00b1ff,65,agi_value,2;7,0,0,1
11,体质+&,FF00b1ff,15,cons_value,3;4,0,0,1
12,智力+&,FF00b1ff,25,iq_value,3;5,0,0,1
13,力量+&,FF00b1ff,35,str_value,3;6,0,0,1
14,耐力+&,FF00b1ff,45,endu_value,3;7,0,0,1
15,敏捷+&,FF00b1ff,65,agi_value,3;8,0,0,1
16,体质+&,FF00b1ff,15,cons_value,4;5,0,0,1
17,智力+&,FF00b1ff,25,iq_value,4;6,0,0,1
18,力量+&,FF00b1ff,35,str_value,4;7,0,0,1
19,耐力+&,FF00b1ff,45,endu_value,4;8,0,0,1
20,敏捷+&,FF00b1ff,65,agi_value,4;9,0,0,1
21,体质+&,FF00b1ff,15,cons_value,5;6,0,0,1
22,智力+&,FF00b1ff,25,iq_value,5;7,0,0,1
23,力量+&,FF00b1ff,35,str_value,5;8,0,0,1
24,耐力+&,FF00b1ff,45,endu_value,5;9,0,0,1
25,敏捷+&,FF00b1ff,65,agi_value,5;10,0,0,1
26,体质+&,FF00b1ff,15,cons_value,6;8,0,0,1
27,智力+&,FF00b1ff,25,iq_value,6;9,0,0,1
28,力量+&,FF00b1ff,35,str_value,6;10,0,0,1
29,耐力+&,FF00b1ff,45,endu_value,6;11,0,0,1
30,敏捷+&,FF00b1ff,65,agi_value,6;12,0,0,1
31,体质+&,FF00b1ff,15,cons_value,7;9,0,0,1
32,智力+&,FF00b1ff,25,iq_value,7;10,0,0,1
33,力量+&,FF00b1ff,35,str_value,7;11,0,0,1
34,耐力+&,FF00b1ff,45,endu_value,7;12,0,0,1
35,敏捷+&,FF00b1ff,65,agi_value,7;13,0,0,1
36,体质+&,FF00b1ff,15,cons_value,8;10,0,0,1
37,智力+&,FF00b1ff,25,iq_value,8;10,0,0,1
38,力量+&,FF00b1ff,35,str_value,8;10,0,0,1
39,耐力+&,FF00b1ff,45,endu_value,8;10,0,0,1
40,敏捷+&,FF00b1ff,65,agi_value,8;10,0,0,1
41,体质+&,FF00b1ff,15,cons_value,8;11,0,0,1
42,智力+&,FF00b1ff,25,iq_value,8;11,0,0,1
43,力量+&,FF00b1ff,35,str_value,8;11,0,0,1
44,耐力+&,FF00b1ff,45,endu_value,8;11,0,0,1
45,敏捷+&,FF00b1ff,65,agi_value,8;11,0,0,1
46,体质+&,FF00b1ff,15,cons_value,9;13,0,0,1
47,智力+&,FF00b1ff,25,iq_value,9;14,0,0,1
48,力量+&,FF00b1ff,35,str_value,9;15,0,0,1
49,耐力+&,FF00b1ff,45,endu_value,9;16,0,0,1
50,敏捷+&,FF00b1ff,65,agi_value,9;17,0,0,1
51,体质+&,FF00b1ff,15,cons_value,10;14,0,0,1
52,智力+&,FF00b1ff,25,iq_value,10;15,0,0,1
53,力量+&,FF00b1ff,35,str_value,10;16,0,0,1
54,耐力+&,FF00b1ff,45,endu_value,10;17,0,0,1
55,敏捷+&,FF00b1ff,65,agi_value,10;18,0,0,1
56,体质+&,FF00b1ff,15,cons_value,11;15,0,0,1
57,智力+&,FF00b1ff,25,iq_value,11;16,0,0,1
58,力量+&,FF00b1ff,35,str_value,11;17,0,0,1
59,耐力+&,FF00b1ff,45,endu_value,11;18,0,0,1
60,敏捷+&,FF00b1ff,65,agi_value,11;19,0,0,1
61,体质+&,FF00b1ff,15,cons_value,12;16,0,0,1
62,智力+&,FF00b1ff,25,iq_value,12;17,0,0,1
63,力量+&,FF00b1ff,35,str_value,12;18,0,0,1
64,耐力+&,FF00b1ff,45,endu_value,12;19,0,0,1
65,敏捷+&,FF00b1ff,65,agi_value,12;20,0,0,1
66,体质+&,FF00b1ff,15,cons_value,13;18,0,0,1
67,智力+&,FF00b1ff,25,iq_value,13;19,0,0,1
68,力量+&,FF00b1ff,35,str_value,13;20,0,0,1
69,耐力+&,FF00b1ff,45,endu_value,13;21,0,0,1
70,敏捷+&,FF00b1ff,65,agi_value,13;22,0,0,1
71,体质+&,FF00b1ff,15,cons_value,14;19,0,0,1
72,智力+&,FF00b1ff,25,iq_value,14;20,0,0,1
