技能id,技能名,图标编号,技能升级描述
711001,破釜沉舟,18,"<T t=""攻击敌方多个目标，伤害结果逐个降低。""></T>"
711002,翩鸿一击,19,"<T t=""攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。""></T>"
711003,横扫千军,20,"<T t=""攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。""></T>"
711004,后发制人,21,"<T t=""临时提高大量双防和封印抵抗，下回合首先出手攻击目标""></T>"
711005,杀气诀,15,"<T t=""攻击目标同时降低对方物理防御和法术防御""></T>"
711007,气吐山河,350,"<T t=""横扫千军，概率不休息""></T>"
711008,圣灵之甲,353,"<T t=""战斗中，提升友方玩家和伙伴的物理防御。提升的数值与物理伤害有关""></T>"
712001,破釜沉舟,18,"<T t=""攻击敌方多个目标，伤害结果逐个降低。""></T>"
712002,翩鸿一击,19,"<T t=""攻击敌方单个目标，并提升自身速度，反击，格挡持续4回合。""></T>"
712003,横扫千军,20,"<T t=""攻击目标4次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。""></T>"
712004,后发制人,21,"<T t=""临时提高大量双防和封印抵抗，下回合首先出手攻击目标""></T>"
712005,杀气诀,15,"<T t=""攻击目标同时降低对方物理防御和法术防御""></T>"
712007,气吞山河,355,"<T t=""使得横扫千军增加一次攻击""></T>"
712008,不息意志,356,"<T t=""受濒死攻击时保留一点生命。每场战斗只能触发一次""></T>"
713001,破釜沉舟,14,"<T t=""攻击敌方多个目标，伤害逐个递减""></T>"
713002,翩鸿一击,11,"<T t=""概率嘲讽单个目标，对普通BOSS怪必中，受嘲讽的单位强制对施法者使用物理普攻且伤害降低。仅PVE战斗可使用。""></T>"
713003,横扫千军,10,"<T t=""攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。""></T>"
713004,后发制人,16,"<T t=""临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标""></T>"
713005,杀气诀,15,"<T t=""攻击目标同时降低对方物理防御和法术防御""></T>"
713007,杀气之怒,359,"<T t=""物理技能一定几率附带溅射效果""></T>"
713008,不死不休,360,"<T t=""使用横扫千军，如果对方死亡并有剩余攻击次数，则继续选择一个单位攻击""></T>"
714001,破釜沉舟,14,"<T t=""攻击敌方多个目标，伤害逐个递减""></T>"
714002,翩鸿一击,11,"<T t=""概率嘲讽单个目标，对普通BOSS怪必中，受嘲讽的单位强制对施法者使用物理普攻且伤害降低。仅PVE战斗可使用。""></T>"
714003,横扫千军,10,"<T t=""攻击目标3次，使用时生命值不能低于生命上限的50%，使用后虚弱休息一回合。""></T>"
714004,后发制人,16,"<T t=""临时提高大量双防和控制抵抗，下回合临时提高伤害首先出手攻击目标""></T>"
714005,杀气诀,15,"<T t=""攻击目标同时降低对方物理防御和法术防御""></T>"
714007,弱点打击,361,"<T t=""攻击目标时，以目标物理或法术防御中较低的一个结算伤害""></T>"
714008,圣光洗礼,362,"<T t=""战斗中速度提升，并使得破釜沉舟的伤害效果不衰减""></T>"
721001,五雷咒,26,"<T t=""法术攻击5个目标。对首目标小概率附加失心符。""></T>"
721002,定身符,27,"<T t=""封印目标物理和法术，下回合封印命中率降低,且不可连续使用。""></T>"
721003,失忆符,28,"<T t=""封印敌方，使敌方无法使用药品，特技。""></T>"
721004,离魂符,29,"<T t=""以较低命中率混乱目标，使其不分敌我攻击。混乱状态不能被药品解除。""></T>"
721005,失心符,30,"<T t=""封印目标法术，命中后降低敌方物理防御。""></T>"
721006,罗汉抵抗,363,"<T t=""战斗中，提升友方玩家和伙伴的法术防御和控制抗性""></T>"
721007,离殇之歌,364,"<T t=""离魂符的伤害和回血大幅度提升""></T>"
722001,五雷咒,7,"<T t=""召唤五雷咒攻击多个目标，概率对首目标附加失心符效果。""></T>"
722002,定身符,3,"<T t=""召唤圣光攻击单个目标，一定几率附带大量百分比神圣伤害""></T>"
