技能ID,技能名称,是否预先统计目标数,是否主动,能否连击,能否被反击,是否禁止防御和保护,是否忽略隐身,是否默认自动技能,战斗内外使用,服务器分类,技能归类,选择目标类型,先发速度,消耗Hp,消耗Mp,消耗Sp,消耗Ep,串联子技能ID,子技能ID播放时间调控,脚本配置文件,技能名冒字资源,是否显示技能名冒字,是否被嘲讽影响,技能特殊延长时间,是否PVP不能使用,状态过滤是否能使用
711001,破釜沉舟,,true,false,false,0,,1,true,1,2,480,0,,10+1.2*gradea,,,"1100010,1100011,1100012,1100013,1100014","0,0,0,-1,-1",,geffect/sprite/skillbanner/luoshishu,1,1,,,
711002,翩鸿一击,,true,false,false,0,,,true,1,1,480,0,,10+1.2*gradea,,,1100020,0,,,1,,,,
711003,横扫千军,,true,false,true,0,,,true,1,1,480,0,,0,,,"1100030,1100031,1100032,1100034","0,-1,-1,-1",,geffect/sprite/skillbanner/luoshishu,1,1,,,
711004,后发制人,,true,false,false,0,,,true,1,1,480,0,,10+1.2*gradea,,,"1100040,1100041","0,-1",,geffect/sprite/skillbanner/luoshishu,1,,,,
711005,杀气诀,,true,false,true,0,,,true,1,1,480,0,,10+1.2*gradea,,,1100050,0,,geffect/sprite/skillbanner/luoshishu,1,1,,,
711006,猛击,,true,false,true,0,,,true,1,1,480,1000,,0,,,"7110070,7110071,7110072","0,-1,-1",,,1,1,,,
711007,气吞山河,,false,false,false,0,,,true,1,10,1,0,,0,,,,,,,,,,,
711008,圣灵之甲,,false,false,false,0,,,true,1,13,4127,0,,0,,,7110080,0,,,,,,,
712001,破釜沉舟,,true,false,false,0,,1,true,1,2,480,0,,10+1.2*gradea,,,"1100010,1100011,1100012,1100013,1100014","0,1000,1300,1600,-1",,geffect/sprite/skillbanner/luoshishu,1,1,,,
712002,翩鸿一击,,true,false,false,0,,,true,1,8,480,0,,10+1.2*gradea,,,1100020,0,,,1,,,1,
712003,横扫千军,,true,false,true,0,,,true,1,1,480,0,,0,,,"1100030,1100031,1100032,1100033,1100034","0,-1,-1,-1,-1",,geffect/sprite/skillbanner/luoshishu,1,1,,,
712004,后发制人,,true,false,false,0,,,true,1,1,480,0,,10+1.2*gradea,,,"1100040,1100041","0,0",,geffect/sprite/skillbanner/luoshishu,1,,,,
712005,杀气诀,,true,false,true,0,,,true,1,1,480,0,,10+1.2*gradea,,,1100050,0,,geffect/sprite/skillbanner/luoshishu,1,1,,,
712006,猛击,,true,false,true,0,,,true,1,1,480,1000,,0,,,"7120070,7120071","0,-1",,,1,1,,,
712007,气吞山河,,false,false,false,0,,,true,1,10,1,0,,0,,,,,,,,,,,
712008,不息意志,,false,false,false,0,,,true,1,10,1,0,,0,,,7120080,0,,,,,,,
713001,破釜沉舟,,true,false,false,0,,1,true,1,2,480,0,,10+1.2*gradea,,,"1100010,1100011,1100012,1100013,1100014","0,1000,1300,1600,-1",,geffect/sprite/skillbanner/luoshishu,1,1,,,
713002,翩鸿一击,,true,false,false,0,,,true,1,8,480,0,,10+1.2*gradea,,,1100020,0,,,1,,,1,
713003,横扫千军,,true,false,true,0,,,true,1,1,480,0,,0,,,"1100030,1100031,1100032,1100033,1100034","0,-1,-1,-1,-1",,geffect/sprite/skillbanner/luoshishu,1,1,,,
713004,后发制人,,true,false,false,0,,,true,1,1,480,0,,10+1.2*gradea,,,"1100040,1100041","0,0",,geffect/sprite/skillbanner/luoshishu,1,,,,
713005,杀气诀,,true,false,true,0,,,true,1,1,480,0,,10+1.2*gradea,,,1100050,0,,geffect/sprite/skillbanner/luoshishu,1,1,,,
713006,猛击,,true,false,true,0,,,true,1,1,480,1000,,0,,,"7130070,7130071","0,-1",,,1,1,,,
713007,杀气之怒,,false,false,false,0,,,true,1,10,1,0,,0,,,7130080,0,,,,,,,
713008,不死不休,,false,false,false,0,,,true,1,10,1,0,,0,,,,,,,,,,,
714001,破釜沉舟,,true,false,false,0,,1,true,1,2,480,0,,10+1.2*skilllevela,,,"1100010,1100011,1100012,1100013,1100014","0,1000,1300,1600,-1",,geffect/sprite/skillbanner/luoshishu,1,1,,,
714002,翩鸿一击,,true,false,false,0,,,true,1,8,480,0,,10+1.2*skilllevela,,,1100020,0,,,1,,,1,
714003,横扫千军,,true,false,true,0,,,true,1,1,480,0,,0,,,"1100030,1100031,1100032,1100033,1100034","0,-1,-1,-1,-1",,geffect/sprite/skillbanner/luoshishu,1,1,,,
714004,后发制人,,true,false,false,0,,,true,1,1,480,0,,10+1.2*skilllevela,,,"1100040,1100041","0,0",,geffect/sprite/skillbanner/luoshishu,1,,,,
