技能ID,技能名称,领悟需求道具,领悟需求道具数量,领悟需求银币,遗忘需求道具,遗忘需求道具数量,遗忘需求银币,描述,所需数量,遗弃数量
206001,必杀,240009,10,1,680700,30,1,"<T t=""物理攻击时暴击概率增加10%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206002,连击,240009,10,1,680700,30,1,"<T t=""普通物理攻击时，有45%概率追加一次攻击，拥有此技能物理伤害结果会降低25%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206003,强力,240009,10,1,680700,30,1,"<T t=""提升少量的物理攻击力，如果对方有防御或高级防御技能，物理伤害结果会减少20%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206004,突进,240009,10,1,680700,30,1,"<T t=""物理攻击时忽视对方一定的物理防御。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206005,偷袭,240009,10,1,680700,30,1,"<T t=""物理攻击不会受到反击和反震，并提高6%的物理伤害结果。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206006,法术暴击,240009,10,1,680700,30,1,"<T t=""法术攻击时暴击概率增加10%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206007,法术连击,240009,10,1,680700,30,1,"<T t=""法术攻击时，有20%概率追加一次攻击，伤害是正常伤害的50%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206008,法术波动,240009,10,1,680700,30,1,"<T t=""每次法术攻击伤害结果在80%至120%之间浮动。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206009,魔之心,240009,10,1,680700,30,1,"<T t=""对敌人的法术伤害结果提高10%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206010,会心,240009,10,1,680700,30,1,"<T t=""法术攻击时忽视对方少量的法术防御。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206011,冥思,240009,10,1,680700,30,1,"<T t=""战斗中，每回合结束时回复等级*0.4的魔法。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206012,吸血,240009,10,1,680700,30,1,"<T t=""物理攻击时，吸收对方所掉气血的20%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206013,再生,240009,10,1,680700,30,1,"<T t=""战斗中，每回合自动回复等级*0.9的气血。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206014,神佑复生,240009,10,1,680700,30,1,"<T t=""死亡时，有20%概率触发神佑效果，自动复活，剩余气血为最大气血的60%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206015,招架,240009,10,1,680700,30,1,"<T t=""受到物理伤害时的格挡几率提高17%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206016,反震,240009,10,1,680700,30,1,"<T t=""受到物理攻击时有33%概率进行反震，反震伤害结果等于自己受到伤害的25%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206017,神迹,240009,10,1,680700,30,1,"<T t=""回合结束时，解除所有异常状态。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206018,反击,240009,10,1,680700,30,1,"<T t=""受到普通物理攻击时有10%概率自动反击，反击的伤害是正常伤害的75%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206019,敏捷,240009,10,1,680700,30,1,"<T t=""自身速度增加11%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206020,强壮,240009,10,1,680700,30,1,"<T t=""自身气血上限提升11%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206021,防御,240009,10,1,680700,30,1,"<T t=""提升等级*0.9的物理防御，但法术伤害结果会降低11%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206022,固法,240009,10,1,680700,30,1,"<T t=""提升等级*0.9的法术防御，但物理伤害结果会降低11%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206023,幸运,240009,10,1,680700,30,1,"<T t=""被物理攻击时，被暴击概率降低11%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206024,迟钝,240009,10,1,680700,30,1,"<T t=""减少自身速度的20%。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206025,火属性吸收,240009,10,1,680700,30,1,"<T t=""有30%概率吸收火属性法术伤害，回复对应的气血。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206026,水属性吸收,240009,10,1,680700,30,1,"<T t=""有30%概率吸收水属性法术伤害，回复对应的气血。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206027,土属性吸收,240009,10,1,680700,30,1,"<T t=""有30%概率吸收土属性法术伤害，回复对应的气血。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206028,雷属性吸收,240009,10,1,680700,30,1,"<T t=""有30%概率吸收雷属性法术伤害，回复对应的气血。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206029,鬼魂术,240009,10,1,680700,30,1,"<T t=""死亡5回合后自动复活，不受任何状态影响，也不能使用主动技能和药品回复气血。若有神佑技能不触发该效果。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206030,驱鬼,240009,10,1,680700,30,1,"<T t=""对敌方拥有鬼魂术单位的物理、法术伤害效果增加50%，并能将其打飞出场外。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206031,隐身,240009,10,1,680700,30,1,"<T t=""自动附加隐身状态2至3回合，隐身状态下物理攻击能力会降低20%，使用技能取消隐身状态。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
206032,感知,240009,10,1,680700,30,1,"<T t=""能探知并攻击敌方隐身状态的单位。"" c=""FFF4D8B9"" f=""simhei-10""></T>",10,30
