编号,类型,显示名,道具名颜色,颜色品质,造型编号,单位,等级,需求等级,排序ID,可否摧毁,可否摆摊上架,点卡服可否摆摊上架,道具生效时间,道具过期时间,使用后持续时间（s）,默认有效时间,可否卖店,是否绑定,是否拾取绑定,是否下线消失,战斗内使用对象,战斗内使用者对象,战斗外使用对象,使用后是否消耗,最大堆叠数量,最大拥有数量,删除后服务器保留天数,珍品找回消耗,描述,功能说明,售卖商店类型,售卖NPCID,道具使用方法,道具类名,道具类名1,使用按钮功能类型,使用按钮功能参数1,使用按钮功能参数2,使用按钮功能参数3,加锁时能否消耗,需求锻造等级,需求裁缝等级,需求炼金等级,临时类型,获取途径1,获取途径2,获取途径3,获取途径4,获取途径5,获取途径6,获取途径7,获取途径8,获取途径9,是否珍品,是否稀有,摆摊冻结时间,寻路特殊处理,特殊用途1,特殊用途2,特殊用途3,特殊用途4,特殊用途5
36984,96,金钱,fffff2df,1,1158,个,0,90,5500,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,大量的金钱。,金钱,,0,使用方法：直接获得金钱,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
36985,96,经验,fffff2df,1,1453,个,0,90,5500,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,大量的经验。,经验,,0,使用方法：直接获得经验,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
40008,2470,天火原石,FF00b1ff,3,1045,块,0,1,5600,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,带有神性的石头，是强化打造武器的材料。,装备打造材料,,0,使用方法：装备打造中使用,,,3,6,,,0,,,,,2,6,,,,,,,,,,,,,,,,
40009,2470,风暴原石,FF00b1ff,3,1008,块,0,1,5600,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,带有神性的石头，是强化打造头盔的材料。,装备打造材料,,0,使用方法：装备打造中使用,,,3,6,,,0,,,,,2,6,,,,,,,,,,,,,,,,
40010,2470,宁静原石,FF00b1ff,3,1046,块,0,1,5600,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,带有神性的石头，是强化打造胸甲的材料。,装备打造材料,,0,使用方法：装备打造中使用,,,3,6,,,0,,,,,2,6,,,,,,,,,,,,,,,,
40011,2470,洞察原石,FF00b1ff,3,1047,块,0,1,5600,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,带有神性的石头，是强化打造项链、腰带、鞋子的材料。,装备打造材料,,0,使用方法：装备打造中使用,,,3,6,,,0,,,,,2,6,,,,,,,,,,,,,,,,
40012,150,修理符,fffff2df,1,1074,块,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,修理装备必备材料。,装备修理材料,,0,使用方法：装备打造中使用,,,0,,,,0,,,,,4,,,,,,,,,,,,,,,,,
40013,150,修理宝石,FF06cc11,2,1130,块,0,1,5600,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,地精工程大师出品，可以随时修理身上的装备。,装备修理材料,,0,使用方法：装备打造中使用,,,3,8,,,0,,,,,2,,,,,,,,,,,,,,,,,
40014,2470,融合剂,FF00b1ff,3,1006,份,0,1,5600,true,1,1,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,神秘的炼金合剂，用来增加元素间的亲和力，能够提高宝石中能量的稳定性，提高8级以上宝石合成的成功率。,宝石合成材料,,0,使用方法：装备打造中使用,,,3,7,,,0,,,,,,,,,,,,,,,,,,,,,,
40015,4518,原石礼包,FF00b1ff,3,1047,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,带有神性的石头，是强化打造项链、腰带、鞋子的材料。,装备打造材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40016,4518,原石礼包,FF00b1ff,3,1047,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,带有神性的石头，是强化打造项链、腰带、鞋子的材料。,装备打造材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40017,4518,原石礼包,FF00b1ff,3,1047,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,带有神性的石头，是强化打造项链、腰带、鞋子的材料。,装备打造材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40018,4518,原石礼包,FF00b1ff,3,1047,个,0,1,5600,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,999,0,0,0,带有神性的石头，是强化打造项链、腰带、鞋子的材料。,装备打造材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330000,4262,金币,fffff2df,1,1088,个,0,1,7100,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,MT中通行的货币。可以购买别人摊位上的好东西，有时候还可以在商城里买到一些珍贵物品。,摆摊交易,,0,使用方法：直接获得金币,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
330100,4262,公会技能,fffff2df,1,233,个,0,1,7100,true,0,0,0,0,0,0,0,false,false,false,0,0,1,1,99,0,0,0,学习公会技能，可以烹饪食物或炼制三级药品,制作烹饪或炼药,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
