技能等级,需求等级1,需求等级2,需求等级3,需求等级4,需求等级5,消耗类型1,消耗银币1,消耗公会贡献1,消耗类型2,消耗银币2,消耗公会贡献2,消耗类型3,消耗银币3,消耗公会贡献3,消耗类型4,消耗银币4,消耗公会贡献4,消耗类型5,消耗银币5,消耗公会贡献5,消耗类型6,消耗银币6,消耗公会贡献6,消耗类型7,消耗银币7,消耗公会贡献7,消耗类型8,消耗银币8,消耗公会贡献8,消耗类型9,消耗银币9,消耗公会贡献9,消耗类型10,消耗银币10,消耗公会贡献10,消耗活力1,消耗活力2,消耗活力3,消耗活力4,消耗活力5,消耗活力6,消耗活力7,消耗活力8,消耗活力9,消耗活力10,消耗道具,产出道具
1,1,1,45,45,45,1,200,0,1,100,0,1,,,1,,,1,100,0,1,,,1,,,1,,,1,,,1,,,10,20,100,7,100,,,,,,340078,"340078,340079"
2,1,2,45,45,45,1,400,0,1,200,0,1,,,1,,,1,200,0,1,,,1,,,1,,,1,,,1,,,10,21,100,7,100,,,,,,340078,"340078,340079"
3,1,3,50,50,45,1,600,0,1,300,0,1,,,1,,,1,300,0,1,,,1,,,1,,,1,,,1,,,10,21,100,8,100,,,,,,340078,"340078,340079"
4,1,4,50,50,45,1,800,0,1,400,0,1,,,1,,,1,400,0,1,,,1,,,1,,,1,,,1,,,10,22,100,9,100,,,,,,340078,"340078,340079"
5,1,5,55,55,45,1,1000,0,1,500,0,1,,,1,,,1,500,0,1,,,1,,,1,,,1,,,1,,,10,22,100,9,100,,,,,,340078,"340078,340079"
6,1,6,55,55,45,1,1200,0,1,600,0,1,,,1,,,1,600,0,1,,,1,,,1,,,1,,,1,,,10,23,100,10,100,,,,,,340078,"340078,340079"
7,1,7,60,60,45,1,1400,0,1,700,0,1,,,1,,,1,700,0,1,,,1,,,1,,,1,,,1,,,10,23,100,11,100,,,,,,340078,"340078,340079"
8,1,8,60,60,45,1,1600,0,1,800,0,1,,,1,,,1,800,0,1,,,1,,,1,,,1,,,1,,,10,24,100,11,100,,,,,,340078,"340078,340079"
9,1,9,65,65,45,1,1800,0,1,900,0,1,,,1,,,1,900,0,1,,,1,,,1,,,1,,,1,,,10,24,100,12,100,,,,,,340078,"340078,340079"
10,1,10,65,65,45,1,2000,0,1,1000,0,1,,,1,,,1,1000,0,1,,,1,,,1,,,1,,,1,,,10,25,100,13,100,,,,,,340078,"340078,340079"
11,1,11,70,70,45,1,2200,0,1,1100,0,1,,,1,,,1,1100,0,1,,,1,,,1,,,1,,,1,,,10,25,100,13,100,,,,,,340078,"340078,340079"
12,2,12,70,70,45,1,2400,0,1,1200,0,1,,,1,,,1,1200,0,1,,,1,,,1,,,1,,,1,,,10,26,100,14,100,,,,,,340078,"340078,340079"
13,3,13,75,75,45,1,2600,0,1,1300,0,1,,,1,,,1,1300,0,1,,,1,,,1,,,1,,,1,,,10,26,100,15,100,,,,,,340078,"340078,340079"
14,4,14,75,75,45,1,2800,0,1,1400,0,1,,,1,,,1,1400,0,1,,,1,,,1,,,1,,,1,,,10,27,100,15,100,,,,,,340078,"340078,340079"
15,5,15,80,80,45,1,3000,0,1,1500,0,1,,,1,,,1,1500,0,1,,,1,,,1,,,1,,,1,,,10,27,100,16,100,,,,,,340078,"340078,340079"
16,6,16,80,80,45,1,3200,0,1,1600,0,1,,,1,,,1,1600,0,1,,,1,,,1,,,1,,,1,,,10,28,100,17,100,,,,,,340078,"340078,340079"
17,7,17,85,85,45,1,3400,0,1,1700,0,1,,,1,,,1,1700,0,1,,,1,,,1,,,1,,,1,,,10,28,100,17,100,,,,,,340078,"340078,340079"
18,8,18,85,85,45,1,3600,0,1,1800,0,1,,,1,,,1,1800,0,1,,,1,,,1,,,1,,,1,,,10,29,100,18,100,,,,,,340078,"340078,340079"
19,9,19,90,90,45,1,3800,0,1,1900,0,1,,,1,,,1,1900,0,1,,,1,,,1,,,1,,,1,,,10,29,100,19,100,,,,,,340078,"340078,340079"
20,10,20,90,90,45,1,4000,0,1,2000,0,1,,,1,,,1,2000,0,1,,,1,,,1,,,1,,,1,,,20,30,100,19,100,,,,,,340078,"340078,340079"
21,11,21,95,95,45,1,4200,2,1,2100,1,1,,,1,,,1,2100,1,1,,,1,,,1,,,1,,,1,,,20,30,100,20,100,,,,,,340078,"340078,340079"
22,12,22,95,95,45,1,4400,2,1,2200,1,1,,,1,,,1,2200,1,1,,,1,,,1,,,1,,,1,,,20,31,100,21,100,,,,,,340078,"340078,340079"
23,13,23,100,100,45,1,4600,2,1,2300,1,1,,,1,,,1,2300,1,1,,,1,,,1,,,1,,,1,,,20,31,100,21,100,,,,,,340078,"340078,340079"
24,14,24,100,100,45,1,4800,2,1,2400,1,1,,,1,,,1,2400,1,1,,,1,,,1,,,1,,,1,,,20,32,100,22,100,,,,,,340078,"340078,340079"
25,15,25,110,110,45,1,5000,2,1,2500,1,1,,,1,,,1,2500,1,1,,,1,,,1,,,1,,,1,,,20,32,100,23,100,,,,,,340078,"340078,340079"
26,16,26,0,0,45,1,5200,2,1,2600,1,1,,,1,,,1,2600,1,1,,,1,,,1,,,1,,,1,,,20,33,100,23,100,,,,,,340078,"340078,340079"
27,17,27,0,0,45,1,5900,2,1,3000,1,1,,,1,,,1,3000,1,1,,,1,,,1,,,1,,,1,,,20,33,100,24,100,,,,,,340078,"340078,340079"
28,18,28,0,0,45,1,6800,2,1,3400,1,1,,,1,,,1,3400,1,1,,,1,,,1,,,1,,,1,,,20,34,100,25,100,,,,,,340078,"340078,340079"
29,19,29,0,0,45,1,7700,2,1,3900,1,1,,,1,,,1,3900,1,1,,,1,,,1,,,1,,,1,,,20,34,100,25,100,,,,,,340078,"340078,340079"
30,20,30,0,0,45,1,9400,2,1,4700,1,1,,,1,,,1,4700,1,1,,,1,,,1,,,1,,,1,,,30,35,100,26,100,,,,,,340078,"340078,340079"
31,21,31,0,0,45,1,10900,2,1,5500,1,1,,,1,,,1,5500,1,1,,,1,,,1,,,1,,,1,,,30,35,100,27,100,,,,,,340078,"340078,340079"
32,22,32,0,0,45,1,11500,2,1,5800,1,1,,,1,,,1,5800,1,1,,,1,,,1,,,1,,,1,,,30,36,100,27,100,,,,,,340078,"340078,340079"
33,23,33,0,0,45,1,12200,2,1,6100,1,1,,,1,,,1,6100,1,1,,,1,,,1,,,1,,,1,,,30,36,100,28,100,,,,,,340078,"340078,340079"
34,24,34,0,0,45,1,13500,2,1,6800,1,1,,,1,,,1,6800,1,1,,,1,,,1,,,1,,,1,,,30,37,100,29,100,,,,,,340078,"340078,340079"
