ID,MinLevel,MaxLevel,MatchMap,Mission,Weight,ResName
1,1,200,1615,0,50,loading1
2,1,10,1615,0,50,loading2
3,1,200,0,180101,100,loading1
4,1,200,0,180201,100,loading1
5,1,200,0,180301,100,loading1
6,1,200,0,180401,100,loading1
7,1,200,0,180501,100,loading1
8,1,200,0,180601,100,loading1
9,1,200,0,180701,100,loading1
10,1,200,0,180801,100,loading1
11,1,200,0,180901,100,loading1
12,1,200,0,189928,100,loading2
13,1,200,0,189929,100,loading2
14,1,200,0,189930,100,loading2
15,1,200,0,189931,100,loading2
16,1,200,0,189932,100,loading2
17,1,200,0,189933,100,loading2
18,1,200,0,189934,100,loading2
19,1,200,0,189935,100,loading2
20,1,200,0,189936,100,loading2
21,1,200,0,189901,100,loading3
22,1,200,0,180143,100,loading4
23,1,200,0,180144,100,loading5
24,1,200,0,180148,100,loading6
25,1,200,0,180154,100,loading7
26,1,200,0,0,100,loading1
27,1,200,0,0,100,loading1
28,1,40,0,0,100,loading1
29,1,40,0,0,100,loading2
30,1,200,0,0,100,loading3
31,1,200,0,0,100,loading4
32,1,200,0,0,100,loading5
33,1,200,0,0,100,loading6
34,1,200,0,0,100,loading7
35,1,200,0,0,100,loading8
