id,物品ID,道具图标,宠物名称,宠物模型ID,概率
1,680721,30300,超级神羊,1200001,33
2,680722,30284,超级泡泡,1200002,33
3,680723,30285,超级九色鹿,1200003,33
4,680724,30286,超级大熊猫,1200004,33
5,680725,30287,超级神鸡,1200005,33
6,680726,30288,超级神猴,1200006,33
7,680727,30289,超级赤焰兽,1200007,33
8,680728,30326,超级神龙,1200008,33
9,680729,30327,超级神鼠,1200009,33
10,680730,30328,超级神虎,1200010,33
11,680731,30329,超级神猪,1200011,33
12,680732,30330,超级神牛,1200012,33
13,690001,30284,火灵兽,1300001,20
14,690002,30285,雷灵兽,1300002,20
15,690003,30286,水灵兽,1300003,20
16,690004,30287,土灵兽,1300004,20
17,690005,30343,吉里吉里,1300008,20
18,690006,30345,咕噜咕噜,1300009,20
19,690100,30265,鬼将,1100703,50
20,690101,30266,幽冥书生,1100704,50
21,690102,30269,巨灵神将,1100803,50
22,690103,30270,珍露童子,1100804,50
23,690104,30273,巡游天神,1100807,50
24,690105,30277,噬天虎,1100903,50
25,690106,30278,雾中仙,1100904,50
26,690107,30281,净瓶女娲,1101001,50
27,690108,30282,灵符女娲,1101002,50
28,690109,30283,律法女娲,1101003,50
29,690110,30291,鬼剑,1101005,50
30,690111,30292,嘲风,1101006,50
31,600801,30266,变异幽冥书生,1100704,50
32,600802,30269,变异巨灵神将,1100803,50
33,600803,30273,变异巡游天神,1100807,50
34,600804,30277,变异噬天虎,1100903,50
35,600805,30278,变异雾中仙,1100904,50
36,600806,30282,变异灵符女娲,1101002,50
37,600807,30283,变异律法女娲,1101003,50
38,600808,30295,变异大力金刚,1101009,50
39,600809,30348,变异龙龟,1101010,50
40,600810,30292,变异嘲讽,1101006,50
41,600811,30350,变异铜臂,1101013,50
42,600812,30300,变异虎力大仙,1101008,50
43,690100,30265,鬼将,1100703,50
44,690101,30266,幽冥书生,1100704,50
45,690102,30269,巨灵神将,1100803,50
46,690103,30270,珍露童子,1100804,50
47,690104,30273,巡游天神,1100807,50
48,690105,30277,噬天虎,1100903,50
49,690106,30278,雾中仙,1100904,50
50,690107,30281,净瓶女娲,1101001,50
51,690108,30282,灵符女娲,1101002,50
52,690109,30283,律法女娲,1101003,50
53,690110,30291,鬼剑,1101005,50
54,690111,30292,嘲风,1101006,50
55,690100,30265,鬼将,1100703,50
56,690101,30266,幽冥书生,1100704,50
57,690102,30269,巨灵神将,1100803,50
58,690103,30270,珍露童子,1100804,50
59,690104,30273,巡游天神,1100807,50
60,690105,30277,噬天虎,1100903,50
61,690106,30278,雾中仙,1100904,50
62,690107,30281,净瓶女娲,1101001,50
63,690108,30282,灵符女娲,1101002,50
64,690109,30283,律法女娲,1101003,50
65,690110,30291,鬼剑,1101005,50
66,690111,30292,嘲风,1101006,50
67,690008,30442,冰灵,1300012,5
68,690009,30446,琴仙,1300013,10
69,690010,30443,温尔,1300014,10
70,690011,30435,小狐狸,1300015,10
71,690012,30445,小黎,1300016,10
72,690013,30437,月灵,1300017,10
73,690014,30434,朝歌,1300018,5
74,690015,30423,柠檬,1300019,10
75,690016,30344,思辰仕女,1300020,10
76,690017,2414,黑夜吸血鬼,1300021,5
77,690018,2410,黑夜鬼将,1300022,5
78,690019,2413,黑夜画魂,1300023,5
79,690020,2420,黑夜月魅,1300024,5
80,690021,2416,黑夜狂豹,1300025,5
81,690022,2409,黑夜猫灵,1300026,5
82,690023,2415,黑夜魔化童子,1300027,5
83,690024,2408,黑夜持国巡守,1300028,5
