道具id,宠物id,是否入背包,
680721,900001,0,超级神羊
680722,900002,0,超级泡泡
680723,900003,0,超级九色鹿
680724,900004,0,超级大熊猫
680725,900005,0,超级神鸡
680726,900006,0,超级神猴
680727,900007,0,超级赤焰兽
680728,900008,0,超级神龙
680729,900009,0,超级神鼠
680730,900010,0,超级神虎
680731,900011,0,超级神猪
680732,900012,0,超级神牛
680733,666667,,新手吸血鬼
680799,666666,0,泡泡
690100,520753,0,鬼将
690101,520754,0,幽冥书生
690102,520803,0,巨灵神将
690103,520851,0,珍露童子
690104,520854,0,巡游天神
690105,520951,0,噬天虎
690106,520952,0,雾中仙
690107,521051,0,净瓶女娲
690108,521052,0,灵符女娲
690109,521053,0,律法女娲
690110,521101,0,鬼剑
690111,521102,0,嘲风
600801,530754,0,变异幽冥书生
600802,530803,0,变异巨灵神将
600803,530854,0,变异巡游天神
600804,530951,0,变异噬天虎
600805,530952,0,变异雾中仙
600806,531052,0,变异灵符女娲
600807,531053,0,变异律法女娲
600808,531105,0,变异大力金刚
600809,531106,0,变异龙龟
600810,531102,0,变异嘲讽
600811,531109,0,变异铜臂
600812,531104,0,变异虎力大仙
600813,531111,0,变异元宝大王
600814,531110,0,变异启明星
600815,531107,0,变异绘舞天女
600816,531108,0,变异苏摩罗
690001,900501,0,火灵兽
690002,900502,0,雷灵兽
690003,900503,0,水灵兽
690004,900504,0,土灵兽
690005,900505,0,吉里吉里
690006,900506,0,咕噜咕噜
690007,900507,0,齐天小圣
690008,900509,0,星悟空
690009,900510,0,暗神
690010,900511,0,紫玲珑
690011,900512,0,灵灯童子
690012,900513,0,驭龙
690013,900514,0,觉醒雪
690014,900515,0,司雷
690015,900516,0,紫镰魅灵
690016,900517,0,琴仙
690017,900518,0,月影灵仙
690018,900519,0,冰之守护
690019,900520,0,终末之瞳
690020,900521,0,归墟之主
690021,900522,0,青鸾仕女
690022,900523,0,影舞苍灵
690023,900524,0,画中仙
690024,900525,0,蝶衣
690025,900526,0,冰澜妖姬
690026,900527,0,火灵兽☆☆
690027,900528,0,雷灵兽☆☆
690028,900529,0,水灵兽☆☆
690029,900530,0,土灵兽☆☆
690030,900531,0,吉里吉里☆☆
690031,900532,0,咕噜咕噜☆☆
690032,900533,0,齐天小圣☆☆
690033,900534,0,恶魔泡泡☆☆
690034,900535,0,星悟空☆☆
690035,900536,0,暗神☆☆
690036,900537,0,紫玲珑☆☆
690037,900538,0,灵灯童子☆☆
690038,900539,0,驭龙☆☆
690039,900540,0,觉醒雪☆☆
690040,900541,0,司雷☆☆
690041,900542,0,紫镰魅灵☆☆
690042,900543,0,琴仙☆☆
690043,900544,0,月影灵仙☆☆
690044,900545,0,冰之守护☆☆
690045,900546,0,终末之瞳☆☆
690046,900547,0,归墟之主☆☆
690047,900548,0,青鸾仕女☆☆
690048,900549,0,影舞苍灵☆☆
690049,900550,0,画中仙☆☆
690050,900551,0,蝶衣☆☆
690051,900552,0,冰澜妖姬☆☆
690052,900553,0,火灵兽☆☆☆
690053,900554,0,雷灵兽☆☆☆
690054,900555,0,水灵兽☆☆☆
690055,900556,0,土灵兽☆☆☆
690056,900557,0,吉里吉里☆☆☆
690057,900558,0,咕噜咕噜☆☆☆
690058,900559,0,齐天小圣☆☆☆
690059,900560,0,恶魔泡泡☆☆☆
690060,900561,0,星悟空☆☆☆
690061,900562,0,暗神☆☆☆
690062,900563,0,紫玲珑☆☆☆
690063,900564,0,灵灯童子☆☆☆
690064,900565,0,驭龙☆☆☆
690065,900566,0,觉醒雪☆☆☆
690066,900567,0,司雷☆☆☆
690067,900568,0,紫镰魅灵☆☆☆
690068,900569,0,琴仙☆☆☆
690069,900570,0,月影灵仙☆☆☆
690070,900571,0,冰之守护☆☆☆
690071,900572,0,终末之瞳☆☆☆
690072,900573,0,归墟之主☆☆☆
690073,900574,0,青鸾仕女☆☆☆
690074,900575,0,影舞苍灵☆☆☆
690075,900576,0,画中仙☆☆☆
690076,900577,0,蝶衣☆☆☆
690077,900578,0,冰澜妖姬☆☆☆
690078,900579,0,三太子敖烈
690079,900580,0,七公主熬凌
690080,900581,0,东皇太一
690081,900582,0,太阳神
690082,900583,0,翅膀吕布
690083,900584,0,翅膀龙女
690084,900585,0,白骨精
690085,900586,0,白虎战神
690086,900587,0,伽罗灵女
690087,900588,0,二郎圣君
690088,900589,0,朝歌
691000,900590,0,火灵兽☆
691001,900591,0,雷灵兽☆
691002,900592,0,水灵兽☆
691003,900593,0,土灵兽☆
691004,900594,0,吉里吉里☆
691005,900595,0,咕噜咕噜☆
691006,900596,0,齐天小圣☆
691007,900597,0,恶魔泡泡☆
691008,900598,0,星悟空☆
691009,900599,0,暗神☆
691010,900600,0,紫玲珑☆
691011,900601,0,灵灯童子☆
691012,900602,0,驭龙☆
691013,900603,0,觉醒雪☆
691014,900604,0,司雷☆
691015,900605,0,紫镰魅灵☆
691016,900606,0,琴仙☆
691017,900607,0,月影灵仙☆
691018,900608,0,冰之守护☆
691019,900609,0,终末之瞳☆
691020,900610,0,归墟之主☆
691021,900611,0,青鸾仕女☆
691022,900612,0,影舞苍灵☆
691023,900613,0,画中仙☆
691024,900614,0,蝶衣☆
691025,900615,0,冰澜妖姬☆
