序号,标题,感谢语,祝福语,道具1,道具1名称,数量1,道具2,道具2名称,数量2,道具3,道具3名称,数量3,道具4,道具4名称,数量4,道具5,道具5名称,数量5,道具6,道具6名称,数量6,奖励平台币,物品需要包裹格
1,周-综合榜第一名奖励,感谢您对西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,259103,,1,720257,,1,710004,ID未调用,3,,,,,,,,,,1888,3
2,周-综合榜第二名奖励,感谢您对西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,259102,,1,720256,,1,710004,ID未调用,2,,,,,,,,,,588,3
3,周-综合榜第三名奖励,感谢您对西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,259220,,1,720255,,1,710004,ID未调用,1,,,,,,,,,,388,3
4,周-综合榜第四名奖励,感谢您对西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,259218,,1,720254,,1,,,,,,,,,,,,,0,3
5,周-综合榜第五名奖励,感谢您对西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,259217,,1,720254,,1,,,,,,,,,,,,,0,3
6,周-综合榜第六名奖励,感谢您对西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,,,,,,,,,,,,,,,,,,,,1
7,周-综合榜第七名奖励,感谢您对西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,,,,,,,,,,,,,,,,,,,,1
8,周-综合榜第八名奖励,感谢您对西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,,,,,,,,,,,,,,,,,,,,1
9,周-综合榜第九名奖励,感谢您对西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,,,,,,,,,,,,,,,,,,,,1
10,周-综合榜第十名奖励,感谢您对西游的支持,龙年大吉！！好运连连！！心想事成！！万事如意！！,,,,,,,,,,,,,,,,,,,,1
