id,技能id,等级,可以使用变化卡1,可以使用变化卡2,可以使用变化卡3
1,360024,1,332081,332082,332083
2,360024,2,332081,332082,332083
3,360024,3,332081,332082,332083
4,360024,4,332081,332082,332083
5,360024,5,332081,332082,332083
6,360024,6,332081,332082,332083
7,360024,7,332081,332082,332083
8,360024,8,332081,332082,332083
9,360024,9,332081,332082,332083
10,360025,1,332081,332082,332083
11,360025,2,332081,332082,332083
12,360025,3,332081,332082,332083
13,360025,4,332081,332082,332083
14,360025,5,332081,332082,332083
15,360025,6,332081,332082,332083
16,360025,7,332081,332082,332083
17,360025,8,332081,332082,332083
18,360025,9,332081,332082,332083
19,360026,1,332081,332082,332083
20,360026,2,332081,332082,332083
21,360026,3,332081,332082,332083
22,360026,4,332081,332082,332083
23,360026,5,332081,332082,332083
24,360026,6,332081,332082,332083
25,360026,7,332081,332082,332083
26,360026,8,332081,332082,332083
27,360026,9,332081,332082,332083
