服务器id,服务器名称,渠道类型
2200,台湾跨服,4
2201,华山之巅,4
2202,桃花迷阵,4
2203,求师中南,4
2204,古墓拜师,4
2205,重阳遗刻,4
2206,独孤剑冢,4
2207,绝情幽谷,4
2208,襄阳鏖兵,4
2209,风陵夜话,4
2210,决胜襄阳,4
2211,飞龙在天,4
2212,洞房花烛,4
2213,天罡北斗,4
2214,玉箫剑法,4
2215,谁与争锋,4
2217,台湾16服,4
2218,台湾17服,4
2219,台湾18服,4
2220,台湾19服,4
2221,台湾20服,4
2222,台湾21服,4
2223,台湾22服,4
2224,台湾23服,4
2225,台湾24服,4
2226,台湾25服,4
2590,38服务器,2
2591,38服务器,2
2592,38服务器,2
2593,38服务器,2
2594,38服务器,2
2595,38服务器,2
2596,38服务器,2
2597,38服务器,2
2598,38服务器,2
2599,38服务器,2
2600,38服务器,2
2601,38服务器,2
2602,38服务器,2
2603,38服务器,2
2604,38服务器,2
2605,38服务器,2
2606,38服务器,2
2607,38服务器,2
2608,38服务器,2
2609,38服务器,2
2610,38服务器,2
2611,38服务器,2
2612,38服务器,2
2613,38服务器,2
2614,38服务器,2
2615,38服务器,2
2616,38服务器,2
2617,38服务器,2
2618,跨服服务器,2
2619,十方俱灭,2
2620,苍龙吟,2
2621,花好月圆,2
2622,中神通,2
2623,百花谷,2
2624,天行健,2
2625,星河永灿,2
2626,逍遥游,2
2627,天下第一,2
2628,金风玉露,2
2629,万马奔腾,2
2630,辞旧迎新,2
2632,天下归心,2
2633,金戈铁马,2
2634,踏雪无痕,2
2635,北冥神功,5
2636,风林火山,2
2637,龙城飞将,2
2638,普天同庆,2
2639,风起云涌,2
2640,盖世英雄,2
2641,日月重光,2
2642,独孤求败,2
2643,神境天扉,2
2644,我叫MT3,2
2645,天下无双,2
2646,战无不胜,2
2647,气壮山河,2
2648,上善若水,2
2649,一元复始,2
2650,义薄云天,2
2651,龙战于野,2
2652,君临天下,2
2653,厉兵秣马,1
2654,九天揽月,2
2655,玉女心经,5
2656,黯然销魂,5
2658,剑胆琴心,2
2659,启天之路,2
2660,飞流跨服,5
2661,万象更新,1
2662,弹指神通,1
2663,太极归元,1
2664,落英神剑,1
2665,一阳书指,1
2666,天罡北斗,1
2667,亢龙有悔,1
2668,黯然销魂,1
2669,九阳神功,1
2670,碧海潮生,1
2671,龙象般若,1
2672,八门定星,1
2673,天涯回首,1
2674,降龙伏虎,1
2675,风花雪月,1
2676,马到成功,1
2677,瑞雪丰年,1
2678,万家灯火,1
2679,碧海青天,1
2680,望穿秋水,1
2681,一战倾城,1
2682,暖风晴雪,1
2683,斗转星移,1
2684,雷霆万钧,1
2685,飞龙在天,1
2686,重剑无锋,1
2687,神雕大侠,1
2688,终南之巅,1
2689,万剑归宗,1
2690,奇门遁甲,1
2691,傲世江湖,1
2692,秋水无痕,1
2693,华山论剑,1
2694,武林大会,1
2695,侠之大者,1
2696,天外飞仙,1
2697,双剑合璧,1
2698,梦倾天下,1
2699,情牵一线,1
2701,踏风行,1
2702,春暖花开,1
2703,阳春三月,1
2704,天河长风,1
2705,兵临城下,1
2706,沧海月明,1
2707,武林秘籍,1
2708,古墓密境,1
2709,芳菲尽,1
2710,百花齐放,1
2711,凤栖梧桐,1
2712,醉仙灵芙,1
2713,一骑当先,1
2714,三生石,1
2715,青青子衿,1
2716,跨服服务器,1
2717,51服,1
2718,52服,1
2719,53服,1
2720,54服,1
2721,55服,1
2722,56服,1
2723,57服,1
2724,58服,1
2725,59服,1
2726,60服,1
2727,61服,1
2728,62服,1
2729,63服,1
2730,64服,1
2731,65服,1
2732,66服,1
2733,67服,1
2734,68服,1
2735,69服,1
2736,70服,1
2737,71服,1
2738,72服,1
2739,73服,1
2740,74服,1
2741,75服,1
2742,76服,1
2743,77服,1
2744,78服,1
2745,79服,1
2746,80服,1
2800,腾讯跨服,3
2801,腾讯1服,3
2802,腾讯2服,3
2803,腾讯3服,3
2804,腾讯4服,3
2805,腾讯5服,3
2806,腾讯6服,3
2807,腾讯7服,3
2808,腾讯8服,3
2809,腾讯9服,3
2810,腾讯10服,3
2811,腾讯11服,3
2812,腾讯12服,3
2813,腾讯13服,3
2814,腾讯14服,3
2815,腾讯15服,3
4000,安卓测试服1,1
4501,IOS测试服1,2
