id,名称1,宽度1,名称2,宽度2,名称3,宽度3,名称4,宽度4,名称5,宽度5,名称6,宽度6,是否领取奖励,类型,备注
1,排名,0.25,角色名,0.25,门派,0.25,等级,0.2,,0.0,,0.0,0,等级,
9,排名,0.25,宠物名称,0.25,拥有者,0.25,宠物评分,0.2,,0.0,,0.0,0,宠物,
32,排名,0.25,角色名,0.25,门派,0.25,,0,综合战力,0.2,,0.0,0,综合实力,
38,排名,0.25,角色名,0.25,门派,0.25,,0,人物评分,0.2,,0.0,0,人物,
43,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,大唐官府,
44,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,龙宫,
45,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,普陀山,
46,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,方寸山,
47,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,狮驼岭,
48,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,阴曹地府,
49,排名,0.25,公会名称,0.25,等级,0.25,人数/总人数,0.2,,0.0,,0.0,0,公会等级,
50,排名,0.25,公会名称,0.25,等级,0.25,综合战力,0.2,,0.0,,0.0,0,公会综合实力,
51,排名,0.25,公会名称,0.25,副本名称,0.25,时间,0.1,层数,0.1,BOSS进度,0.3,0,公会副本竞速,
52,排名,0.25,公会名称,0.25,副本名称,0.25,时间,0.1,层数,0.1,BOSS进度,0.3,0,公会副本竞速,
60,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,月宫,
61,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,魔王寨,
62,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,化生寺,
63,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,女儿村,
64,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,小雷音,
65,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,花果山,
66,排名,0.25,角色名,0.25,门派,0.25,综合战力,0.2,,0.0,,0.0,0,须弥海,
70,排名,0.25,公会名称,0.25,副本名称,0.25,层数,0.15,BOSS进度,0.2,时间,0.15,0,公会副本竞速,
81,排名,0.25,角色名,0.25,门派,0.25,积分,0.3,,0.0,,0.0,0,上届精英组,
82,排名,0.25,角色名,0.25,门派,0.25,积分,0.3,,0.0,,0.0,0,上届神威组,
83,排名,0.25,角色名,0.25,门派,0.25,积分,0.3,,0.0,,0.0,0,上届王者组,
84,排名,0.25,角色名,0.25,门派,0.25,积分,0.3,,0.0,,0.0,0,历史精英组,
85,排名,0.25,角色名,0.25,门派,0.25,积分,0.3,,0.0,,0.0,0,历史神威组,
86,排名,0.25,角色名,0.25,门派,0.25,积分,0.3,,0.0,,0.0,0,历史王者组,
101,排名,0.25,角色名,0.25,门派,0.25,符石,0.3,,0.0,,0.0,0,世界红包榜,普通服
102,排名,0.25,角色名,0.25,门派,0.25,金币,0.3,,0.0,,0.0,0,世界红包榜,点卡服
111,排名,0.25,角色名,0.25,门派,0.25,积分,0.3,,0.0,,0.0,0,魅力收花榜,
112,排名,0.25,角色名,0.25,门派,0.25,积分,0.3,,0.0,,0.0,0,魅力送花榜,
