id,特效路径,策划备注
10010,geffect/shengji/dashengjilizi,
10011,geffect/shengji/xiaoshengji,
10012,geffect/shengji/xiaoshengji,
10013,geffect/shengji/xiaoshengji,
10014,geffect/shengji/xiaoshengji,
10015,geffect/shengji/xiaoshengji,
10016,geffect/shengji/xiaoshengji,
10017,geffect/shengji/xiaoshengji,
10018,geffect/shengji/xiaoshengji,
10019,geffect/shengji/xiaoshengji,
10020,geffect/shengji/xiaoshengji,
10021,geffect/shengji/xiaoshengji,
10022,geffect/shengji/xiaoshengji,
10023,geffect/shengji/xiaoshengji,
10062,geffect/ui/mt_chuansong/mt_chuansong,
10063,geffect/ui/mt_chuansong/mt_chuansong,
10067,particle/psl/ui/card,
10068,particle/psl/guidepointc,选中框特效
10069,particle/psl/ui/expfull,
10070,particle/psl/exp,
10071,particle/psl/ui/expget,
10101,geffect/number/baojiaddhp/1,
10102,geffect/number/baojiaddhp/2,
10103,geffect/number/baojiaddhp/3,
10104,geffect/number/baojiaddhp/4,
10105,geffect/number/baojiaddhp/5,
10106,geffect/number/baojiaddhp/6,
10107,geffect/number/baojiaddhp/7,
10108,geffect/number/baojiaddhp/8,
10109,geffect/number/baojiaddhp/9,
10110,geffect/number/baojisubhp/0,
10111,geffect/number/baojisubhp/1,
10112,geffect/number/baojisubhp/2,
10113,geffect/number/baojisubhp/3,
10114,geffect/number/baojisubhp/4,
10115,geffect/number/baojisubhp/5,
10116,geffect/number/baojisubhp/6,
10117,geffect/number/baojisubhp/7,
10118,geffect/number/baojisubhp/8,
10119,geffect/number/baojisubhp/9,
10120,geffect/number/subhp/0,
10121,geffect/number/subhp/1,
10122,geffect/number/subhp/2,
10123,geffect/number/subhp/3,
10124,geffect/number/subhp/4,
10125,geffect/number/subhp/5,
10126,geffect/number/subhp/6,
10127,geffect/number/subhp/7,
10128,geffect/number/subhp/8,
10129,geffect/number/subhp/9,
10130,geffect/number/submp/0,
10131,geffect/number/submp/1,
10132,geffect/number/submp/2,
10133,geffect/number/submp/3,
10134,geffect/number/submp/4,
10135,geffect/number/submp/5,
10136,geffect/number/submp/6,
10137,geffect/number/submp/7,
10138,geffect/number/submp/8,
10139,geffect/number/submp/9,
10143,geffect/shengji/renwu,
10147,geffect/sprite/npc/zhandou,
10148,geffect/sprite/npc/wenhao2,
10149,geffect/sprite/npc/wenhao1,
10150,geffect/sprite/npc/zhuxian,
10151,geffect/sprite/npc/tanhao,
10152,animation/sprite/di/di3,
10153,animation/sprite/di/di2,
10154,animation/sprite/di/di1,
10157,geffect/sprite/gongji,
10159,geffect/sprite/automonster,
10160,geffect/sprite/battle/battleoffline,
10161,geffect/sprite/battle/zhunbei,
10164,geffect/sprite/inbattle,
