编号,光环图标,图片路径,名称,描述,效果,克制一,克制一参数,克制二,克制2参数,被克一,被克一参数,被克二,被克二参数,己方一,己方二,己方三,己方四,己方五,己方六,己方七,己方八,己方九,己方十,己方十一,己方十二,己方十三,己方十四,敌方十五,敌方十六,敌方十七,敌方十八,敌方十九,敌方二十,敌方二十一,敌方二十二,敌方二十三,敌方二十四,敌方二十五,敌方二十六,敌方二十七,敌方二十八,光环背景,匹配光环卷轴Id,匹配光环卷轴增加值
0,1226,set:itemicon14 image:1226,无阵法,一字长蛇阵,无,0,0.03,0,0.06,"1,2,3,4,5,6,7,8,9,10",0.03,,0.06,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,,,
1,1234,set:itemicon14 image:1234,天覆阵,学习天覆阵法书习得,无,"0,8,9",0.03,"2,5",0.06,"4,7,10",0.03,"3,6",0.06,11,2,3,4,5,6,7,8,9,10,1,12,13,14,25,16,17,18,19,20,21,22,23,24,15,26,27,28,,360001,1000
2,1239,set:itemicon14 image:1239,地载阵,学习地载阵法书习得,无,"0,6,7",0.03,"3,4,10",0.06,5,0.03,"1,8,9",0.06,11,12,13,1,14,6,7,8,9,10,2,3,4,5,25,26,27,15,28,20,21,22,23,24,16,17,18,19,,360002,1000
3,1238,set:itemicon14 image:1238,风扬阵,学习风扬阵法书习得,无,"0,6",0.03,"1,8,9",0.06,"5,7",0.03,"2,4,10",0.06,11,12,13,2,3,6,7,8,9,10,1,4,5,14,25,26,27,16,17,20,21,22,23,24,15,18,19,28,,360007,1000
7,1228,set:itemicon14 image:1228,云垂阵,学习云垂阵法书习得,无,"0,1,3",0.03,"6,8,9",0.06,2,0.03,"4,5,10",0.06,11,12,13,4,5,6,7,8,9,10,1,14,2,3,25,26,27,18,19,20,21,22,23,24,15,28,16,17,,360003,1000
5,1237,set:itemicon14 image:1237,龙飞阵,学习龙飞阵法书习得,无,"0,2,3",0.03,"7,10",0.06,"4,6,8",0.03,"1,9",0.06,11,3,4,1,14,6,7,8,9,10,2,5,12,13,25,17,18,15,28,20,21,22,23,24,16,19,26,27,,360006,1000
4,1236,set:itemicon14 image:1236,虎翼阵,学习虎翼阵法书习得,无,"0,1,5,10",0.03,3.7,0.06,"6,9",0.03,"2,8",0.06,14,12,13,4,5,6,7,8,9,10,1,2,3,11,28,26,27,18,19,20,21,22,23,24,15,16,17,25,,360008,1000
8,1224,set:itemicon14 image:1224,鸟翔阵,学习鸟翔阵法书习得,无,"0,5,9",0.03,"2,4",0.06,"1,6,10",0.03,"3,7",0.06,1,4,5,12,13,6,7,8,9,10,11,2,3,14,15,18,19,26,27,20,21,22,23,24,25,16,17,28,,360004,1000
6,1235,set:itemicon14 image:1235,蛇蟠阵,学习蛇蟠阵法书习得,无,"0,4,5,8,10",0.03,1,0.06,"2,3,9",0.03,7,0.06,11,12,13,5,14,6,7,8,9,10,1,4,3,2,25,26,27,19,28,20,21,22,23,24,15,18,17,16,,360005,1000
9,1232,set:itemicon14 image:1232,鹰啸阵,学习鹰啸阵法书习得,无,"0,4,6",0.03,"2,5",0.06,"1,8,10",0.03,"3,7",0.06,11,1,14,2,3,6,7,8,9,10,4,5,12,13,25,15,28,16,17,20,21,22,23,24,18,19,26,27,,360010,1000
10,1229,set:itemicon14 image:1229,雷绝阵,学习雷绝阵法书习得,无,"0,1,8,9",0.03,"3,7",0.06,"4,6",0.03,"2,5",0.06,14,12,13,3,2,6,7,8,9,10,1,11,4,5,28,26,27,17,16,20,21,22,23,24,15,25,18,19,,360009,1000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
