ID,提示对话框类型,提示内容,备注
100001,1,你身上的空位不足，无法购买物品。,
100003,1,你没有足够的银币，无法购买该物品。,
100006,1,加锁装备不能出售。,
100007,1,不能出售该类商品。,
100041,1,你的宠物栏满了。,
100065,1,等级不足，不能装备！,
100066,1,性别不符，不能装备！,
100068,1,角色不符，不能装备！,
100091,2,徒儿，你攒的经验太多了，我都不好意思再给你任务了。,
120006,1,"<T t=""请注意，这是PK战斗！"" c=""FF0caf08""></T>",
120025,1,你身上的银币不足。,
120057,1,道具栏已满，物品进入临时包裹栏，请及时清理。,
120058,5,你确定清空临时包裹栏中的物品吗？,
120059,1,你的道具栏空位不足。,
120061,1,你不是队长，不能主动发起战斗！,
120063,1,距离太远无法切磋,
120067,3,"<T t="" 对手玩家（队长）信息"" c=""ff261407""></T><B></B><T t=""        等级："" c=""ff261407""></T><T t=""$parameter1$"" c=""ff00ff00""></T><B></B><T t=""        门派："" c=""ff261407""></T><T t=""$parameter2$"" c=""ff00ff00""></T>",
120068,1,"<T t=""恭喜你战胜了"" c=""fffff2df"" f=""simhei-13""></T><T t=""$parameter1$"" c=""FF33FF00"" f=""simhei-13""></T>",
120069,1,"<T t=""很遗憾，你没能战胜"" c=""fffff2df"" f=""simhei-13""></T><T t=""$parameter1$"" c=""FF33FF00"" f=""simhei-13""></T>",
120071,1,"<T t=""恭喜你战胜了"" c=""fffff2df"" f=""simhei-13""></T><T t=""$parameter1$"" c=""FF33FF00"" f=""simhei-13""></T><T t=""的队伍"" c=""fffff2df"" f=""simhei-13""></T>",
120072,1,"<T t=""很遗憾，你没能战胜"" c=""fffff2df"" f=""simhei-13""></T><T t=""$parameter1$"" c=""FF33FF00"" f=""simhei-13""></T>",
130011,1,你不是队长，不能进行挖宝图。,
131451,1,战斗中不能进行此操作。,
140201,1,"<T t=""你已被玩家""></T><T t=""$parameter1$"" c=""ff00c6ff""></T><T t=""加为好友。""></T>",
140202,1,"<T t=""成功添加""></T><T t=""$parameter1$"" c=""ff00c6ff""></T><T t=""为好友。""></T>",
140203,1,对方拒绝陌生人消息，信息发送失败。,
140213,1,赞助30开启添加好友~,
140273,2,灵兽灵力强大，单枪匹马恐难胜任，还是组队前来吧！,
140277,2,队伍要至少3人才行哦。,
140296,7,"<T t=""$parameter1$"" c=""ff00c6ff""></T><T t=""已成功任命"" c=""fffff2df""></T><T t=""$parameter2$"" c=""ff00c6ff""></T><T t=""为"" c=""fffff2df""></T><T t=""$parameter3$"" c=""FF0caf08""></T><T t=""。"" c=""fffff2df""></T>",
140379,1,"<T t=""你已成功断绝与""></T><T t=""$parameter1$"" c=""ff33ff33""></T><T t=""的好友关系。""></T>",
140382,3,"<T t=""你的好友""></T><T t=""$parameter1$"" c=""ff00c6ff""></T><T t=""上线了。""></T>",
140383,3,"<T t=""你的好友""></T><T t=""$parameter1$"" c=""ff00c6ff""></T><T t=""下线了。""></T>",
140402,5,你确定将[colour='ffffff33']$parameter1$[colour='FF0caf08']丢弃吗？,
140403,1,名字只能输入2-7个中文字符或4-14个英文字符，含有非法字符或者为纯数字命名则不能创建。,
140404,1,角色名字重复。,
1404061,1,"<T t=""恭喜您升级了！"" c=""fffff2df""></T>",
140417,1,"<T t=""30"" c=""FF0caf08""></T><T t=""级以上才可学习生活技能。""></T>",
140434,1,活动尚未开启，请耐心等待。,
140439,1,"<T t=""很遗憾你的答案不正确，获得了""></T><T t=""$parameter1$"" c=""FF0caf08""></T><I s='linshi' i='jy'/>",
140440,1,出错了,
140471,1,密码输入错误，请重试。,
140481,2,你身上没有野生宠物！,
140497,1,请不要说话太快。,
140498,1,你还没有队伍。,
140500,1,"<T t=""你还有""></T><T t=""$parameter1$"" c=""FF0caf08""></T><T t=""秒才能在世界频道发言。""></T>",
140501,1,"<T t=""首充后，才可聊天噢~"" c=""fffff2df"" f=""simhei-13""></T><E e=""140""></E>",
140534,1,对方已经下线了。,
140638,2,"<T t=""你身上的""></T><T t=""$parameter1$"" c=""FF0caf08""></T><T t=""数量不足。""></T>",
140640,1,"<T t=""$parameter1$"" c=""ff00c6ff""></T><T t=""拒绝了你的申请。""></T>",
140641,1,"<T t=""你被""></T><T t=""$parameter1$"" c=""ff00c6ff""></T><T t=""请离出了队伍。""></T>",
140655,1,背包已满，无法领取。,
140657,1,不是同一帮派成员，无法传送。,
140665,5,门派闯关即将开启，您是否要参加么？,
140670,2,"<T t=""队伍中"" c=""fffff2df""></T><T t=""$parameter1$"" c=""ff00c6ff""></T><T t=""等级不足，无法参加活动。"" c=""fffff2df""></T>",
140676,"1,15","<T t=""门派闯关活动已经结束。"" c=""fffff2df""></T>",
140684,2,认错人了，请查看一下您的任务栏提示。,
140710,2,今天的题你已经答完了，明天再来吧。,
140740,1,"<T t=""$parameter1$"" c=""ff00c6ff""></T><T t=""正在偷看你哦^_^""></T>",
140742,1,对方不在线，不能查看啦~,
140797,1,"<T t=""恭喜你，打造成功了，你获得了""></T><T t=""$parameter1$"" c=""$parameter2$"" ></T><T t=""！""></T><E e=""190""></E>",
140830,2,恭喜你们成功完成门派闯关，你们可以前往吉MM处再次开始任务。,
140851,1,"<T t=""$parameter1$"" c=""ff00c6ff""></T><T t=""拒绝了你的邀请。""></T>",
140855,1,你已经在队伍中了。,
140869,1,该道具已经不存在了。,
140880,1,你正在召唤队员。,
1409821,"1,-15","<T t=""你获得了1"" c=""fffff2df""></T><T t=""$parameter1$"" c=""FF0caf08""></T><I s='linshi' i='jy'/>",
