技能ID,备注,阶段列表,阶段列表_远程
1000160,蛇胆酒,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000170,珍露酒,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000200,金创药,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000210,金香玉,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000220,定神香-加蓝,"10001404,10001405,10001406,10001407","10001404,10001405,10001406,10001407"
1000230,五龙丹,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000240,九转还魂丹,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000250,佛光舍利子,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000260,显隐之尘,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000300,血色茶花,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000310,鹿茸,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000320,仙狐诞-加蓝,"10001404,10001405,10001406,10001407","10001404,10001405,10001406,10001407"
1000330,麝香-加蓝,"10001404,10001405,10001406,10001407","10001404,10001405,10001406,10001407"
1000340,火风之晴,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000350,凤凰尾,"10001400,10001401,10001402,10001403","10001400,10001401,10001402,10001403"
1000360,孔雀红-加蓝,"10001404,10001405,10001406,10001407","10001404,10001405,10001406,10001407"
1000370,血珊瑚-加蓝,"10001404,10001405,10001406,10001407","10001404,10001405,10001406,10001407"
2541,大唐官府技能,,
1100010,破釜沉舟1,"11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107","11000100,11000101,11000102,11000103,11000104,11000105,11000106,11000107"
1100011,破釜沉舟2,"11000110,11000111,11000112,11000113,11000114,11000115","11000108,11000109,11000110,11000111,11000112,11000113,11000114,11000115"
1100012,破釜沉舟3,"11000120,11000121,11000122,11000123,11000124,11000125","11000116,11000117,11000118,11000119,11000120,11000121,11000122,11000123"
1100013,破釜沉舟4,"11000130,11000131,11000132,11000133,11000134,11000135","11000124,11000125,11000126,11000127,11000128,11000129,11000130,11000131"
1100015,破釜沉舟5,"11000150,11000151,11000152,11000153,11000154,11000155","11000124,11000125,11000126,11000127,11000128,11000129,11000150,11000151"
1100014,破釜沉舟归位,11000140,11000131
1100020,翩鸿一击1,"11000200,11000201,11000202,11000203,11000204,11000205","11000200,11000201,11000202,11000203,11000204,11000205,11000206,11000207"
1100021,翩鸿一击2,11000204,11000208
1100117,杀气决：翩鸿一击,"11000200,11000201,11000202,11000203,11000204,11000205","11000200,11000201,11000202,11000203,11000204,11000205,11000206,11000207"
