22/07/2026 20:23:54 (Std) 	
22/07/2026 20:23:54 (Std) 	********************************************************************************
22/07/2026 20:23:54 (Std) 	* Important:                                                                   *
22/07/2026 20:23:54 (Std) 	*     To get support at the CEGUI forums, you must post _at least_ the section *
22/07/2026 20:23:54 (Std) 	*     of this log file indicated below.  Failure to do this will result in no  *
22/07/2026 20:23:54 (Std) 	*     support being given; please do not waste our time.                       *
22/07/2026 20:23:54 (Std) 	********************************************************************************
22/07/2026 20:23:54 (Std) 	********************************************************************************
22/07/2026 20:23:54 (Std) 	* -------- START OF ESSENTIAL SECTION TO BE POSTED ON THE FORUM       -------- *
22/07/2026 20:23:54 (Std) 	********************************************************************************
22/07/2026 20:23:54 (Std) 	---- Version 0.7.1 (Build: Jul 21 2026 Microsoft Windows MSVC++ Great Scott! 32 bit) ----
22/07/2026 20:23:54 (Std) 	---- Renderer module is: CEGUI::OpenGLRenderer - Official OpenGL based 2nd generation renderer module.  TextureTarget support enabled via FBO extension. ----
22/07/2026 20:23:54 (Std) 	---- XML Parser module is: CEGUI::LJXMLParser - RapidXml  based parser module for CEGUI ----
22/07/2026 20:23:54 (Std) 	---- Scripting module is: None ----
22/07/2026 20:23:54 (Std) 	********************************************************************************
22/07/2026 20:23:54 (Std) 	* -------- END OF ESSENTIAL SECTION TO BE POSTED ON THE FORUM         -------- *
22/07/2026 20:23:54 (Std) 	********************************************************************************
22/07/2026 20:23:54 (Std) 	
22/07/2026 20:23:54 (Std) 	---- Begining CEGUI System initialisation ----
22/07/2026 20:23:54 (Std) 	CEGUI::ImagesetManager singleton created (16D893E8)
22/07/2026 20:23:54 (Std) 	CEGUI::FontManager singleton created. (16D89B68)
22/07/2026 20:23:54 (Std) 	CEGUI::WindowFactoryManager singleton created
22/07/2026 20:23:54 (Std) 	CEGUI::WindowManager singleton created (08EB4708)
22/07/2026 20:23:54 (Std) 	CEGUI::SchemeManager singleton created. (16D891E8)
22/07/2026 20:23:54 (Std) 	CEGUI::MouseCursor singleton created. (08EFD550)
22/07/2026 20:23:54 (Std) 	CEGUI::GlobalEventSet singleton created. (165E39A8)
22/07/2026 20:23:54 (Std) 	CEGUI::WidgetLookManager singleton created. (08EC3AE0)
22/07/2026 20:23:54 (Std) 	CEGUI::WindowRendererManager singleton created (08EC3AF0)
22/07/2026 20:23:54 (Std) 	CEGUI::AnimationManager singleton created (167FF3D0)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'DefaultWindow' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'DefaultWindow' windows added. (165F3F00)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'DragContainer' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'DragContainer' windows added. (165F3DC8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'ScrolledContainer' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'ScrolledContainer' windows added. (165F4038)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'ClippedContainer' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'ClippedContainer' windows added. (165F4B98)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Checkbox' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Checkbox' windows added. (165F49F8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/PushButton' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/PushButton' windows added. (165F4C00)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/RadioButton' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/RadioButton' windows added. (165F4990)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Combobox' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Combobox' windows added. (165F4A60)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ComboDropList' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ComboDropList' windows added. (165F4AC8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Editbox' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Editbox' windows added. (165F3D60)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/FrameWindow' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/FrameWindow' windows added. (165F1FD0)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ItemEntry' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ItemEntry' windows added. (16D8F798)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Listbox' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Listbox' windows added. (16D8EF78)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ListHeader' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ListHeader' windows added. (16D8EEA8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ListHeaderSegment' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ListHeaderSegment' windows added. (16D8EFE0)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Menubar' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Menubar' windows added. (16D8F4C0)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/PopupMenu' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (16D8EBD0)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (16D8ECA0)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (16D8F868)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (16D8ED08)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (16D8ED70)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (16D8F250)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (16D8F048)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (16D8F800)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (16D8F5F8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (16D8F6C8)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (16D8F0B0)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
22/07/2026 20:23:54 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (16D8EF10)
22/07/2026 20:23:54 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
