23/07/2026 03:55:03 (Std) 	Editor extension modules initialized (9): context_menu, multi_select, batch_property, snippet_library, custom_shortcut, format_painter, smart_hint, preview, tree_dragdrop
23/07/2026 03:55:03 (Std) 	Editor extension command routes initialized (8)
23/07/2026 03:55:03 (Std) 	Editor extension shortcut actions initialized (22)
23/07/2026 03:55:03 (Std) 	[GRID_STAGE] ClearGrid enter rows=0 editorEnabled=0 editorShown=0
23/07/2026 03:55:03 (Std) 	[GRID_STAGE] ClearGrid leave rows=0
23/07/2026 03:55:03 (Std) 	[GL_INIT] context ready hwnd=001B0D48 vendor='ATI Technologies Inc.' renderer='AMD Radeon RX 6800 XT' version='4.6.0 Compatibility Profile Context 25.12.1.251128'
23/07/2026 03:55:03 (Std) 	[CEGUI_INIT] creating OpenGLPreview renderer canvas=00000000
23/07/2026 03:55:03 (Std) 	[CEGUI_INIT] OpenGL renderer created renderer=0A7DB250
23/07/2026 03:55:03 (Std) 	
23/07/2026 03:55:03 (Std) 	********************************************************************************
23/07/2026 03:55:03 (Std) 	* Important:                                                                   *
23/07/2026 03:55:03 (Std) 	*     To get support at the CEGUI forums, you must post _at least_ the section *
23/07/2026 03:55:03 (Std) 	*     of this log file indicated below.  Failure to do this will result in no  *
23/07/2026 03:55:03 (Std) 	*     support being given; please do not waste our time.                       *
23/07/2026 03:55:03 (Std) 	********************************************************************************
23/07/2026 03:55:03 (Std) 	********************************************************************************
23/07/2026 03:55:03 (Std) 	* -------- START OF ESSENTIAL SECTION TO BE POSTED ON THE FORUM       -------- *
23/07/2026 03:55:03 (Std) 	********************************************************************************
23/07/2026 03:55:03 (Std) 	---- Version 0.7.1 (Build: Jul 21 2026 Microsoft Windows MSVC++ Great Scott! 32 bit) ----
23/07/2026 03:55:03 (Std) 	---- Renderer module is: CEGUI::OpenGLRenderer - Official OpenGL based 2nd generation renderer module.  TextureTarget support enabled via FBO extension. ----
23/07/2026 03:55:03 (Std) 	---- XML Parser module is: CEGUI::LJXMLParser - RapidXml  based parser module for CEGUI ----
23/07/2026 03:55:03 (Std) 	---- Scripting module is: None ----
23/07/2026 03:55:03 (Std) 	********************************************************************************
23/07/2026 03:55:03 (Std) 	* -------- END OF ESSENTIAL SECTION TO BE POSTED ON THE FORUM         -------- *
23/07/2026 03:55:03 (Std) 	********************************************************************************
23/07/2026 03:55:03 (Std) 	
23/07/2026 03:55:03 (Std) 	---- Begining CEGUI System initialisation ----
23/07/2026 03:55:03 (Std) 	CEGUI::ImagesetManager singleton created (07865BA0)
23/07/2026 03:55:03 (Std) 	CEGUI::FontManager singleton created. (078657A0)
23/07/2026 03:55:03 (Std) 	CEGUI::WindowFactoryManager singleton created
23/07/2026 03:55:03 (Std) 	CEGUI::WindowManager singleton created (0AD61DF0)
23/07/2026 03:55:03 (Std) 	CEGUI::SchemeManager singleton created. (07865F20)
23/07/2026 03:55:03 (Std) 	CEGUI::MouseCursor singleton created. (07841240)
23/07/2026 03:55:03 (Std) 	CEGUI::GlobalEventSet singleton created. (0AD5EE08)
23/07/2026 03:55:03 (Std) 	CEGUI::WidgetLookManager singleton created. (16088930)
23/07/2026 03:55:03 (Std) 	CEGUI::WindowRendererManager singleton created (16088BE0)
23/07/2026 03:55:03 (Std) 	CEGUI::AnimationManager singleton created (0AF772E0)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'DefaultWindow' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'DefaultWindow' windows added. (0AD6BE68)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'DragContainer' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'DragContainer' windows added. (0AD6C4E8)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'ScrolledContainer' windows.
23/07/2026 03:55:03 (Std) 	WindowFactory for 'ScrolledContainer' windows added. (0AD6C1A8)
23/07/2026 03:55:03 (Std) 	Created WindowFactory for 'ClippedContainer' windows.
