"CaptureTime","Platform","Status","Source","Device","SelectEffect","SetParamEffect","DrawEffect","SetParamPtr","DrawParamPtr","RawSelectLine","RawSetLine","RawDrawLine","Reason"
"2026-03-06 02:39:23","Win32","no_match","E:\MT3\client\resource\bin\Release\startup_bootstrap.log","local","","","","","","","","","select_not_found|set_not_found|draw_not_found"
"2026-03-06 02:39:31","Android","no_match","adb logcat -d","192.168.5.218:5555","","","","","","","","","select_not_found|set_not_found|draw_not_found"
"2026-03-06 11:10:48","Win32","no_match","E:\MT3\client\resource\bin\Release\mt3_ct.log","local","","","","","","","","","set_not_found|draw_not_found"
"2026-03-06 11:10:56","Android","no_match","adb logcat -d","192.168.5.218:5555","","","","","","","","","set_not_found|draw_not_found"
"2026-03-06 11:13:06","Win32","no_match","E:\MT3\client\resource\bin\Release\mt3_ct.log","local","","","","","","","","","set_not_found|draw_not_found"
"2026-03-06 11:13:14","Android","no_match","adb logcat -d","192.168.5.218:5555","","","","","","","","","set_not_found|draw_not_found"
"2026-03-06 11:43:31","Win32","no_match","E:\MT3\client\resource\bin\Release\mt3_ct.log","local","","","","","","","","","set_not_found|draw_not_found"
"2026-03-06 11:43:34","Android","no_match","adb logcat -d","192.168.5.218:5555","","","","","","","","","set_not_found|draw_not_found"
"2026-03-06 11:47:00","Win32","no_match","E:\MT3\client\resource\bin\Release\mt3_ct.log","local","","","","","","","","","set_not_found|draw_not_found"
"2026-03-06 11:47:06","Android","no_match","adb logcat -d","192.168.5.218:5555","","","","","","","","","set_not_found|draw_not_found"
"2026-03-06 12:23:16","Win32","no_match","E:\MT3\client\resource\bin\Release\mt3_ct.log","local","","","","","","","","","set_not_found|draw_not_found"
"2026-03-06 12:23:24","Android","no_match","adb logcat -d","192.168.5.218:5555","","","","","","","","","set_not_found|draw_not_found"
