"File","Extension","FileType","SizeBytes","LastWriteTime","LocalDependencyCount","SystemDependencyCount","LocalDependencies","SystemDependencies"
"client/MT3Win32App/CrashDump.cpp",".cpp","C++ Source","13902","2026-03-03 12:03:31","3","2","CrashDump.h;DbgHelp.h;stdafx.h","intrin.h;time.h"
"client/MT3Win32App/CrashDump.h",".h","C/C++ Header","246","2026-03-03 12:03:31","0","1","","string"
"client/MT3Win32App/FireClient.win32.vcxproj",".vcxproj","MSBuild VC++ Project","33078","2026-03-03 12:03:31","0","0","",""
"client/MT3Win32App/FireClient.win32.vcxproj.filters",".filters","MSBuild Filter","32665","2016-08-11 17:50:47","0","0","",""
"client/MT3Win32App/main.cpp",".cpp","C++ Source","5154","2026-03-03 12:03:31","10","0","../../platform/ini/IniFile.h;CCEGLView.h;CrashDump.h;GameApplication.h;io.h;LoginManager.h;main.h;Resource.h;utils\FileUtil.h;vld.h",""
"client/MT3Win32App/main.h",".h","C/C++ Header","280","2026-03-03 12:03:31","1","2","CCStdC.h","tchar.h;windows.h"
"client/MT3Win32App/mt3.cpp",".cpp","C++ Source","4194","2026-03-03 12:03:31","3","0","GameApplication.h;mt3.h;stdafx.h",""
"client/MT3Win32App/mt3.h",".h","C/C++ Header","39","2026-03-03 12:03:31","1","0","resource.h",""
"client/MT3Win32App/mt3.ico",".ico","Icon Resource","120798","2026-03-03 12:03:31","0","0","",""
"client/MT3Win32App/mt3.rc",".rc","Windows Resource Script","3346","2026-03-03 12:03:31","2","0","resource.h;winres.h",""
"client/MT3Win32App/mt3.vcxproj",".vcxproj","MSBuild VC++ Project","8384","2026-03-03 12:03:31","0","0","",""
"client/MT3Win32App/mt3.vcxproj.filters",".filters","MSBuild Filter","1814","2016-03-14 11:47:47","0","0","",""
"client/MT3Win32App/mt3.win32.vcxproj",".vcxproj","MSBuild VC++ Project","16452","2026-03-03 12:03:31","0","0","",""
"client/MT3Win32App/mt3.win32.vcxproj.filters",".filters","MSBuild Filter","1060","2016-08-11 17:50:47","0","0","",""
"client/MT3Win32App/mt3_free.ico",".ico","Icon Resource","120798","2016-08-31 09:43:09","0","0","",""
"client/MT3Win32App/Resource.aps",".aps","VC Resource State","1608","2016-08-10 16:59:16","0","0","",""
"client/MT3Win32App/Resource.h",".h","C/C++ Header","950","2026-03-03 12:03:31","0","0","",""
"client/MT3Win32App/stdafx.cpp",".cpp","C++ Source","209","2026-03-03 12:03:31","1","0","stdafx.h",""
"client/MT3Win32App/stdafx.h",".h","C/C++ Header","422","2026-03-03 12:03:31","1","5","targetver.h","malloc.h;memory.h;stdlib.h;tchar.h;windows.h"
"client/MT3Win32App/targetver.h",".h","C/C++ Header","236","2026-03-03 12:03:31","0","1","","SDKDDKVer.h"
