"FromModule","ToModule","EdgeCount"
"ProtoDef","ProtoDef","315"
"Framework","Framework","97"
"Manager","Manager","81"
"Framework","Manager","76"
"GameTable","GameTable","52"
"Battle","Battle","47"
"Manager","Framework","45"
"Framework","ProtoDef","27"
"Battle","Manager","26"
"SceneObj","SceneObj","25"
"Manager","Other","23"
"Battle","ProtoDef","21"
"Framework","SceneObj","21"
"Framework","Other","20"
"oggenc","oggenc","20"
"Manager","Utils","19"
"Amr","Amr","17"
"Battle","Framework","16"
"Framework","Utils","16"
"SceneObj","Framework","16"
"Battle","GameTable","14"
"Battle","Other","14"
"Manager","GameTable","13"
"SceneObj","Manager","13"
"SceneObj","Other","12"
"SceneObj","ProtoDef","12"
"Framework","Battle","11"
"SceneObj","GameTable","11"
"Manager","ProtoDef","10"
"Manager","GameUI","9"
"Framework","GameTable","7"
"Manager","SceneObj","6"
"Other","Other","6"
"Utils","Utils","6"
"Framework","GameUI","5"
"GameUI","GameUI","5"
"GameUI","Manager","5"
"Manager","Battle","5"
"GameUI","Other","4"
"platform","platform","4"
"Utils","Other","4"
"Battle","SceneObj","3"
"Common","ProtoDef","3"
"Common","Utils","3"
"Framework","Common","3"
"Manager","Common","3"
"Other","Framework","3"
"SceneObj","Common","3"
"Amr","Other","2"
"Battle","Common","2"
"Common","GameUI","2"
"GameUI","Framework","2"
"GameUI","GameTable","2"
"GameUI","SceneObj","2"
"Other","GameUI","2"
"Other","Manager","2"
"SceneObj","Battle","2"
"SceneObj","Utils","2"
"Utils","Amr","2"
"Utils","GameTable","2"
"Battle","Utils","1"
"Common","Common","1"
"Common","Framework","1"
"Framework","oggenc","1"
"GameUI","Utils","1"
"Manager","oggenc","1"
"Other","Common","1"
"Other","GameTable","1"
"Other","Utils","1"
"platform","Manager","1"
"platform","Other","1"
"platform","Utils","1"
"Utils","Manager","1"
