"序号","物品类型","id","备注名","逻辑类型","珍品","值1","显示1","区间1","区间2","区间3","区间4","区间5","区间6","区间7","区间8","区间9","区间10","区间11","区间12","2级菜单ID","1级菜单ID","默认货币类型","默认价格1","默认价格2","默认价格3","默认价格4","默认价格5","默认价格6","默认价格7","默认价格8","默认价格9","默认价格10","默认价格11","基准成交量","基准挂单量","可见等级","可购买等级下限","可购买等级上限","价格上限","价格下限","浮动价格系数","是否可以摆摊上架"
"1000","2","500224","食人工头宝宝","0","1","","","","","","","","","","","","","","","100","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1001","2","500225","地精工匠宝宝","0","1","","","","","","","","","","","","","","","100","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1002","2","500226","剪刀手宝宝","0","1","","","","","","","","","","","","","","","100","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1003","2","500227","鱼人宝宝","0","1","","","","","","","","","","","","","","","100","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1004","2","500228","死神宝宝","0","1","","","","","","","","","","","","","","","101","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1005","2","500229","狼人宝宝","0","1","","","","","","","","","","","","","","","101","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1006","2","500230","死灵哨兵宝宝","0","1","","","","","","","","","","","","","","","101","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1007","2","500231","血月教徒宝宝","0","1","","","","","","","","","","","","","","","101","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1008","2","500232","野猪人宝宝","0","1","","","","","","","","","","","","","","","102","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1009","2","500233","绿龙护卫宝宝","0","1","","","","","","","","","","","","","","","102","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1010","2","500234","野猪战士宝宝","0","1","","","","","","","","","","","","","","","102","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1011","2","500235","巫妖宝宝","0","1","","","","","","","","","","","","","","","102","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1012","2","500236","血色猎犬宝宝","0","1","","","","","","","","","","","","","","","103","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1013","2","500237","幽灵宝宝","0","1","","","","","","","","","","","","","","","103","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1014","2","500238","死亡骑士宝宝","0","1","","","","","","","","","","","","","","","103","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1015","2","500239","血色骑士宝宝","0","1","","","","","","","","","","","","","","","103","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1016","2","500240","血色牧师宝宝","0","1","","","","","","","","","","","","","","","103","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1017","2","500241","土元素宝宝","0","1","","","","","","","","","","","","","","","104","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1018","2","500242","半人马宝宝","0","1","","","","","","","","","","","","","","","104","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1019","2","500243","逐日卫士宝宝","0","1","","","","","","","","","","","","","","","104","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1020","2","500244","腐女宝宝","0","1","","","","","","","","","","","","","","","104","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1021","2","500245","摧毁者宝宝","0","1","","","","","","","","","","","","","","","105","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1022","2","500246","虚空恐魔宝宝","0","1","","","","","","","","","","","","","","","105","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1023","2","500247","食人魔宝宝","0","1","","","","","","","","","","","","","","","105","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1024","2","500248","变形者宝宝","0","1","","","","","","","","","","","","","","","105","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1025","2","500249","蓝龙宝宝","0","1","","","","","","","","","","","","","","","106","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1026","2","500250","预言者宝宝","0","1","","","","","","","","","","","","","","","106","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1027","2","500251","黑龙宝宝","0","1","","","","","","","","","","","","","","","106","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1028","2","500252","绿龙宝宝","0","1","","","","","","","","","","","","","","","106","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1029","2","500253","红龙宝宝","0","1","","","","","","","","","","","","","","","107","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1030","2","500254","黑铁矮人宝宝","0","1","","","","","","","","","","","","","","","107","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
"1031","2","500255","铁炉牧师宝宝","0","1","","","","","","","","","","","","","","","107","2","2","0","","","","","","","","","","","","","1","35","155","","","","1"
