"装备等级","宝石可镶嵌个数","可镶嵌宝石最高等级","槽1开启等级","槽2开启等级","槽3开启等级"
"1","1","0","","",""
"10","1","0","","",""
"20","1","0","","",""
"30","1","3","30","60",""
"40","1","4","30","60",""
"50","1","5","30","60",""
"60","2","6","30","60",""
"70","2","7","30","60",""
"80","2","8","30","60",""
"90","2","9","30","60",""
"100","2","10","30","60",""
"110","2","10","30","60",""
"120","2","10","30","60",""
"130","2","10","30","60",""
"140","2","10","30","60",""
"150","2","10","30","60",""
"160","2","10","30","60",""
"170","2","10","30","60",""
