"ID","服务器等级","持续时间","服务器开放时间"
"1","65","1","1"
"2","70","1","2"
"3","71","1","3"
"4","72","1","4"
"5","73","1","5"
"6","74","1","6"
"7","75","1","7"
"8","76","1","8"
"9","77","2","9"
"10","78","2","11"
"11","79","2","13"
"12","80","3","15"
"13","81","3","18"
"14","82","4","21"
"15","83","4","25"
"16","84","5","29"
"17","85","6","34"
"18","86","7","40"
"19","87","7","47"
"20","88","8","54"
"21","89","8","62"
"22","90","8","70"
"23","91","8","78"
"24","92","8","86"
"25","93","9","94"
"26","94","9","103"
"27","95","9","112"
"28","96","9","121"
"29","97","10","130"
"30","98","10","140"
"31","99","10","150"
"32","100","10","160"
"33","101","10","170"
"34","102","11","180"
"35","103","11","191"
"36","104","11","202"
"37","105","11","213"
"38","106","12","224"
"39","107","12","236"
"40","108","12","248"
"41","109","12","260"
"42","110","13","272"
"43","111","13","285"
"44","112","13","298"
"45","113","13","311"
"46","114","14","324"
"47","115","14","338"
"48","116","14","352"
"49","117","15","366"
"50","118","15","381"
"51","119","15","396"
"52","120","15","411"
