"编号","名称","原模型替换备注","玩法调用","称谓","造型id","随机造型id","显示血量","显示大血条","显示等级","战斗单位类型","怪物类型","特殊类型","职业","类型","大小比例","area1colour","area2colour","对应宠物","颜色几率id","是否绑定","等级模式","NPC等级","怪物匹配最小等级","怪物匹配最大等级","能否捕捉","能否捕捉2","捕捉几率","逃跑几率","免疫状态id","反击几率","反击伤害系数","初始属性点","初始属性分配类型","每级新增属性点","每级体质加点","每级智力加点","每级力量加点","每级耐力加点","每级敏捷加点","怪物体资","怪物法资","怪物攻资","怪物防资","怪物速资","怪物躲资","怪物成长率","治疗强度成长","控制命中成长","控制抗性成长","暗雷加点1","暗雷加点2","暗雷加点3","暗雷加点4","技能1编号","技能2编号","技能3编号","技能4编号","技能5编号","技能6编号","技能7编号","技能1出现几率","技能2出现几率","技能3出现几率","技能4出现几率","技能5出现几率","技能6出现几率","技能7出现几率","技能1施放几率","技能2施放几率","技能3施放几率","技能4施放几率","技能5施放几率","技能6施放几率","技能7施放几率","AI编号","金属性吸收","木属性吸收","水属性吸收","火属性吸收","土属性吸收","加强封印","封印抗性","外功暴击等级","外功暴击程度","外功暴击抗性","内功暴击等级","内功暴击抗性","内功暴击程度","反击等级","反击程度","单场反击次数","反击抗性","外功反震等级","外功反震程度","外功反震抗性","连击率","连击次数","追击率","追击次数","修炼等级基准","物攻修炼等级","物防修炼等级","法攻修炼等级","法防修炼等级","强封修炼等级","封抗修炼等级","技能1系数","技能2系数","技能3系数","技能4系数","技能5系数","技能6系数","技能7系数","技能1常数","技能2常数","技能3常数","技能4常数","技能5常数","技能6常数","技能7常数"
"22000","大海龟","小软","","","","","1","","0","4","1","","","2","1","0","0","500201","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2850","1060","950","790","0","1250","976","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206003","206023","","","","","","333","333","","","","","","0","0","0","","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22001","护卫","小软","","","","","1","","0","4","1","","","2","1","0","0","500202","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2850","1060","950","790","0","1200","976","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206003","206023","","","","","","333","333","","","","","","0","0","0","","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22002","泡泡","小软","","","","","1","","0","4","1","","","2","1","0","0","500203","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2850","1060","950","790","0","1200","976","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206003","206023","","","","","","333","333","","","","","","0","0","0","","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22003","巨蛙","迅猛龙","","","","","1","","0","4","1","","","2","1","0","0","500204","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2455","1090","985","655","0","1300","976","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206002","206003","206023","","","","","333","333","333","","","","","0","0","0","","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22004","树怪","迅猛龙","","","","","1","","0","4","1","","","2","1","0","0","500205","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2455","1090","985","655","0","1350","976","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206002","206003","206023","","","","","333","333","333","","","","","0","0","0","","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22005","野猪","羊头怪","","","","","1","","0","4","1","","","2","1","0","0","500206","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2035","1125","1015","845","0","1300","1006","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206002","206003","206023","206033","","","","1001","333","333","333","","","","0","0","0","","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22006","黑熊精","牛头","","","","","1","","0","4","1","","","2","1","0","0","500207","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3140","1165","1050","870","0","1400","1036","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206003","206002","206015","206026","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22007","骷髅怪","牛头","","","","","1","","0","4","1","","","2","1","0","0","500208","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3140","1165","1050","870","0","1450","1036","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206003","206002","206015","206026","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22008","老虎","牛头","","","","","1","","0","4","1","","","2","1","0","0","500209","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3140","1165","1050","870","0","1450","1036","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206003","206002","206015","206026","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22009","强盗","马面","","","","","1","","0","4","1","","","2","1","0","0","500210","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3140","1745","695","695","0","1350","1036","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","207001","206033","206011","206023","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22010","山贼","马面","","","","","1","","0","4","1","","","2","1","0","0","500211","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3140","1745","695","695","0","1250","1036","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","207001","206033","206011","206023","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22011","羊头怪","龟丞相","","","","","1","","0","4","1","","","2","1","0","0","500212","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","2095","1165","1050","870","0","1450","1036","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206004","206001","206018","206033","","","","1001","333","333","333","","","","0","0","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22012","孤魂野鬼","虾兵","","","","","1","","0","4","1","","","2","1","0","0","500213","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3240","1800","720","720","0","1250","1066","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206066","207008","206054","206053","","","","1001","333","333","333","","","","0","500","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
"22013","狼","虾兵","","","","","1","","0","4","1","","","2","1","0","0","500214","1","0","5","0","0","150","1","true","666","0","-1","0","0","50","1","5","1","1","1","1","1","3240","1800","720","720","0","1450","1066","4","10","10","0.2;0.2;0.2;0.2;0.2","0.3;0.2;0.2;0.2;0.1","0.1;0.3;0.3;0.2;0.1","0.2;0.3;0.2;0.2;0.1","206066","207008","206054","206053","","","","1001","333","333","333","","","","0","500","0","0","","","","","-1.0","-1.0","-1.0","-1.0","-1.0","-1","-1","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1","-1","-1.0","-1","-1.0","-1","-1.0","-1","0","0","0","0","0","0","0","2.0","2.0","2.0","2.0","2.0","2.0","","1.0","1.0","1.0","1.0","1.0","1.0",""
