"编号","名称","随机名称库","前缀1","前缀2","area1colour","area2colour","大小比例","npctype","小地图显示","npccolour","share","modelID","可否被多人战斗","杂学id","map","编辑器X坐标（策划用）","编辑器Y坐标（策划用）","xPos","yPox","朝向","状态","所在地图层","小地图查询拼音","小地图查询","脚下称谓","头顶特效","脚下称谓策划看","chitchat1","chitchat2","chitchat3","chitchat4","chitchat5","leave","hideable","声音1","声音2","声音3","声音4","是否显示在周围列表","战斗ID","小地图npc颜色","时间","是否点卡服显示"
"161500","下面是长安城的NPC","","","","0","0","1","1","1","FF5eff70","0","1030005","0","-1","1615","","","66","136","3","","0","dianyuzhangchuishi","钟馗","","","钟馗","2017","","","","","告辞","0","180141_05.ogg","","","","0","","FF305027","0",""
"161501","钟馗","","","","0","0","1","1","1","FF5eff70","0","1030005","0","-1","1615","","","66","136","3","","0","dianyuzhangchuishi","钟馗","","","钟馗","2017","","","","","告辞","0","180141_05.ogg","","","","0","","FF305027","0",""
"161502","药店老板","","","","0","0","1","1","1","FF5eff70","0","1030009","0","-1","1615","8430","3078","173","148","5","","0","yaodianlaoban","药店老板","","","药店老板","2021","","","","","告辞","0","180144_04.ogg","","","","0","","FF305027","0",""
"161503","酒店老板","","","","0","0","1","1","1","ffffffff","0","1030007","0","-1","1615","3797","3202","160","116","5","","0","jiudianlaoban","酒店老板","","","酒店老板","2019","","","","","告辞","0","180143_02.ogg","","","","0","","ff8c5e2a","0",""
"161505","花香香","","","","0","0","1","1","1","FF5eff70","0","1030004","0","-1","1615","888","3157","96","142","5","","0","chongwuxianzi","花香香","","Acc1","花香香","2015","","","","","告辞","0","180138_16.ogg","","","","0","","FF305027","0",""
"161506","商会总管","","","","0","0","1","1","1","FF5eff70","0","1030006","0","-1","1615","8330","1227","140","174","5","","0","shanghuihuizhang","商会总管","","","商会总管","2018","","","","","告辞","0","180142_04.ogg","","","","0","","FF305027","0",""
"161507","袁守城","","","","0","0","1","1","1","FF5eff70","0","1020006","0","-1","1615","2256","2080","201","36","3","","0","maidiwen","袁守城","等级突破","","袁守城","2029","","","","","告辞","0","180151_02.ogg","","","","0","","FF305027","0",""
"161509","宠物使者","","","","0","0","1","1","1","FF5eff70","0","1030012","0","-1","1615","3676","2688","118","117","3","","0","aimuti","宠物使者","","","宠物使者","2028","","","","","告辞","0","180150_03.ogg","180143_02.ogg","","","0","","FF305027","0",""
"161510","店小二","","","","0","0","1","1","1","FF5eff70","0","1030008","0","-1","1615","","","152","111","3","","0","lvdianlaoban","店小二","","Acc3","店小二","2020","","","","","告辞","0","180143_4.ogg","","","","0","","FF305027","0",""
"161511","百晓仙子","","","","0","0","1","1","1","FF5eff70","0","1030003","0","-1","1615","","","83","112","3","","0","fuben","百晓仙子","","Acc2","百晓仙子","2014","","","","","告辞","0","180137_03.ogg","","","","0","","FF305027","0",""
"161516","配色师","","","","0","0","1","1","1","ffffffff","0","1030003","0","-1","1615","3247","981","118","192","3","","0","ranseren","配色师","","","配色师","2016","","","","","告辞","0","180139_02.ogg","xiaode_1.ogg","xiaode_2.ogg","xiaode_3.ogg","0","","ff8c5e2a","0",""
"161521","云乐游","","","","0","0","1","1","1","ffffffff","0","1030011","0","-1","1608","3751","2775","18","57","3","","0","mulading","云乐游","","Acc6","云乐游","2013","","","","","告辞","0","180136_07.ogg","","","","0","","ff8c5e2a","0",""
