"id","类型","优胜场标记","等级下限","等级上限","战胜奖励ID","战败奖励ID","","","","","","",""
"1","1","0","40","49","6000","6040","","","","","","",""
"2","1","0","50","69","6010","6050","","","","","","",""
"3","1","0","70","89","6020","6060","","","","","","",""
"4","1","0","90","150","6030","6070","","","","","","",""
"5","2","0","40","49","6090","6130","","","","","","",""
"6","2","0","50","69","6100","6140","","","","","","",""
"7","2","0","70","89","6110","6150","","","","","","",""
"8","2","0","90","150","6120","6160","","","","","","",""
"9","3","1","60","69","6190","6230","","","","","","",""
"10","3","1","70","89","6200","6240","","","","","","",""
"11","3","1","90","150","6210","6250","","","","","","",""
"12","3","0","60","69","0","0","","","","","","",""
"13","3","0","70","89","0","0","","","","","","",""
"14","3","0","90","150","0","0","","","","","","",""
